arch,rocblas_version,M,N,K,dtype,best_sol,best_ms,default_ms,gain
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,1024,512,bf16,-606629811,0.01987,0.02346,1.1803
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,1024,1024,bf16,-606629853,0.03123,0.03274,1.0482
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,1024,2048,bf16,-606629811,0.05245,0.08000,1.5253
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,1024,4096,bf16,-606629812,0.09139,0.09510,1.0406
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,1024,8192,bf16,-606605162,0.17149,0.17325,1.0103
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,1024,16384,bf16,-606629812,0.34451,0.34291,0.9954
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,1024,32768,bf16,-606605202,0.71597,0.73456,1.0260
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,1024,65536,bf16,-606605203,1.67726,2.31550,1.3805
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,2048,512,bf16,-606605187,0.03014,0.03254,1.0796
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,2048,1024,bf16,-606605187,0.05206,0.05248,1.0080
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,2048,2048,bf16,-606605187,0.09293,0.09392,1.0107
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,2048,4096,bf16,-606629837,0.17891,0.19331,1.0805
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,2048,8192,bf16,-606605227,0.32586,0.35901,1.1017
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,2048,16384,bf16,-606629878,0.57795,0.69987,1.2110
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,2048,32768,bf16,-606605227,1.10481,1.16014,1.0501
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,2048,65536,bf16,-606605227,2.27307,4.42519,1.9468
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,4096,512,bf16,-606629837,0.05840,0.07501,1.2844
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,4096,1024,bf16,-606605187,0.09936,0.11453,1.1527
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,4096,2048,bf16,-606605187,0.18397,0.20970,1.1398
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,4096,4096,bf16,-606629837,0.36016,0.39239,1.0895
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,4096,8192,bf16,-606605187,0.70368,0.76694,1.0899
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,4096,16384,bf16,-606605241,1.31530,1.47882,1.1243
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,4096,32768,bf16,-606629893,2.57817,3.44800,1.3374
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,4096,65536,bf16,-606605241,5.62652,6.94032,1.2335
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,8192,512,bf16,-606605237,0.11306,0.11235,0.9938
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,8192,1024,bf16,-606605297,0.18714,0.20886,1.1161
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,8192,2048,bf16,-606629952,0.33104,0.37427,1.1306
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,8192,4096,bf16,-606630005,0.66035,0.74298,1.1251
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,8192,8192,bf16,-606629812,1.32506,1.45462,1.0978
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,8192,16384,bf16,-606605268,2.54439,2.58544,1.0161
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,8192,32768,bf16,-606629921,5.22760,7.56887,1.4479
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,8192,65536,bf16,-606630008,10.61789,12.18018,1.1471
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,16384,512,bf16,-606605297,0.21510,0.61088,2.8399
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,16384,1024,bf16,-606605297,0.34362,0.39507,1.1497
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,16384,2048,bf16,-606605351,0.63741,0.71524,1.1221
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,16384,4096,bf16,-606605351,1.21060,1.40996,1.1647
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,16384,8192,bf16,-606630005,2.24419,2.70381,1.2048
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,16384,16384,bf16,-606605351,4.33546,5.69303,1.3131
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,16384,32768,bf16,-606630015,9.56140,14.82337,1.5503
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,16384,65536,bf16,-606630008,17.93424,21.43358,1.1951
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,32768,512,bf16,-606629965,0.40768,1.13789,2.7911
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,32768,1024,bf16,-606605310,0.65491,1.56407,2.3882
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,32768,2048,bf16,-606629965,1.14941,2.27300,1.9775
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,32768,4096,bf16,-606629965,2.12152,3.91238,1.8441
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,32768,8192,bf16,-606605310,4.14257,9.34347,2.2555
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,32768,16384,bf16,-606605311,8.09182,21.03965,2.6001
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,32768,32768,bf16,-606605354,16.37762,19.71555,1.2038
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,1024,32768,65536,bf16,-606605356,37.27499,42.87337,1.1502
gfx90a:sramecc+:xnack-,5.2.0.dabb6df2b9,2048,1024,512,bf16,-606605282,0.02998,0.03725,1.2423
