M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain,nrot,reps,ach_gbs,cache_flag,clk_drift
7841,75,1,bf16,T,T,20,-153,0.00663,0.01613,2.4345,4,546,357.4,0,1.0168
104,918,8794,fp32,N,T,378,-621283667,0.04939,0.07578,1.5342,4,129,735.5,0,1.0857
390,1081,3,fp32,N,T,204,-621292918,0.00624,0.00684,1.0969,4,1105,273.3,0,0.9836
18,2953,10244,fp16,N,T,33,-621295777,0.20455,0.34540,1.6885,4,29,298.6,0,0.9953
12647,2,17,fp32,T,N,162,-621293437,0.00623,0.00632,1.0148,4,1557,154.3,0,0.9907
246,92,1962,bf16,T,N,78,-619,0.04431,0.09534,2.1515,4,103,32.0,0,0.9975
98,4522,1850,bf16,T,N,78,-621289993,0.05109,0.09155,1.7918,4,97,369.2,0,1.0509
1131,15131,365,fp32,N,N,292,-621293255,0.15029,0.16604,1.1048,4,43,613.4,0,0.6732
1924,5419,1016,bf16,T,T,20,-621285690,0.08496,0.08911,1.0488,4,106,666.5,0,0.8261
65,1564,301,bf16,N,T,27,-349,0.02153,0.03300,1.5326,4,283,64.4,0,0.9868
8644,44,9,bf16,N,N,17,-262,0.00631,0.02563,4.0616,4,342,265.9,0,1.0092
1,334,514,fp16,N,T,28,-9,0.00393,0.04058,10.3354,4,228,88.1,0,1.0045
3819,14,4866,bf16,N,T,32,-621290045,0.10620,0.17665,1.6634,4,54,353.3,0,1.0040
1070,3483,11962,fp32,N,T,312,-621293007,1.04881,3.02535,2.8846,4,5,221.9,0,0.6632
2,126,9,bf16,T,N,3,-616,0.00679,0.00654,0.9623,4,1466,0.5,0,0.9693
8381,6725,11137,fp16,N,N,17,-621294415,2.74089,3.28761,1.1995,4,5,205.0,0,0.7712
11961,29601,13,bf16,N,N,17,-621292874,0.51945,1.16872,2.2499,4,9,2728.5,0,0.7107
8471,19445,7757,fp16,N,N,17,-621294414,5.60871,7.05982,1.2587,4,5,194.7,0,0.8572
5,390,5232,fp32,T,T,66,-621291435,0.05340,0.09230,1.7287,4,106,155.0,0,0.9719
5830,271,27188,bf16,N,T,32,-621290049,0.56178,0.91702,1.6323,4,12,601.8,0,1.0017
8444,8579,10426,bf16,T,T,20,-621285697,2.69134,3.00865,1.1179,4,5,239.6,0,0.8700
1509,2,24,bf16,T,T,20,-150,0.00638,0.01494,2.3404,4,572,13.3,0,1.1271
4024,4471,4298,fp32,T,T,66,-621291421,1.50892,1.65481,1.0967,4,6,144.5,0,0.6599
2,16382,332,fp32,N,T,411,-621283471,0.00811,0.02911,3.5905,4,303,2699.4,0,0.9249
542,103,27547,fp16,N,T,33,-621295773,0.51653,0.88011,1.7039,4,12,69.2,0,0.9814
3051,10,18,bf16,N,N,17,-257,0.00679,0.02597,3.8217,4,338,34.2,0,0.9953
7178,2661,6836,fp32,T,N,296,-621293467,2.62142,4.78071,1.8237,4,5,131.8,0,0.6701
2,3,4,fp32,N,T,305,-621293080,0.00638,0.00634,0.9941,4,1650,0.0,0,0.9756
1504,11,22581,fp16,T,T,22,-621291510,0.76492,0.78743,1.0294,4,13,89.5,0,1.0167
1,63,1038,fp16,T,N,9,-9,0.00677,0.01311,1.9360,4,578,19.7,0,0.9841
4130,6711,2365,fp32,N,N,292,-621283869,1.24697,1.40655,1.1280,4,7,171.2,0,0.6799
6861,119,24,bf16,T,N,69,-607,0.00662,0.02673,4.0357,4,308,543.6,0,0.9919
310,109,9,bf16,T,T,20,-150,0.00644,0.01406,2.1814,4,618,22.1,0,1.1375
889,412,1103,bf16,N,N,23,-621292873,0.04719,0.06283,1.3315,4,139,91.9,0,1.0168
3095,218,431,bf16,N,N,17,-621292873,0.02720,0.04114,1.5123,4,229,204.2,0,1.0105
27,48,35,fp32,N,T,351,-621293079,0.00639,0.00638,0.9994,4,1574,2.5,0,1.0016
13683,122,3126,fp16,T,T,22,-621291502,0.12786,0.13800,1.0793,4,66,727.2,0,1.0290
3,17,233,fp16,N,T,27,-408,0.01437,0.02952,2.0537,4,318,0.7,0,0.9814
8,34,39,fp32,N,N,364,-621293371,0.00643,0.00631,0.9813,4,1561,1.2,0,0.9970
239,154,147,fp16,N,N,17,-170,0.01139,0.03157,2.7722,4,268,23.1,0,1.0071
479,11460,436,bf16,T,T,20,-621285690,0.03496,0.04608,1.3180,4,201,925.9,0,0.9662
23,2,8,fp32,N,T,256,-621283467,0.00647,0.00655,1.0135,4,1643,0.2,0,0.9660
19718,278,883,bf16,T,N,76,-621289994,0.05196,0.06332,1.2186,4,157,1101.6,0,0.8681
22871,444,7,bf16,T,T,20,-621285687,0.02000,0.03654,1.8268,4,255,2047.3,0,1.0738
5223,10409,5022,fp32,N,N,292,-621293201,5.14616,5.67687,1.1031,4,5,103.3,0,0.7027
107,109,22913,fp32,T,N,392,-621284112,0.02841,0.03110,1.0946,4,244,698.5,0,0.9066
2212,10524,1291,bf16,T,N,69,-621289992,0.18042,0.22253,1.2334,4,43,698.4,0,0.6419
5126,9241,28652,bf16,N,T,27,-621290041,5.74371,6.07517,1.0577,4,5,176.3,0,0.9465
