label,M,N,K,dtype,opA,opB,beta,def_ms,tflops,nrot,reps,clk_drift
unset,1024,1024,512,bf16,N,N,0,0.02157,49.77,4,362,1.0039
unset,1024,1024,1024,bf16,N,N,0,0.02766,77.64,4,309,0.9984
unset,1024,2048,512,bf16,N,N,0,0.03007,71.41,4,282,0.9993
unset,1024,1024,2048,bf16,N,N,0,0.07779,55.21,4,119,1.0142
unset,1024,2048,1024,bf16,N,N,0,0.04895,87.74,4,182,1.0016
unset,1024,4096,512,bf16,N,N,0,0.07111,60.39,4,125,1.0022
unset,1024,1024,4096,bf16,N,N,0,0.08935,96.14,4,104,1.0034
unset,1024,2048,2048,bf16,N,N,0,0.09133,94.06,4,103,0.9977
unset,1024,4096,1024,bf16,N,N,0,0.10825,79.35,4,86,0.9971
unset,1024,8192,512,bf16,N,N,0,0.11053,77.71,4,85,1.0011
unset,1024,1024,8192,bf16,N,N,0,0.17240,99.65,4,55,1.0023
unset,1024,2048,4096,bf16,N,N,0,0.17992,95.48,4,53,1.0021
unset,1024,4096,2048,bf16,N,N,0,0.21146,81.24,4,46,1.0033
unset,1024,8192,1024,bf16,N,N,0,0.19569,87.79,4,49,1.0011
unset,1024,16384,512,bf16,N,N,0,0.60729,28.29,4,17,1.0030
unset,1024,1024,16384,bf16,N,N,0,0.34378,99.95,4,29,1.0022
unset,1024,2048,8192,bf16,N,N,0,0.34812,98.70,4,28,1.0000
unset,1024,4096,4096,bf16,N,N,0,0.36604,93.87,4,27,1.0043
unset,1024,8192,2048,bf16,N,N,0,0.35653,96.37,4,28,1.0034
unset,1024,16384,1024,bf16,N,N,0,0.39158,87.75,4,25,1.0025
unset,1024,32768,512,bf16,N,N,0,1.13688,30.22,4,9,1.0022
unset,2048,1024,512,bf16,N,N,0,0.03304,65.00,4,244,1.0026
unset,1024,1024,32768,bf16,N,N,0,0.74196,92.62,4,14,1.0023
unset,2048,2048,512,bf16,N,N,0,0.06267,68.53,4,141,1.0085
unset,2048,4096,512,bf16,N,N,0,0.11594,74.09,4,80,1.0019
unset,1024,2048,16384,bf16,N,N,0,0.69515,98.86,4,15,1.0035
unset,1024,4096,8192,bf16,N,N,0,0.77428,88.75,4,13,1.0039
unset,1024,8192,4096,bf16,N,N,0,0.74943,91.70,4,14,1.0020
unset,2048,8192,512,bf16,N,N,0,0.21352,80.46,4,46,1.0021
unset,1024,16384,2048,bf16,N,N,0,0.69989,98.19,4,15,1.0019
unset,2048,16384,512,bf16,N,N,0,0.44254,77.64,4,22,1.0027
unset,1024,32768,1024,bf16,N,N,0,1.56596,43.88,4,7,1.0025
unset,2048,1024,1024,bf16,N,N,0,0.05016,85.62,4,174,1.0044
unset,2048,2048,1024,bf16,N,N,0,0.14963,57.41,4,65,0.9986
unset,2048,4096,1024,bf16,N,N,0,0.17444,98.48,4,55,1.0007
unset,1024,1024,65536,bf16,N,N,0,2.35961,58.25,4,5,1.0004
unset,2048,8192,1024,bf16,N,N,0,0.37640,91.29,4,26,1.0026
unset,1024,4096,16384,bf16,N,N,0,1.43126,96.03,4,7,1.0095
unset,1024,8192,8192,bf16,N,N,0,1.45227,94.64,4,7,1.0008
unset,2048,32768,512,bf16,N,N,0,3.10251,22.15,4,5,1.0006
unset,1024,2048,32768,bf16,N,N,0,1.10393,124.50,4,10,1.0031
unset,4096,1024,512,bf16,N,N,0,0.05102,84.18,4,178,1.0241
unset,1024,16384,4096,bf16,N,N,0,1.32547,103.69,4,8,0.9970
unset,4096,2048,512,bf16,N,N,0,0.11782,72.91,4,77,1.0063
unset,4096,4096,512,bf16,N,N,0,0.20494,83.83,4,47,1.0022
unset,2048,16384,1024,bf16,N,N,0,0.71822,95.68,4,14,1.0015
unset,4096,8192,512,bf16,N,N,0,0.38450,89.36,4,26,1.0006
unset,1024,32768,2048,bf16,N,N,0,2.27305,60.46,4,5,1.0015
unset,2048,1024,2048,bf16,N,N,0,0.15757,54.52,4,59,1.0023
unset,2048,2048,2048,bf16,N,N,0,0.14890,115.38,4,66,1.0001
unset,2048,4096,2048,bf16,N,N,0,0.31974,107.46,4,31,1.0009
unset,4096,16384,512,bf16,N,N,0,0.87957,78.13,4,12,0.9989
unset,2048,8192,2048,bf16,N,N,0,0.57454,119.61,4,18,1.0033
unset,2048,32768,1024,bf16,N,N,0,3.75495,36.60,4,5,1.0009
unset,4096,1024,1024,bf16,N,N,0,0.08079,106.32,4,115,1.0055
unset,4096,2048,1024,bf16,N,N,0,0.17201,99.88,4,56,1.0011
unset,4096,4096,1024,bf16,N,N,0,0.32904,104.42,4,30,1.0032
unset,2048,16384,2048,bf16,N,N,0,1.28037,107.34,4,8,1.0004
unset,4096,8192,1024,bf16,N,N,0,0.65782,104.47,4,15,1.0039
unset,1024,8192,16384,bf16,N,N,0,2.59712,105.84,4,5,1.0007
unset,4096,32768,512,bf16,N,N,0,5.72552,24.00,4,5,0.9995
unset,1024,4096,32768,bf16,N,N,0,3.44371,79.82,4,5,1.0014
unset,8192,1024,512,bf16,N,N,0,0.10832,79.30,4,86,1.0029
unset,1024,2048,65536,bf16,N,N,0,4.32213,63.60,4,5,1.0018
unset,8192,2048,512,bf16,N,N,0,0.20600,83.40,4,47,1.0024
unset,1024,16384,8192,bf16,N,N,0,2.59568,105.90,4,5,0.9992
unset,8192,4096,512,bf16,N,N,0,0.37309,92.09,4,27,0.9997
unset,8192,8192,512,bf16,N,N,0,0.81718,84.09,4,13,0.9998
unset,1024,32768,4096,bf16,N,N,0,3.89524,70.57,4,5,1.0020
unset,4096,16384,1024,bf16,N,N,0,1.42239,96.63,4,7,1.0016
unset,2048,1024,4096,bf16,N,N,0,0.16197,106.07,4,60,1.0050
unset,2048,2048,4096,bf16,N,N,0,0.49498,69.42,4,20,1.0017
unset,2048,4096,4096,bf16,N,N,0,0.55010,124.92,4,18,1.0014
unset,8192,16384,512,bf16,N,N,0,1.75626,78.26,4,6,1.0022
unset,2048,8192,4096,bf16,N,N,0,1.32825,103.47,4,8,1.0005
unset,2048,32768,2048,bf16,N,N,0,5.29380,51.92,4,5,1.0033
unset,4096,1024,2048,bf16,N,N,0,0.22923,74.95,4,43,1.0018
unset,4096,2048,2048,bf16,N,N,0,0.35958,95.56,4,28,1.0033
unset,4096,4096,2048,bf16,N,N,0,0.66267,103.70,4,15,1.0022
unset,4096,32768,1024,bf16,N,N,0,7.05327,38.97,4,5,1.0000
unset,8192,1024,1024,bf16,N,N,0,0.19282,89.10,4,51,1.0003
unset,8192,2048,1024,bf16,N,N,0,0.33065,103.91,4,30,0.9981
unset,4096,8192,2048,bf16,N,N,0,1.20728,113.84,4,9,1.0031
unset,8192,4096,1024,bf16,N,N,0,0.64067,107.26,4,16,1.0022
unset,2048,16384,4096,bf16,N,N,0,2.39949,114.56,4,5,0.9996
unset,8192,32768,512,bf16,N,N,0,11.30231,24.32,4,5,1.0006
unset,16384,1024,512,bf16,N,N,0,0.21521,79.83,4,45,1.0015
unset,8192,8192,1024,bf16,N,N,0,1.30143,105.61,4,8,0.9985
unset,16384,2048,512,bf16,N,N,0,0.40968,83.87,4,24,1.0053
unset,1024,8192,32768,bf16,N,N,0,7.36918,74.60,4,5,1.0035
unset,16384,4096,512,bf16,N,N,0,0.74743,91.94,4,14,0.9997
unset,1024,4096,65536,bf16,N,N,0,6.83598,80.42,4,5,1.0019
unset,4096,16384,2048,bf16,N,N,0,2.53594,108.39,4,5,1.0025
unset,1024,16384,16384,bf16,N,N,0,5.47201,100.47,4,5,1.0023
unset,16384,8192,512,bf16,N,N,0,1.51718,90.59,4,7,1.0003
unset,8192,16384,1024,bf16,N,N,0,2.83748,96.87,4,5,1.0005
unset,1024,32768,8192,bf16,N,N,0,8.71066,63.11,4,5,1.0034
unset,16384,16384,512,bf16,N,N,0,5.19063,52.96,4,5,1.0043
unset,2048,1024,8192,bf16,N,N,0,0.36772,93.44,4,27,1.0046
unset,2048,2048,8192,bf16,N,N,0,0.69749,98.52,4,15,1.0023
unset,2048,4096,8192,bf16,N,N,0,1.51037,91.00,4,7,1.0007
unset,2048,32768,4096,bf16,N,N,0,8.58176,64.06,4,5,1.0016
unset,4096,32768,2048,bf16,N,N,0,11.17962,49.17,4,5,1.0002
unset,4096,1024,4096,bf16,N,N,0,0.26815,128.14,4,37,1.0031
unset,8192,1024,2048,bf16,N,N,0,0.31973,107.46,4,31,1.0019
unset,4096,2048,4096,bf16,N,N,0,0.66184,103.83,4,15,1.0022
unset,8192,2048,2048,bf16,N,N,0,0.60229,114.10,4,17,1.0003
unset,2048,8192,8192,bf16,N,N,0,2.43312,112.97,4,5,1.0003
