M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain,nrot,reps,ach_gbs,cache_flag,clk_drift
3850,546,2853,fp16,N,N,105,-606603417,0.15409,1.33128,8.6395,4,8,217.3,0,1.0055
159,1785,4877,fp16,N,N,99,-606603403,0.09238,0.16554,1.7918,4,59,217.5,0,1.0027
12944,708,24023,fp16,N,N,223,-606603333,3.84818,3.86914,1.0054,4,5,180.0,0,1.0375
407,18635,591,fp16,N,N,90,-606624258,0.13993,0.45832,3.2755,4,21,377.7,0,0.9957
660,132,20045,fp16,N,N,232,-606624108,0.11882,0.34986,2.9444,4,30,270.2,0,1.0012
28191,342,548,fp16,N,N,92,-606624259,0.16178,0.16952,1.0479,4,58,431.7,0,1.0032
7915,187,1057,fp16,N,N,97,-606603413,0.06437,0.07212,1.1204,4,129,358.1,0,1.0019
614,943,15203,fp16,N,N,103,-606603299,0.35325,0.75189,2.1285,4,14,140.6,0,1.0024
804,21161,19972,fp16,N,N,94,-606603354,6.36251,9.60419,1.5095,4,5,148.6,0,1.0143
240,503,360,fp16,N,N,94,-606603411,0.01135,0.01941,1.7108,4,400,89.7,0,1.0025
4483,916,12551,fp16,N,N,217,-606624258,1.12909,1.30288,1.1539,4,8,134.6,0,1.0007
271,459,2644,fp16,N,N,99,-606624235,0.03215,0.05970,1.8569,4,164,135.5,0,1.0006
344,1600,26541,fp16,N,N,399,-606624209,0.31828,0.43382,1.3630,4,23,331.1,0,1.0011
1880,192,5159,fp16,N,N,399,-606624209,0.07592,0.18844,2.4821,4,53,300.6,0,1.0016
148,1363,190,fp16,N,N,94,-606603313,0.01019,0.00942,0.9248,4,626,135.5,0,1.0138
139,10766,567,fp16,N,N,92,-606603416,0.04014,0.07001,1.7439,4,132,457.2,0,1.0113
4849,858,1452,fp16,N,N,92,-606624258,0.14753,0.19835,1.3445,4,48,225.1,0,1.0044
195,5830,1641,fp16,N,N,99,-606624255,0.07669,0.09844,1.2837,4,97,317.2,0,1.0005
2953,824,586,fp16,N,N,364,-606603343,0.04602,0.06122,1.3302,4,150,307.7,0,1.0026
233,205,210,fp16,N,N,90,-606624243,0.00886,0.00788,0.8888,4,647,42.3,0,1.0083
979,1344,197,fp16,N,N,352,-606603309,0.01444,0.01472,1.0193,4,506,427.9,0,1.0065
10794,30348,706,fp16,N,N,223,-606603420,4.79503,4.78696,0.9983,4,5,285.4,0,1.0170
180,157,1555,fp16,N,N,101,-606603368,0.01832,0.01888,1.0306,4,382,63.4,0,1.0059
6460,255,7674,fp16,N,N,101,-606624254,0.31550,0.45111,1.4298,4,23,347.5,0,1.0164
954,11193,4145,fp16,N,N,94,-606603430,0.95460,1.29702,1.3587,4,8,150.2,0,0.9998
995,22025,8902,fp16,N,N,90,-606603432,3.67351,3.75213,1.0214,4,5,135.4,0,1.0073
1833,217,2136,fp16,N,N,99,-606624121,0.05285,0.05278,0.9988,4,169,195.8,0,1.0023
226,219,434,fp16,N,N,94,-606603368,0.01094,0.01025,0.9368,4,596,53.4,0,1.0001
5690,855,3297,fp16,N,N,94,-606603431,0.40018,3.00973,7.5210,4,5,156.5,0,1.0048
167,455,1685,fp16,N,N,97,-606603276,0.02272,0.02273,1.0005,4,365,105.6,0,1.0015
13198,580,1816,fp16,N,N,223,-606624254,0.29538,0.33745,1.1424,4,30,273.1,0,1.0152
1444,2788,1016,fp16,N,N,223,-606603425,0.10523,0.11049,1.0499,4,87,234.7,0,1.0013
260,985,188,fp16,N,N,94,-606603411,0.01029,0.00963,0.9353,4,656,145.0,0,1.0133
7883,185,25889,fp16,N,N,97,-606603393,1.21877,1.40552,1.1532,4,8,347.5,0,0.9983
5791,822,16962,fp16,N,N,92,-606624185,1.69436,1.69452,1.0001,4,6,143.6,0,1.0044
11051,191,1855,fp16,N,N,97,-606603427,0.13200,0.16396,1.2422,4,61,379.9,0,1.0132
1851,234,15222,fp16,N,N,101,-606603403,0.25236,0.66634,2.6404,4,15,258.4,0,0.9986
1674,631,2003,fp16,N,N,103,-606624215,0.07291,0.13057,1.7909,4,74,184.6,0,1.0117
6655,20645,448,fp16,N,N,90,-606624251,1.50919,1.50885,0.9998,4,7,380.4,0,1.0190
287,8655,147,fp16,N,N,90,-606624255,0.02430,0.03331,1.3707,4,258,517.0,0,1.0016
9165,243,383,fp16,N,N,90,-606603417,0.04473,0.04666,1.0430,4,198,360.3,0,1.0044
1621,184,563,fp16,N,N,364,-606603272,0.01643,0.02096,1.2762,4,399,196.3,0,1.0003
196,22930,1653,fp16,N,N,98,-606624239,0.23044,0.23880,1.0363,4,41,409.8,0,1.0055
582,238,1034,fp16,N,N,105,-606624235,0.02286,0.02953,1.2918,4,292,98.4,0,1.0022
513,1923,1063,fp16,N,N,97,-606603383,0.04545,0.07344,1.6158,4,131,200.8,0,1.0048
429,26260,572,fp16,N,N,217,-606624183,0.15758,0.27733,1.7600,4,36,479.7,0,1.0052
3344,308,5451,fp16,N,N,232,-606603321,0.20406,0.26487,1.2980,4,37,215.3,0,1.0016
239,154,147,fp16,N,N,92,-606603368,0.00872,0.02113,2.4229,4,303,30.1,0,1.0019
149,667,1268,fp16,N,N,97,-606603403,0.02469,0.03338,1.3517,4,263,99.9,0,1.0021
8511,161,24314,fp16,N,N,97,-606603410,1.13128,1.25824,1.1122,4,9,377.6,0,1.0023
2078,141,17901,fp16,N,N,103,-606624235,0.30311,0.86207,2.8441,4,12,266.0,0,1.0015
13530,358,11759,fp16,N,N,98,-606603414,1.33456,1.75907,1.3181,4,6,259.3,0,1.0043
163,146,480,fp16,N,N,92,-606603411,0.00951,0.00974,1.0241,4,617,41.2,0,0.9982
678,412,277,fp16,N,N,223,-606603268,0.01014,0.01041,1.0264,4,632,169.8,0,1.0131
922,4555,714,fp16,N,N,94,-606603423,0.08509,0.16684,1.9606,4,58,289.3,0,1.0018
318,555,341,fp16,N,N,94,-606603411,0.01247,0.01981,1.5878,4,395,104.3,0,1.0059
229,7268,10942,fp16,N,N,224,-606624147,0.48928,0.52089,1.0646,4,20,348.9,0,1.0034
27044,5130,388,fp16,N,N,98,-606603420,1.45285,1.54350,1.0624,4,7,399.2,0,1.0040
1518,191,9569,fp16,N,N,103,-606624108,0.17614,0.48191,2.7359,4,20,192.3,0,1.0042
5525,246,3721,fp16,N,N,99,-606603428,0.15507,1.21118,7.8106,4,9,312.0,0,1.0021
2903,646,13138,fp16,N,N,99,-606603416,0.63446,0.64377,1.0147,4,16,158.8,0,1.0017
19400,9691,148,fp16,N,N,94,-606603419,1.40624,1.40228,0.9972,4,8,540.9,0,1.0012
332,14142,449,fp16,N,N,98,-606624256,0.07823,0.20087,2.5677,4,48,406.2,0,1.0026
13397,5344,521,fp16,N,N,352,-606603428,0.86654,0.86967,1.0036,4,12,353.0,0,1.0040
490,4993,1305,fp16,N,N,101,-606603423,0.09631,0.16134,1.6752,4,61,250.2,0,1.0035
17055,928,3591,fp16,N,N,352,-606624255,1.12790,1.21321,1.0756,4,9,170.6,0,1.0037
9449,665,3396,fp16,N,N,90,-606624216,0.49921,0.63677,1.2756,4,16,188.0,0,1.0003
4566,1757,910,fp16,N,N,94,-606603427,0.17121,0.22393,1.3079,4,43,254.6,0,1.0012
1498,183,23114,fp16,N,N,103,-606624108,0.35096,0.36078,1.0280,4,27,224.5,0,1.0067
772,869,1937,fp16,N,N,103,-606624126,0.05574,0.05574,1.0001,4,169,162.2,0,1.0029
214,761,3307,fp16,N,N,103,-606624235,0.04392,0.07524,1.7129,4,126,161.6,0,1.0044
745,1019,160,fp16,N,N,90,-606603412,0.01235,0.03485,2.8206,4,228,291.5,0,1.0073
2026,13129,236,fp16,N,N,94,-606603423,0.23565,0.25863,1.0975,4,38,481.9,0,1.0001
631,3289,583,fp16,N,N,90,-606603417,0.04780,0.06176,1.2921,4,150,269.3,0,1.0174
5068,638,4194,fp16,N,N,98,-606603407,0.26959,2.60325,9.6564,4,5,225.5,0,1.0105
1494,587,9791,fp16,N,N,103,-606603383,0.27141,0.50300,1.8532,4,20,163.1,0,1.0096
180,2043,3289,fp16,N,N,103,-606624224,0.07019,0.15434,2.1988,4,63,229.3,0,0.9998
11375,263,6987,fp16,N,N,90,-606624259,0.62432,0.79232,1.2691,4,13,279.7,0,1.0082
148,6102,1802,fp16,N,N,107,-606603383,0.06020,0.10820,1.7972,4,93,434.2,0,1.0099
28299,3252,162,fp16,N,N,217,-606603427,0.64219,0.65550,1.0207,4,16,589.1,0,0.9986
146,2394,984,fp16,N,N,105,-606603296,0.02641,0.02750,1.0414,4,304,242.2,0,1.0176
657,695,2219,fp16,N,N,99,-606603299,0.06129,0.12712,2.0739,4,78,127.7,0,1.0003
554,3245,632,fp16,N,N,94,-606624248,0.04412,0.05955,1.3498,4,155,271.8,0,1.0044
189,6448,595,fp16,N,N,364,-606603320,0.02840,0.03207,1.1292,4,269,449.7,0,1.0051
617,9441,8668,fp16,N,N,90,-606624185,1.01992,1.27243,1.2476,4,8,193.8,0,1.0195
2919,742,14799,fp16,N,N,99,-606624248,0.72225,0.74788,1.0355,4,13,162.0,0,1.0040
184,2935,259,fp16,N,N,94,-606624140,0.01507,0.03822,2.5365,4,212,250.6,0,1.0070
22470,508,5716,fp16,N,N,223,-606624254,1.19415,1.31085,1.0977,4,8,258.2,0,1.0072
316,3942,3062,fp16,N,N,105,-606624255,0.12698,0.15837,1.2472,4,62,244.6,0,1.0037
1970,196,3139,fp16,N,N,232,-606624156,0.06735,0.06714,0.9969,4,136,224.8,0,1.0023
31983,601,145,fp16,N,N,90,-606624259,0.16503,0.17094,1.0358,4,58,523.2,0,1.0012
677,411,8594,fp16,N,N,99,-606624108,0.15315,0.15317,1.0002,4,62,129.4,0,1.0049
5977,9056,213,fp16,N,N,352,-606603338,0.39477,0.39831,1.0090,4,25,564.7,0,1.0039
21154,163,6884,fp16,N,N,94,-606603431,0.73032,0.87655,1.2002,4,12,420.8,0,1.0031
140,2653,9940,fp16,N,N,103,-606603296,0.22346,0.45472,2.0349,4,22,255.1,0,0.9987
735,2182,15132,fp16,N,N,99,-606624225,0.62416,0.71364,1.1434,4,14,151.7,0,1.0065
484,128,29438,fp16,N,N,399,-606624073,0.06627,0.24241,3.6582,4,40,547.5,0,1.0038
142,10724,8067,fp16,N,N,230,-606603305,0.34507,0.47931,1.3890,4,21,525.7,0,1.0155
7070,22490,328,fp16,N,N,98,-606624250,1.44353,1.43718,0.9956,4,7,454.0,0,1.0103
28745,18068,928,fp16,N,N,217,-606624251,8.86489,9.08895,1.0253,4,5,244.1,0,1.0117
217,226,7743,fp16,N,N,101,-606603283,0.04063,0.04055,0.9981,4,209,173.7,0,0.9975
4920,1810,534,fp16,N,N,98,-606624258,0.13277,0.14387,1.0836,4,67,322.4,0,1.0066
1043,305,4694,fp16,N,N,99,-606603392,0.09392,0.10556,1.1240,4,89,148.3,0,1.0209
773,10084,1182,fp16,N,N,217,-606624133,0.22798,0.23386,1.0258,4,42,249.3,0,1.0145
7830,2132,801,fp16,N,N,223,-606624258,0.31408,0.32881,1.0469,4,30,263.4,0,1.0107
545,7981,2163,fp16,N,N,90,-606603417,0.24075,0.30268,1.2573,4,33,225.5,0,1.0117
1373,14392,849,fp16,N,N,352,-606624218,0.36746,0.41164,1.1202,4,24,288.0,0,0.9999
798,12067,4238,fp16,N,N,94,-606603414,0.85764,1.10956,1.2937,4,9,172.1,0,1.0027
267,184,6375,fp16,N,N,393,-606603250,0.02411,0.03238,1.3430,4,246,246.6,0,1.0116
8343,625,2480,fp16,N,N,90,-606603427,0.30725,0.31505,1.0254,4,32,212.7,0,1.0126
241,7393,512,fp16,N,N,90,-606624249,0.03828,0.06168,1.6116,4,149,390.4,0,1.0020
236,2729,1294,fp16,N,N,101,-606624121,0.04032,0.04098,1.0164,4,205,254.2,0,1.0021
344,324,15417,fp16,N,N,232,-606624235,0.12135,0.31553,2.6002,4,32,173.4,0,1.0022
327,611,6369,fp16,N,N,99,-606603403,0.06725,0.10183,1.5141,4,93,189.5,0,1.0006
793,1693,706,fp16,N,N,90,-606624258,0.03558,0.05457,1.5339,4,170,249.6,0,1.0143
2589,470,5384,fp16,N,N,99,-606603428,0.20776,0.27336,1.3157,4,36,182.0,0,1.0126
2641,788,331,fp16,N,N,217,-606624133,0.02473,0.02459,0.9946,4,301,428.5,0,1.0096
3952,877,4278,fp16,N,N,94,-606624187,0.33172,0.50978,1.5368,4,20,166.3,0,1.0031
140,6203,275,fp16,N,N,94,-606624245,0.02208,0.02269,1.0278,4,359,315.4,0,1.0002
18699,32355,256,fp16,N,N,90,-606624251,4.39259,5.00019,1.1383,4,5,556.9,0,1.0047
2770,543,3688,fp16,N,N,101,-606603341,0.17578,0.21498,1.2230,4,44,173.2,0,1.0056
10133,149,259,fp16,N,N,90,-606624258,0.03265,0.03713,1.1373,4,228,348.1,0,1.0082
300,237,202,fp16,N,N,94,-606624243,0.00907,0.02209,2.4339,4,304,55.2,0,1.0084
138,748,11667,fp16,N,N,232,-606624235,0.09881,0.22847,2.3122,4,41,213.4,0,1.0041
2682,218,6314,fp16,N,N,107,-606624121,0.15246,0.31015,2.0343,4,32,255.5,0,1.0031
387,9164,377,fp16,N,N,217,-606603304,0.05051,0.05808,1.1500,4,161,423.5,0,1.0297
190,3084,6050,fp16,N,N,232,-606624125,0.12158,0.13543,1.1139,4,72,345.1,0,1.0023
22734,643,9504,fp16,N,N,94,-606603423,2.83234,2.87102,1.0137,4,5,177.5,0,1.0427
2078,7511,538,fp16,N,N,94,-606603427,0.23545,0.25105,1.0663,4,39,309.0,0,0.9809
12339,1835,565,fp16,N,N,90,-606603427,0.32973,0.35209,1.0678,4,28,323.2,0,1.0020
147,1734,4718,fp16,N,N,101,-606603403,0.08200,0.15122,1.8440,4,65,228.9,0,1.0051
1009,4516,731,fp16,N,N,217,-606603427,0.08728,0.11063,1.2676,4,87,301.4,0,1.0038
1757,964,1065,fp16,N,N,224,-606624131,0.05450,0.05442,0.9985,4,166,230.7,0,1.0034
206,199,151,fp16,N,N,94,-606603276,0.00893,0.01926,2.1568,4,302,32.1,0,1.0031
5585,16031,152,fp16,N,N,90,-606624258,0.68778,0.70602,1.0265,4,15,530.3,0,1.0006
296,15344,183,fp16,N,N,358,-606624196,0.04044,0.05897,1.4583,4,156,590.8,0,1.0043
4333,3043,1008,fp16,N,N,90,-606603427,0.28673,0.30703,1.0708,4,32,235.8,0,1.0149
151,3437,8079,fp16,N,N,99,-606603383,0.20485,0.37171,1.8146,4,27,293.2,0,1.0009
9687,951,5000,fp16,N,N,90,-606624258,0.88827,0.95695,1.0773,4,11,161.2,0,1.0017
