label,M,N,K,batch,dtype,opA,opB,beta,def_ms,tflops
unset,512,512,512,32,fp32,N,N,0,0.27627,31.09
unset,128,128,256,128,fp32,N,N,0,0.12693,8.46
unset,256,2048,4096,32,fp32,N,N,0,4.35719,31.54
unset,1024,512,512,16,fp32,N,N,0,0.25285,33.97
unset,4096,2048,512,4,fp32,N,N,1,0.94662,36.30
unset,2048,128,2048,2,fp32,N,N,0,0.08800,24.40
unset,512,256,4096,2,fp32,N,N,1,0.10587,20.28
unset,1024,64,4096,4,fp32,N,N,1,0.12619,17.02
unset,1024,64,8192,32,fp32,N,N,0,2.00038,17.18
unset,1024,512,64,8,fp32,N,N,0,0.04032,13.32
unset,128,2048,256,64,fp32,N,N,1,0.36795,23.35
unset,1024,128,256,2,fp32,N,N,0,0.01349,9.95
unset,64,128,8192,64,fp32,N,N,1,0.48955,17.55
unset,64,512,128,4,fp32,N,N,1,0.01136,2.95
unset,1024,64,4096,8,fp32,N,N,0,0.30123,14.26
unset,1024,512,512,128,fp32,N,N,0,1.90646,36.05
unset,2048,128,8192,8,fp32,N,N,1,1.37648,24.96
unset,4096,4096,256,8,fp32,N,N,1,1.87995,36.55
unset,64,128,256,32,fp32,N,N,1,0.02224,6.03
unset,64,64,128,4,fp32,N,T,1,0.00923,0.45
unset,128,128,4096,4,fp32,N,T,0,0.06875,7.81
unset,4096,256,128,128,fp32,N,T,1,1.77168,19.39
unset,128,2048,128,32,fp32,N,T,1,0.16779,12.80
unset,64,1024,64,8,fp32,N,T,0,0.01163,5.77
unset,512,512,2048,128,fp32,N,T,1,3.79084,36.26
unset,512,512,2048,32,fp32,N,T,0,0.95888,35.83
unset,128,64,2048,64,fp32,N,T,1,0.18325,11.72
unset,4096,512,512,8,fp32,N,T,0,0.50491,34.03
unset,2048,2048,1024,2,fp32,N,T,1,0.50949,33.72
unset,128,4096,512,16,fp32,N,T,1,0.35296,24.34
unset,512,4096,128,16,fp32,N,T,1,0.44325,19.38
unset,256,64,1024,64,fp32,N,T,1,0.17845,12.03
unset,4096,512,256,8,fp32,N,T,1,0.30629,28.04
unset,256,512,256,8,fp32,N,T,1,0.04085,13.14
unset,2048,2048,8192,4,fp32,N,T,1,11.32456,24.27
unset,256,128,2048,2,fp32,N,T,1,0.03339,8.04
unset,2048,256,512,64,fp32,N,T,0,1.04198,32.98
unset,4096,2048,1024,64,fp32,N,T,1,31.18893,35.25
unset,2048,4096,512,16,fp32,T,N,1,3.52668,38.97
unset,2048,512,64,2,fp32,T,N,0,0.02459,10.92
unset,64,1024,1024,64,fp32,T,N,0,0.30027,28.61
unset,1024,4096,8192,4,fp32,T,N,1,6.99543,39.29
unset,2048,4096,4096,16,fp32,T,N,1,27.88391,39.43
unset,128,2048,64,2,fp32,T,N,1,0.02485,2.70
unset,64,1024,64,2,fp32,T,N,1,0.01035,1.62
unset,256,256,1024,4,fp32,T,N,0,0.02976,18.04
unset,4096,4096,4096,16,fp32,T,N,0,55.21123,39.83
unset,256,512,2048,4,fp32,T,N,0,0.09413,22.81
unset,512,4096,4096,16,fp32,T,N,0,7.76183,35.41
unset,256,256,512,8,fp32,T,N,1,0.03136,17.12
unset,1024,4096,4096,4,fp32,T,N,1,3.50609,39.20
unset,64,1024,512,16,fp32,T,N,0,0.06965,15.42
unset,64,256,8192,2,fp32,T,N,1,0.13339,4.02
unset,2048,2048,64,32,fp32,T,N,1,1.27307,13.49
unset,2048,64,2048,16,fp32,T,N,1,0.38272,22.44
unset,128,128,64,16,fp32,T,N,0,0.01099,3.05
unset,64,256,512,32,fp32,T,N,1,0.04613,11.64
unset,128,4096,8192,2,fp32,T,T,1,0.91974,18.68
unset,128,4096,512,2,fp32,T,T,1,0.07589,14.15
unset,128,256,1024,64,fp32,T,T,1,0.26693,16.09
unset,64,1024,512,128,fp32,T,T,0,0.92368,9.30
unset,2048,256,128,64,fp32,T,T,0,0.50608,16.97
unset,2048,128,256,4,fp32,T,T,0,0.04149,12.94
unset,64,4096,4096,4,fp32,T,T,1,0.71174,12.07
unset,4096,4096,512,32,fp32,T,T,0,14.39651,38.19
unset,256,4096,64,8,fp32,T,T,1,0.14139,7.59
unset,128,256,256,64,fp32,T,T,0,0.06827,15.73
unset,128,512,64,4,fp32,T,T,1,0.01184,2.83
unset,2048,4096,128,128,fp32,T,T,0,8.56135,32.11
unset,1024,512,128,128,fp32,T,T,0,1.02560,16.75
unset,4096,128,8192,8,fp32,T,T,1,2.60881,26.34
unset,256,1024,64,32,fp32,T,T,1,0.14016,7.66
unset,64,256,256,4,fp32,T,T,0,0.02283,1.47
unset,256,4096,1024,8,fp32,T,T,0,0.60096,28.59
unset,512,512,128,2,fp32,T,T,1,0.02000,6.71
unset,128,1024,2048,128,fp32,T,T,1,2.93926,23.38
unset,2048,256,64,16,fp32,T,T,1,0.13483,7.96
unset,1024,128,256,64,bf16,N,N,0,0.16608,25.86
unset,512,1024,512,4,bf16,N,N,1,0.05925,36.24
unset,64,128,512,64,bf16,N,N,1,0.04395,12.22
unset,128,4096,128,16,bf16,N,N,0,0.12597,17.05
unset,1024,64,512,4,bf16,N,N,0,0.02592,10.36
unset,2048,256,64,8,bf16,N,N,0,0.03355,16.00
unset,1024,4096,4096,4,bf16,N,N,0,1.27003,108.22
unset,2048,64,4096,16,bf16,N,N,0,0.45600,37.68
unset,128,1024,512,8,bf16,N,N,1,0.07115,15.09
unset,128,512,128,8,bf16,N,N,0,0.01275,10.53
unset,128,2048,8192,4,bf16,N,N,0,0.36624,46.91
unset,512,1024,512,128,bf16,N,N,0,0.99595,69.00
unset,128,512,512,4,bf16,N,N,1,0.02128,12.61
unset,128,2048,128,4,bf16,N,N,0,0.02005,13.39
unset,1024,128,4096,16,bf16,N,N,0,0.33600,51.13
unset,128,256,2048,128,bf16,N,N,1,0.34880,49.25
unset,512,128,128,128,bf16,N,N,0,0.11104,19.34
unset,64,512,64,8,bf16,N,N,0,0.00949,3.53
unset,64,2048,1024,4,bf16,N,N,1,0.05360,20.03
unset,2048,256,64,32,bf16,N,T,1,0.13968,15.37
unset,128,2048,2048,2,bf16,N,T,0,0.04000,53.69
unset,256,512,256,64,bf16,N,T,1,0.12128,35.41
unset,1024,256,512,16,bf16,N,T,0,0.08005,53.65
unset,64,256,512,4,bf16,N,T,0,0.01072,6.26
unset,4096,4096,4096,2,bf16,N,T,1,2.38331,115.33
unset,256,512,512,32,bf16,N,T,0,0.07760,55.35
unset,4096,64,64,2,bf16,N,T,0,0.00976,6.88
unset,128,128,2048,32,bf16,N,T,1,0.12411,17.30
unset,4096,64,64,16,bf16,N,T,0,0.03232,16.61
unset,2048,512,128,64,bf16,N,T,1,0.72438,23.72
unset,512,512,4096,128,bf16,N,T,1,2.64934,103.75
unset,256,2048,2048,128,bf16,N,T,0,5.31703,51.70
unset,256,1024,512,2,bf16,N,T,0,0.01637,32.79
unset,128,256,2048,32,bf16,N,T,0,0.23499,18.28
unset,256,256,512,4,bf16,N,T,1,0.01371,19.58
unset,2048,512,64,32,bf16,N,T,1,0.31221,13.76
unset,64,4096,4096,2,bf16,N,T,0,0.12571,34.17
unset,256,512,8192,16,bf16,N,T,1,0.53344,64.41
unset,1024,128,128,8,bf16,N,T,1,0.02069,12.97
unset,4096,128,128,32,bf16,T,N,1,0.22533,19.06
unset,512,2048,8192,8,bf16,T,N,0,1.39110,98.80
unset,2048,64,64,32,bf16,T,N,0,0.02736,19.62
unset,2048,128,4096,4,bf16,T,N,1,0.18443,46.58
unset,2048,2048,64,2,bf16,T,N,0,0.05888,18.24
unset,4096,256,512,4,bf16,T,N,0,0.08779,48.92
unset,64,512,1024,4,bf16,T,N,0,0.02181,12.31
