M,N,K,dtype,opA,opB,beta,n_all,n_noatomic,def_repro,best_repro,best_in_noatomic_set,ms_def,ms_best,ms_best_noatomic
1024,16384,4096,fp32,N,N,0,586,562,1,1,1,10.29124,3.74185,3.73870
1024,16384,512,bf16,N,N,0,388,388,1,1,0,0.60931,0.21616,0.21595
1024,16384,8192,fp32,N,N,0,586,562,1,1,0,24.33159,7.43452,7.43335
1024,32768,16384,bf16,N,N,0,388,388,1,1,1,20.93609,8.19303,8.19649
1024,32768,16384,fp16,N,N,0,358,358,1,1,0,17.43844,8.67825,8.64855
1024,32768,16384,fp32,N,N,0,586,562,1,1,1,131.35312,29.67323,29.67776
1024,32768,512,bf16,N,N,0,388,388,1,1,0,1.13119,0.40570,0.40650
1024,32768,512,fp16,N,N,0,358,358,1,1,0,1.13846,0.43749,0.43941
1024,32768,8192,fp32,N,N,0,586,562,1,1,1,42.67442,14.86611,14.86555
16384,32768,1024,bf16,N,N,0,388,388,1,1,1,29.38191,10.30151,10.28430
16384,32768,2048,bf16,N,N,0,388,388,1,1,0,45.89302,18.13529,18.13106
16384,32768,512,bf16,N,N,0,388,388,1,1,0,22.72920,6.40196,6.38719
2048,16384,4096,fp32,N,N,0,586,562,1,1,0,21.32201,7.45174,7.46641
2048,16384,8192,fp32,N,N,0,586,562,1,1,0,51.39938,14.86288,14.85138
2048,32768,1024,bf16,N,N,0,388,388,1,1,0,3.76167,1.31549,1.31437
2048,32768,1024,fp16,N,N,0,358,358,1,1,0,3.78625,1.39768,1.39597
2048,32768,16384,bf16,N,N,0,388,388,1,1,0,42.76379,16.63521,16.66429
2048,32768,512,bf16,N,N,0,388,388,1,1,0,3.09859,0.81175,0.81148
2048,32768,512,fp16,N,N,0,358,358,1,1,0,3.10634,0.87906,0.87842
2048,32768,8192,fp32,N,N,0,586,562,1,1,1,84.92481,29.66875,29.67072
32768,32768,512,bf16,N,N,0,388,388,1,1,0,36.07661,12.71366,12.62368
4096,32768,1024,bf16,N,N,0,388,388,1,1,0,6.98364,2.61547,2.61110
4096,32768,1024,fp16,N,N,0,358,358,1,1,0,7.02290,2.78870,2.78513
4096,32768,16384,bf16,N,N,0,388,388,1,1,0,86.69633,33.64765,33.66508
4096,32768,512,bf16,N,N,0,388,388,1,1,0,5.72972,1.59993,1.61582
4096,32768,512,fp16,N,N,0,358,358,1,1,0,5.74460,1.76558,1.75241
4096,4096,16384,bf16,N,N,0,388,388,1,1,1,5.57023,4.17795,4.19491
4096,4096,16384,fp16,N,N,0,358,358,1,1,0,5.62540,4.28004,4.25902
4096,4096,16384,fp32,N,N,0,586,562,1,1,1,28.59274,14.87433,14.87054
8192,16384,32768,bf16,N,N,0,388,388,1,1,1,96.78133,63.68521,63.65974
8192,28672,8192,bf16,N,N,0,388,388,1,1,0,47.09491,28.06406,28.06069
8192,28672,8192,fp16,N,N,0,358,358,1,1,0,47.24609,31.11312,31.06111
8192,28672,8192,fp32,N,N,0,586,562,1,1,0,169.69066,102.69495,102.70290
8192,32768,1024,bf16,N,N,0,388,388,1,1,0,14.32379,5.19642,5.21636
8192,32768,2048,bf16,N,N,0,388,388,1,1,0,23.72800,9.24359,9.23980
8192,32768,512,bf16,N,N,0,388,388,1,1,0,11.22056,3.22070,3.22193
8192,32768,512,fp16,N,N,0,358,358,1,1,0,11.24533,3.51745,3.55260
8192,32768,8192,bf16,N,N,0,388,388,1,1,0,85.22690,33.99541,34.02469
8192,32768,8192,fp16,N,N,0,358,358,1,1,0,85.09279,36.00819,35.99495
