M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain,nrot,reps,ach_gbs,cache_flag,clk_drift
3850,546,2853,fp16,N,N,105,-606603416,0.15408,1.33188,8.6439,4,8,217.4,0,1.0045
159,1785,4877,fp16,N,N,99,-606624235,0.09252,0.16616,1.7959,4,59,217.2,0,1.0004
12944,708,24023,fp16,N,N,223,-606603333,3.84972,3.87798,1.0073,4,5,179.9,0,1.0350
407,18635,591,fp16,N,N,90,-606624255,0.14451,0.45782,3.1680,4,22,365.7,0,1.0058
660,132,20045,fp16,N,N,232,-606603283,0.11885,0.34960,2.9414,4,30,270.1,0,1.0100
28191,342,548,fp16,N,N,92,-606624259,0.16272,0.17007,1.0452,4,58,429.2,0,1.0169
7915,187,1057,fp16,N,N,97,-606624245,0.06494,0.07236,1.1142,4,128,354.9,0,1.0006
614,943,15203,fp16,N,N,103,-606603296,0.35826,0.75280,2.1013,4,14,138.6,0,1.0085
804,21161,19972,fp16,N,N,94,-606624185,6.36165,9.56990,1.5043,4,5,148.6,0,1.0101
240,503,360,fp16,N,N,94,-606603411,0.01176,0.01937,1.6467,4,397,86.5,0,1.0028
4483,916,12551,fp16,N,N,217,-606624259,1.11846,1.30657,1.1682,4,8,135.9,0,1.0034
271,459,2644,fp16,N,N,99,-606624235,0.03232,0.05969,1.8468,4,162,134.8,0,1.0142
344,1600,26541,fp16,N,N,399,-606603377,0.31888,0.43342,1.3592,4,23,330.5,0,1.0051
1880,192,5159,fp16,N,N,399,-606603377,0.07591,0.18848,2.4829,4,53,300.7,0,1.0032
148,1363,190,fp16,N,N,94,-606624140,0.01126,0.00946,0.8401,4,623,122.7,0,1.0084
139,10766,567,fp16,N,N,92,-606603416,0.04025,0.06995,1.7378,4,131,456.0,0,1.0181
4849,858,1452,fp16,N,N,92,-606624258,0.14769,0.19831,1.3427,4,50,224.9,0,1.0061
195,5830,1641,fp16,N,N,99,-606624255,0.07694,0.09852,1.2805,4,98,316.1,0,1.0001
2953,824,586,fp16,N,N,364,-606624161,0.04850,0.06124,1.2628,4,148,292.0,0,1.0031
233,205,210,fp16,N,N,90,-606624100,0.01091,0.00843,0.7728,4,630,34.4,0,1.0175
979,1344,197,fp16,N,N,352,-606603309,0.01585,0.01471,0.9280,4,493,389.8,0,1.0067
10794,30348,706,fp16,N,N,223,-606624251,4.81900,4.79104,0.9942,4,5,284.0,0,1.0082
180,157,1555,fp16,N,N,101,-606624200,0.01876,0.01852,0.9874,4,378,61.9,0,1.0067
6460,255,7674,fp16,N,N,101,-606624259,0.31613,0.44964,1.4223,4,23,346.8,0,1.0080
954,11193,4145,fp16,N,N,94,-606624261,0.95382,1.29762,1.3604,4,8,150.4,0,1.0015
995,22025,8902,fp16,N,N,90,-606603432,3.67613,3.75247,1.0208,4,5,135.3,0,1.0070
1833,217,2136,fp16,N,N,99,-606603296,0.05277,0.05273,0.9992,4,169,196.1,0,1.0075
226,219,434,fp16,N,N,94,-606624200,0.01207,0.01023,0.8478,4,594,48.4,0,1.0041
5690,855,3297,fp16,N,N,94,-606624262,0.40385,3.01133,7.4566,4,5,155.1,0,1.0063
167,455,1685,fp16,N,N,97,-606603275,0.02277,0.02274,0.9988,4,367,105.4,0,1.0110
13198,580,1816,fp16,N,N,223,-606603423,0.29574,0.33763,1.1416,4,30,272.7,0,1.0083
1444,2788,1016,fp16,N,N,223,-606603425,0.10542,0.11038,1.0471,4,87,234.3,0,1.0030
260,985,188,fp16,N,N,94,-606624140,0.01117,0.00948,0.8494,4,643,133.7,0,1.0025
7883,185,25889,fp16,N,N,97,-606624225,1.20733,1.40795,1.1662,4,8,350.8,0,1.0067
5791,822,16962,fp16,N,N,92,-606603354,1.69504,1.69533,1.0002,4,6,143.6,0,1.0024
11051,191,1855,fp16,N,N,97,-606603427,0.13219,0.16461,1.2453,4,61,379.4,0,1.0108
1851,234,15222,fp16,N,N,101,-606624235,0.25238,0.66712,2.6433,4,15,258.4,0,1.0250
1674,631,2003,fp16,N,N,103,-606624215,0.07304,0.13041,1.7854,4,74,184.3,0,1.0095
6655,20645,448,fp16,N,N,90,-606603419,1.50937,1.51010,1.0005,4,7,380.3,0,1.0199
287,8655,147,fp16,N,N,90,-606603427,0.02441,0.03329,1.3639,4,261,514.8,0,1.0062
9165,243,383,fp16,N,N,90,-606624249,0.04467,0.04646,1.0402,4,199,360.8,0,1.0108
1621,184,563,fp16,N,N,364,-606603255,0.01731,0.02094,1.2101,4,386,186.4,0,1.0056
196,22930,1653,fp16,N,N,98,-606624239,0.23066,0.23878,1.0352,4,41,409.4,0,1.0060
582,238,1034,fp16,N,N,105,-606624224,0.02388,0.02950,1.2354,4,294,94.2,0,1.0108
513,1923,1063,fp16,N,N,97,-606603383,0.04504,0.07332,1.6278,4,130,202.6,0,1.0079
429,26260,572,fp16,N,N,217,-606603352,0.15808,0.27797,1.7584,4,36,478.2,0,1.0048
3344,308,5451,fp16,N,N,232,-606624148,0.20446,0.26502,1.2962,4,37,214.9,0,1.0013
239,154,147,fp16,N,N,92,-606624100,0.00849,0.02113,2.4879,4,298,30.9,0,0.9998
149,667,1268,fp16,N,N,97,-606603403,0.02476,0.03340,1.3492,4,264,99.6,0,1.0128
8511,161,24314,fp16,N,N,97,-606624242,1.13971,1.25400,1.1003,4,8,374.8,0,1.0042
2078,141,17901,fp16,N,N,103,-606603403,0.30483,0.86221,2.8285,4,12,264.5,0,1.0031
13530,358,11759,fp16,N,N,98,-606624246,1.33525,1.76472,1.3216,4,6,259.1,0,1.0078
163,146,480,fp16,N,N,92,-606603411,0.00953,0.00976,1.0242,4,607,41.1,0,1.0024
678,412,277,fp16,N,N,223,-606603266,0.01057,0.01041,0.9852,4,652,162.9,0,0.9983
922,4555,714,fp16,N,N,94,-606603423,0.08491,0.16632,1.9586,4,58,289.9,0,1.0056
318,555,341,fp16,N,N,94,-606624243,0.01235,0.01962,1.5882,4,389,105.3,0,1.0091
229,7268,10942,fp16,N,N,224,-606624147,0.48892,0.52092,1.0654,4,19,349.2,0,1.0006
27044,5130,388,fp16,N,N,98,-606603420,1.45627,1.54210,1.0589,4,7,398.2,0,1.0053
1518,191,9569,fp16,N,N,103,-606603283,0.17576,0.48163,2.7402,4,20,192.7,0,1.0030
5525,246,3721,fp16,N,N,99,-606603428,0.15626,1.21132,7.7521,4,9,309.6,0,1.0043
2903,646,13138,fp16,N,N,99,-606603416,0.63353,0.64227,1.0138,4,16,159.0,0,1.0014
19400,9691,148,fp16,N,N,94,-606603419,1.40542,1.40039,0.9964,4,7,541.2,0,1.0038
332,14142,449,fp16,N,N,98,-606624256,0.07879,0.20082,2.5488,4,48,403.3,0,1.0011
13397,5344,521,fp16,N,N,352,-606624259,0.86423,0.86753,1.0038,4,12,354.0,0,1.0045
490,4993,1305,fp16,N,N,101,-606603427,0.09711,0.16118,1.6598,4,62,248.2,0,1.0046
17055,928,3591,fp16,N,N,352,-606624255,1.12788,1.21598,1.0781,4,9,170.6,0,1.0039
9449,665,3396,fp16,N,N,90,-606624216,0.50038,0.63610,1.2712,4,16,187.5,0,1.0012
4566,1757,910,fp16,N,N,94,-606624258,0.17171,0.22441,1.3069,4,43,253.9,0,1.0019
1498,183,23114,fp16,N,N,103,-606603283,0.35105,0.36271,1.0332,4,27,224.5,0,0.9977
