M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain,nrot,reps,ach_gbs,cache_flag,clk_drift
804,4546,1530,fp16,T,T,88,-606629615,0.16050,0.66905,4.1685,4,15,193.1,0,1.0037
257,4111,2657,fp16,T,T,53,-606629615,0.11781,0.65589,5.5672,4,16,232.9,0,1.0016
16334,1775,457,fp16,T,T,53,-606629607,0.41443,1.75331,4.2307,4,6,319.8,0,1.0040
2509,286,16100,fp16,T,T,88,-606629621,0.46365,1.83715,3.9623,4,6,200.3,0,1.0058
11931,653,374,fp16,T,T,53,-606629608,0.13021,0.42348,3.2522,4,24,311.6,0,1.0016
10005,193,5516,fp16,T,T,53,-606629615,0.32453,2.17696,6.7081,4,5,370.5,0,1.0037
554,2729,19204,fp16,T,T,53,-606629614,1.00746,4.89895,4.8627,4,5,131.2,0,1.0070
2105,535,3010,fp16,T,T,53,-606629614,0.12380,0.62301,5.0323,4,16,164.8,0,1.0126
294,8536,5746,fp16,T,T,88,-606629615,0.35715,1.93205,5.4096,4,6,312.2,0,1.0027
21225,24461,189,fp16,T,T,53,-606629610,6.94645,6.98572,1.0057,4,5,301.4,0,1.0083
532,542,8561,fp16,T,T,53,-606629622,0.15183,0.89412,5.8889,4,12,128.7,0,0.9998
678,4915,132,fp16,T,T,53,-606629607,0.05454,0.08051,1.4761,4,117,271.4,0,1.0055
292,460,8645,fp16,T,T,53,-606629622,0.14269,0.89862,6.2979,4,12,94.9,0,1.0210
15758,487,1020,fp16,T,T,53,-606629618,0.22813,1.09360,4.7937,4,10,279.8,0,1.0054
447,416,626,fp16,T,T,88,-606629613,0.01450,0.03280,2.2617,4,265,125.8,0,1.0018
7934,2060,570,fp16,T,T,88,-606629615,0.25480,1.07402,4.2151,4,10,301.3,0,1.0040
4687,202,3963,fp16,T,T,53,-606629614,0.15705,0.81321,5.1780,4,13,270.9,0,1.0200
1346,842,2833,fp16,T,T,53,-606629606,0.11750,0.11795,1.0039,4,78,144.1,0,1.0150
210,178,16546,fp16,T,T,88,-606629621,0.28018,0.58197,2.0771,4,18,46.4,0,0.9991
156,177,4601,fp16,T,T,53,-606629621,0.07987,0.50049,6.2665,4,20,39.7,0,1.0158
14166,232,3697,fp16,T,T,53,-606629615,0.33931,1.89320,5.5795,4,6,352.5,0,1.0055
2455,413,6140,fp16,T,T,53,-606629606,0.22455,1.25121,5.5721,4,8,174.9,0,1.0024
25342,711,4792,fp16,T,T,53,-606629609,1.69110,1.73542,1.0262,4,6,190.3,0,1.0042
1024,267,5823,fp16,T,T,53,-606629612,0.10668,0.77696,7.2831,4,14,151.2,0,1.0081
8280,248,27509,fp16,T,T,53,-606629620,1.55457,8.47783,5.4535,4,5,307.1,0,1.0055
257,467,1150,fp16,T,T,53,-606629622,0.02407,0.02407,0.9998,4,337,89.1,0,1.0060
449,650,5004,fp16,T,T,88,-606629612,0.09382,0.39192,4.1772,4,26,129.7,0,1.0051
22286,252,21620,fp16,T,T,88,-606629618,2.58114,14.19313,5.4988,4,5,386.3,0,1.0195
504,177,475,fp16,T,T,53,-606629612,0.01183,0.05157,4.3576,4,144,84.8,0,0.9996
2476,621,11347,fp16,T,T,53,-606629606,0.43895,2.91421,6.6390,4,5,174.1,0,1.0064
