label,M,N,K,dtype,opA,opB,beta,def_ms,tflops
unset_r1,1024,1024,512,fp32,N,N,0,0.03973,27.02
unset_r1,1024,1024,1024,fp32,N,N,0,0.07067,30.39
unset_r1,1024,1024,2048,fp32,N,N,0,0.13232,32.46
unset_r1,1024,1024,4096,fp32,N,N,0,0.25568,33.60
unset_r1,1024,2048,512,fp32,N,N,0,0.06816,31.51
unset_r1,1024,2048,1024,fp32,N,N,0,0.12805,33.54
unset_r1,1024,4096,512,fp32,N,N,0,0.12491,34.39
unset_r1,1024,1024,8192,fp32,N,N,0,0.61163,28.09
unset_r1,1024,2048,2048,fp32,N,N,0,0.24795,34.64
unset_r1,1024,4096,1024,fp32,N,N,0,0.24821,34.61
unset_r1,1024,8192,512,fp32,N,N,0,0.23995,35.80
unset_r1,1024,2048,4096,fp32,N,N,0,0.50096,34.29
unset_r1,1024,4096,2048,fp32,N,N,0,0.45728,37.57
unset_r1,1024,1024,16384,fp32,N,N,0,1.09093,31.50
unset_r1,1024,8192,1024,fp32,N,N,0,0.46869,36.65
unset_r1,1024,16384,512,fp32,N,N,0,0.50117,34.28
unset_r1,1024,2048,8192,fp32,N,N,0,1.21557,28.27
unset_r1,1024,4096,4096,fp32,N,N,0,0.93824,36.62
unset_r1,1024,8192,2048,fp32,N,N,0,0.93376,36.80
unset_r1,1024,16384,1024,fp32,N,N,0,1.02645,33.47
unset_r1,1024,1024,32768,fp32,N,N,0,2.99659,22.93
unset_r1,1024,32768,512,fp32,N,N,0,1.25339,27.41
unset_r1,2048,1024,512,fp32,N,N,0,0.06736,31.88
unset_r1,2048,2048,512,fp32,N,N,0,0.13179,32.59
unset_r1,1024,2048,16384,fp32,N,N,0,3.64539,18.85
unset_r1,2048,4096,512,fp32,N,N,0,0.23717,36.22
unset_r1,1024,4096,8192,fp32,N,N,0,2.58128,26.62
unset_r1,1024,8192,4096,fp32,N,N,0,2.11728,32.46
unset_r1,2048,8192,512,fp32,N,N,0,0.45968,37.37
unset_r1,1024,16384,2048,fp32,N,N,0,3.12763,21.97
unset_r1,1024,32768,1024,fp32,N,N,0,2.16112,31.80
unset_r1,2048,16384,512,fp32,N,N,0,0.97152,35.37
unset_r1,1024,1024,65536,fp32,N,N,0,7.64139,17.99
unset_r1,2048,1024,1024,fp32,N,N,0,0.12512,34.33
unset_r1,2048,2048,1024,fp32,N,N,0,0.23707,36.23
unset_r1,2048,4096,1024,fp32,N,N,0,0.46843,36.68
unset_r1,2048,8192,1024,fp32,N,N,0,0.90741,37.87
unset_r1,1024,2048,32768,fp32,N,N,0,3.66053,37.55
unset_r1,1024,4096,16384,fp32,N,N,0,9.18773,14.96
unset_r1,2048,32768,512,fp32,N,N,0,2.45413,28.00
unset_r1,1024,8192,8192,fp32,N,N,0,5.50395,24.97
unset_r1,1024,16384,4096,fp32,N,N,0,10.44624,13.16
unset_r1,4096,1024,512,fp32,N,N,0,0.12891,33.32
unset_r1,4096,2048,512,fp32,N,N,0,0.23760,36.15
unset_r1,2048,16384,1024,fp32,N,N,0,1.86448,36.86
unset_r1,4096,4096,512,fp32,N,N,0,0.45547,37.72
unset_r1,1024,32768,2048,fp32,N,N,0,3.94539,34.84
unset_r1,4096,8192,512,fp32,N,N,0,0.90491,37.97
unset_r1,2048,1024,2048,fp32,N,N,0,0.26528,32.38
unset_r1,2048,2048,2048,fp32,N,N,0,0.45749,37.55
unset_r1,2048,4096,2048,fp32,N,N,0,0.92187,37.27
unset_r1,4096,16384,512,fp32,N,N,0,1.90203,36.13
unset_r1,2048,8192,2048,fp32,N,N,0,1.87541,36.64
unset_r1,2048,32768,1024,fp32,N,N,0,4.25109,32.33
unset_r1,4096,1024,1024,fp32,N,N,0,0.23424,36.67
unset_r1,4096,2048,1024,fp32,N,N,0,0.45979,37.36
unset_r1,4096,4096,1024,fp32,N,N,0,0.90645,37.91
unset_r1,2048,16384,2048,fp32,N,N,0,7.04085,19.52
unset_r1,1024,8192,16384,fp32,N,N,0,16.92224,16.24
unset_r1,1024,2048,65536,fp32,N,N,0,13.43056,20.47
unset_r1,1024,4096,32768,fp32,N,N,0,7.31957,37.55
unset_r1,4096,32768,512,fp32,N,N,0,5.12853,26.80
unset_r1,4096,8192,1024,fp32,N,N,0,1.83893,37.37
unset_r1,1024,16384,8192,fp32,N,N,0,22.09509,12.44
unset_r1,8192,1024,512,fp32,N,N,0,0.23440,36.65
unset_r1,8192,2048,512,fp32,N,N,0,0.45792,37.52
unset_r1,8192,4096,512,fp32,N,N,0,0.89915,38.21
unset_r1,1024,32768,4096,fp32,N,N,0,7.47494,36.77
unset_r1,4096,16384,1024,fp32,N,N,0,3.66560,37.49
unset_r1,8192,8192,512,fp32,N,N,0,1.78064,38.59
unset_r1,2048,1024,4096,fp32,N,N,0,0.50048,34.33
unset_r1,2048,2048,4096,fp32,N,N,0,0.92411,37.18
unset_r1,2048,4096,4096,fp32,N,N,0,2.12187,32.39
unset_r1,8192,16384,512,fp32,N,N,0,3.79467,36.22
unset_r1,2048,32768,2048,fp32,N,N,0,7.77456,35.36
unset_r1,2048,8192,4096,fp32,N,N,0,4.46933,30.75
unset_r1,4096,1024,2048,fp32,N,N,0,0.47003,36.55
unset_r1,4096,2048,2048,fp32,N,N,0,0.93392,36.79
unset_r1,4096,32768,1024,fp32,N,N,0,11.71760,23.46
unset_r1,4096,4096,2048,fp32,N,N,0,1.83749,37.40
unset_r1,8192,1024,1024,fp32,N,N,0,0.45872,37.45
unset_r1,8192,2048,1024,fp32,N,N,0,0.90533,37.95
unset_r1,4096,8192,2048,fp32,N,N,0,3.92144,35.05
unset_r1,8192,32768,512,fp32,N,N,0,14.67264,18.73
unset_r1,8192,4096,1024,fp32,N,N,0,1.82624,37.63
unset_r1,2048,16384,4096,fp32,N,N,0,21.46790,12.80
unset_r1,1024,8192,32768,fp32,N,N,0,14.50688,37.90
unset_r1,1024,4096,65536,fp32,N,N,0,21.33030,25.77
unset_r1,16384,1024,512,fp32,N,N,0,0.45547,37.72
unset_r1,8192,8192,1024,fp32,N,N,0,3.51573,39.09
unset_r1,16384,2048,512,fp32,N,N,0,0.89893,38.22
unset_r1,1024,16384,16384,fp32,N,N,0,13.59312,40.44
unset_r1,16384,4096,512,fp32,N,N,0,1.78960,38.40
unset_r1,4096,16384,2048,fp32,N,N,0,7.15168,38.44
unset_r1,16384,8192,512,fp32,N,N,0,3.57952,38.40
unset_r1,8192,16384,1024,fp32,N,N,0,7.32171,37.54
unset_r1,1024,32768,8192,fp32,N,N,0,42.64918,12.89
unset_r1,16384,16384,512,fp32,N,N,0,7.58891,36.22
unset_r1,2048,1024,8192,fp32,N,N,0,1.42923,24.04
unset_r1,2048,2048,8192,fp32,N,N,0,2.28331,30.10
unset_r1,2048,4096,8192,fp32,N,N,0,5.21483,26.36
unset_r1,2048,32768,4096,fp32,N,N,0,14.98784,36.68
unset_r1,4096,32768,2048,fp32,N,N,0,29.00406,18.95
unset_r1,8192,32768,1024,fp32,N,N,0,23.21520,23.68
unset_r1,4096,1024,4096,fp32,N,N,0,0.90299,38.05
unset_r1,8192,1024,2048,fp32,N,N,0,0.92827,37.01
unset_r1,2048,8192,8192,fp32,N,N,0,11.40512,24.10
unset_r1,4096,2048,4096,fp32,N,N,0,1.73253,39.66
unset_r1,8192,2048,2048,fp32,N,N,0,1.93920,35.44
unset_r1,4096,4096,4096,fp32,N,N,0,3.53339,38.90
unset_r1,8192,4096,2048,fp32,N,N,0,4.85173,28.33
unset_r1,16384,1024,1024,fp32,N,N,0,0.89371,38.45
unset_r1,16384,2048,1024,fp32,N,N,0,1.77472,38.72
unset_r1,16384,32768,512,fp32,N,N,0,19.65099,27.98
unset_r1,16384,4096,1024,fp32,N,N,0,3.64192,37.74
unset_r1,8192,8192,2048,fp32,N,N,0,6.98304,39.36
unset_r1,4096,8192,4096,fp32,N,N,0,9.56710,28.73
unset_r1,32768,1024,512,fp32,N,N,0,0.89547,38.37
unset_r1,32768,2048,512,fp32,N,N,0,1.78219,38.56
unset_r1,16384,8192,1024,fp32,N,N,0,7.32261,37.54
unset_r1,32768,4096,512,fp32,N,N,0,3.54533,38.77
unset_r1,2048,16384,8192,fp32,N,N,0,46.72092,11.77
unset_r1,1024,8192,65536,fp32,N,N,0,37.17739,29.57
unset_r1,32768,8192,512,fp32,N,N,0,7.07376,38.86
unset_r1,8192,16384,2048,fp32,N,N,0,14.28331,38.49
unset_r1,4096,16384,4096,fp32,N,N,0,24.41841,22.51
unset_r1,1024,16384,32768,fp32,N,N,0,29.17963,37.68
unset_r1,16384,16384,1024,fp32,N,N,0,14.64080,37.55
unset_r1,32768,16384,512,fp32,N,N,0,15.12982,36.34
unset_r1,1024,32768,16384,fp32,N,N,0,125.69450,8.75
unset_r1,2048,1024,16384,fp32,N,N,0,2.71413,25.32
unset_r1,2048,2048,16384,fp32,N,N,0,5.82683,23.59
unset_r1,8192,32768,2048,fp32,N,N,0,65.16115,16.87
unset_r1,16384,32768,1024,fp32,N,N,0,39.11447,28.11
unset_r1,2048,4096,16384,fp32,N,N,0,16.58950,16.57
unset_r1,16384,1024,2048,fp32,N,N,0,1.76992,38.83
unset_r1,16384,2048,2048,fp32,N,N,0,3.52651,38.97
unset_r1,4096,32768,4096,fp32,N,N,0,61.63640,17.84
unset_r1,32768,1024,1024,fp32,N,N,0,1.77163,38.79
unset_r1,32768,32768,512,fp32,N,N,0,40.37452,27.23
unset_r1,32768,2048,1024,fp32,N,N,0,3.57877,38.40
unset_r1,16384,4096,2048,fp32,N,N,0,10.10000,27.22
unset_r1,2048,32768,8192,fp32,N,N,0,84.78318,12.97
unset_r1,8192,1024,4096,fp32,N,N,0,2.54848,26.96
unset_r1,32768,4096,1024,fp32,N,N,0,7.08304,38.81
unset_r1,8192,2048,4096,fp32,N,N,0,3.43259,40.04
unset_r1,2048,8192,16384,fp32,N,N,0,31.99650,17.18
unset_r1,4096,1024,8192,fp32,N,N,0,2.11717,32.46
unset_r1,16384,8192,2048,fp32,N,N,0,18.70742,29.39
unset_r1,8192,4096,4096,fp32,N,N,0,7.03686,39.06
unset_r1,4096,2048,8192,fp32,N,N,0,3.72587,36.89
unset_r1,32768,8192,1024,fp32,N,N,0,14.68054,37.45
unset_r1,4096,4096,8192,fp32,N,N,0,11.23302,24.47
unset_r1,8192,8192,4096,fp32,N,N,0,21.38503,25.71
unset_r1,4096,8192,8192,fp32,N,N,0,13.91137,39.52
unset_r1,16384,16384,2048,fp32,N,N,0,28.56839,38.49
unset_r1,32768,16384,1024,fp32,N,N,0,29.21153,37.64
unset_r1,2048,16384,16384,fp32,N,N,0,27.13548,40.52
unset_r1,8192,16384,4096,fp32,N,N,0,28.21954,38.96
unset_r1,1024,16384,65536,fp32,N,N,0,78.46916,28.02
unset_r1,4096,16384,8192,fp32,N,N,0,51.79982,21.23
unset_r1,4096,1024,16384,fp32,N,N,0,5.92731,23.19
unset_r1,4096,2048,16384,fp32,N,N,0,12.77622,21.51
unset_r1,8192,28672,8192,fp32,N,N,0,168.78171,22.80
unset_r1,4096,4096,16384,fp32,N,N,0,28.84055,19.06
unset_r1,16384,32768,2048,fp32,N,N,0,85.68795,25.66
unset_r1,32768,32768,1024,fp32,N,N,0,85.24118,25.80
unset_r1,1024,32768,32768,fp32,N,N,0,54.54686,40.31
unset_r1,32768,1024,2048,fp32,N,N,0,5.25696,26.14
unset_r1,4096,8192,16384,fp32,N,N,0,27.09623,40.58
unset_r1,32768,2048,2048,fp32,N,N,0,9.85382,27.90
unset_r1,2048,1024,32768,fp32,N,N,0,4.83872,28.40
unset_r1,2048,2048,32768,fp32,N,N,0,8.79814,31.24
unset_r1,32768,4096,2048,fp32,N,N,0,17.89831,30.72
unset_r1,8192,32768,4096,fp32,N,N,0,128.29103,17.14
unset_r1,2048,4096,32768,fp32,N,N,0,14.96609,36.73
unset_r1,16384,1024,4096,fp32,N,N,0,3.53062,38.93
unset_r1,32768,8192,2048,fp32,N,N,0,36.48094,30.14
unset_r1,16384,2048,4096,fp32,N,N,0,7.03606,39.07
unset_r1,16384,4096,4096,fp32,N,N,0,23.62951,23.27
unset_r1,16384,8192,8192,fp32,N,N,0,54.15887,40.60
unset_r1,4096,32768,8192,fp32,N,N,0,156.81090,14.02
unset_r1,2048,8192,32768,fp32,N,N,0,30.20984,36.40
unset_r1,8192,1024,8192,fp32,N,N,0,4.69254,29.29
unset_r1,16384,8192,4096,fp32,N,N,0,46.59306,23.60
unset_r1,8192,2048,8192,fp32,N,N,0,8.86875,30.99
unset_r1,4096,16384,16384,fp32,N,N,0,54.21909,40.56
unset_r1,32768,16384,2048,fp32,N,N,0,64.23419,34.23
unset_r1,8192,4096,8192,fp32,N,N,0,13.55436,40.56
unset_r1,8192,8192,8192,fp32,N,N,0,27.09384,40.58
unset_r1,8192,1024,16384,fp32,N,N,0,12.18369,22.56
unset_r1,16384,16384,4096,fp32,N,N,0,56.44672,38.96
unset_r1,8192,2048,16384,fp32,N,N,0,25.19202,21.82
unset_r1,2048,16384,32768,fp32,N,N,0,60.08453,36.60
unset_r1,8192,4096,16384,fp32,N,N,0,54.74117,20.09
unset_r1,8192,16384,8192,fp32,N,N,0,54.84928,40.09
unset_r1,16384,1024,8192,fp32,N,N,0,7.04705,39.01
unset_r1,32768,32768,2048,fp32,N,N,0,184.41933,23.85
unset_r1,8192,8192,16384,fp32,N,N,0,157.31242,13.98
unset_r1,16384,2048,8192,fp32,N,N,0,14.04609,39.14
unset_r1,16384,4096,8192,fp32,N,N,0,27.75256,39.62
unset_r1,1024,32768,65536,fp32,N,N,0,154.37242,28.49
unset_r1,16384,32768,4096,fp32,N,N,0,183.53943,23.96
unset_r1,16384,8192,8192,fp32,N,N,0,54.14650,40.61
unset_r1,2048,1024,65536,fp32,N,N,0,8.32001,33.04
unset_r1,12288,12288,12288,fp32,N,N,0,90.99679,40.78
unset_r1,32768,1024,4096,fp32,N,N,0,12.70753,21.63
