M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain,nrot,reps,ach_gbs,cache_flag,clk_drift
18,2953,10244,fp16,N,T,70,-606604766,0.08122,0.14544,1.7907,4,67,752.1,0,1.0090
1131,15131,365,fp32,N,N,556,-606634135,0.39271,0.39249,0.9994,4,26,234.8,0,1.0021
1,334,514,fp16,N,T,63,-9,0.00478,0.00835,1.7490,4,665,72.4,0,1.0061
8381,6725,11137,fp16,N,N,90,-606624263,10.40623,12.01605,1.1547,4,5,54.0,0,1.0418
4024,4471,4298,fp32,T,T,82,-606620795,4.50391,4.66001,1.0347,4,5,48.4,0,1.0621
4130,6711,2365,fp32,N,N,556,-606628015,3.85836,5.00297,1.2967,4,5,55.3,0,1.0139
3095,218,431,bf16,N,N,166,-606605261,0.01991,0.07443,3.7377,4,128,279.0,0,0.9856
8,34,39,fp32,N,N,556,-606605043,0.00717,0.00755,1.0527,4,972,1.1,0,0.9998
19718,278,883,bf16,T,N,231,-606605602,0.13669,0.13751,1.0060,4,72,418.8,0,1.0489
2212,10524,1291,bf16,T,N,332,-606630826,0.59225,0.68861,1.1627,4,16,212.7,0,1.0776
7920,5570,15480,fp16,N,T,62,-606604809,21.46274,21.39787,0.9970,4,5,27.7,0,0.9478
305,25443,22671,bf16,T,N,231,-606630848,3.57994,3.98179,1.1122,4,5,334.8,0,1.1828
6476,320,30601,fp32,N,N,562,-606605148,3.61290,5.54879,1.5358,4,5,232.5,0,0.9180
9,51,93,bf16,N,N,166,-606629913,0.00724,0.00759,1.0492,4,730,1.8,0,0.9841
18233,18386,4685,fp16,T,T,53,-606629618,44.95977,47.89686,1.0653,4,5,37.5,0,1.0054
682,457,1403,bf16,N,T,62,-606623205,0.03077,0.03341,1.0859,4,256,144.4,0,0.9990
556,88,308,fp16,T,N,513,-606622840,0.00823,0.00745,0.9048,4,802,72.0,0,1.0017
7682,150,53,fp32,T,N,519,-606634109,0.01255,0.01402,1.1177,4,552,499.7,0,1.0006
67,97,111,bf16,N,N,166,-606629876,0.00782,0.00708,0.9061,4,700,8.0,0,1.0097
4111,7738,1133,fp16,N,N,92,-606603427,0.78202,0.82596,1.0562,4,13,197.0,0,1.0063
3850,546,2853,fp16,N,N,105,-606624249,0.15311,1.33027,8.6884,4,8,218.7,0,0.9996
111,10,207,fp32,T,T,82,-606620797,0.01023,0.01145,1.1200,4,479,10.2,0,0.9968
2506,2654,21291,bf16,N,N,166,-606629916,3.17399,3.17803,1.0013,4,5,77.6,0,1.0241
1706,48,137,fp32,T,N,525,-606603830,0.00806,0.00804,0.9967,4,915,159.8,0,0.9278
4133,172,366,bf16,T,T,39,-606619899,0.01706,0.02325,1.3630,4,361,351.4,0,1.0059
340,629,1530,fp32,N,N,556,-606605102,0.04349,0.04479,1.0299,4,202,156.0,0,0.9939
180,9,52,fp16,T,N,245,-606622898,0.00764,0.00776,1.0161,4,757,3.4,0,1.0039
4347,84,177,fp16,T,T,53,-606629622,0.01083,0.03166,2.9233,4,283,279.7,0,1.0015
56,62,80,fp32,N,N,556,-606605036,0.00777,0.00743,0.9566,4,611,6.6,0,1.0018
6662,3554,8367,bf16,T,T,39,-606619916,3.73767,4.85914,1.3000,4,5,71.1,0,1.1741
