label,M,N,K,dtype,opA,opB,beta,def_ms,tflops
unset_n13,1024,1024,512,bf16,N,N,0,0.02453,43.77
unset_n13,1024,1024,1024,bf16,N,N,0,0.03077,69.78
unset_n13,1024,2048,512,bf16,N,N,0,0.03264,65.79
unset_n13,1024,1024,2048,bf16,N,N,0,0.07920,54.23
unset_n13,1024,2048,1024,bf16,N,N,0,0.04992,86.04
unset_n13,1024,4096,512,bf16,N,N,0,0.07184,59.78
unset_n13,1024,1024,4096,bf16,N,N,0,0.08699,98.75
unset_n13,1024,2048,2048,bf16,N,N,0,0.08869,96.85
unset_n13,1024,4096,1024,bf16,N,N,0,0.10629,80.81
unset_n13,1024,8192,512,bf16,N,N,0,0.10949,78.45
unset_n13,1024,1024,8192,bf16,N,N,0,0.16277,105.54
unset_n13,1024,2048,4096,bf16,N,N,0,0.17109,100.41
unset_n13,1024,4096,2048,bf16,N,N,0,0.20011,85.85
unset_n13,1024,8192,1024,bf16,N,N,0,0.18917,90.82
unset_n13,1024,16384,512,bf16,N,N,0,0.60555,28.37
unset_n13,1024,1024,16384,bf16,N,N,0,0.32475,105.80
unset_n13,1024,2048,8192,bf16,N,N,0,0.32848,104.60
unset_n13,1024,4096,4096,bf16,N,N,0,0.34640,99.19
unset_n13,1024,8192,2048,bf16,N,N,0,0.33925,101.28
unset_n13,1024,16384,1024,bf16,N,N,0,0.37797,90.90
unset_n13,1024,32768,512,bf16,N,N,0,1.12512,30.54
unset_n13,2048,1024,512,bf16,N,N,0,0.03584,59.92
unset_n13,1024,1024,32768,bf16,N,N,0,0.70342,97.69
unset_n13,2048,2048,512,bf16,N,N,0,0.06469,66.39
unset_n13,2048,4096,512,bf16,N,N,0,0.11515,74.60
unset_n13,1024,2048,16384,bf16,N,N,0,0.65659,104.66
unset_n13,1024,4096,8192,bf16,N,N,0,0.75083,91.52
unset_n13,1024,8192,4096,bf16,N,N,0,0.72128,95.27
unset_n13,2048,8192,512,bf16,N,N,0,0.20997,81.82
unset_n13,1024,16384,2048,bf16,N,N,0,0.66624,103.14
unset_n13,2048,16384,512,bf16,N,N,0,0.43125,79.67
unset_n13,1024,32768,1024,bf16,N,N,0,1.52582,45.04
unset_n13,2048,1024,1024,bf16,N,N,0,0.05131,83.71
unset_n13,2048,2048,1024,bf16,N,N,0,0.14901,57.65
unset_n13,2048,4096,1024,bf16,N,N,0,0.16821,102.13
unset_n13,1024,1024,65536,bf16,N,N,0,2.24822,61.13
unset_n13,2048,8192,1024,bf16,N,N,0,0.36571,93.95
unset_n13,1024,4096,16384,bf16,N,N,0,1.36288,100.84
unset_n13,1024,8192,8192,bf16,N,N,0,1.35488,101.44
unset_n13,2048,32768,512,bf16,N,N,0,3.07708,22.33
unset_n13,1024,2048,32768,bf16,N,N,0,1.01232,135.77
unset_n13,4096,1024,512,bf16,N,N,0,0.05179,82.94
unset_n13,1024,16384,4096,bf16,N,N,0,1.25574,109.45
unset_n13,4096,2048,512,bf16,N,N,0,0.11701,73.41
unset_n13,4096,4096,512,bf16,N,N,0,0.19872,86.45
unset_n13,2048,16384,1024,bf16,N,N,0,0.68582,100.20
unset_n13,4096,8192,512,bf16,N,N,0,0.37296,92.13
unset_n13,1024,32768,2048,bf16,N,N,0,2.27201,60.49
unset_n13,2048,1024,2048,bf16,N,N,0,0.15499,55.42
unset_n13,2048,2048,2048,bf16,N,N,0,0.14043,122.34
unset_n13,2048,4096,2048,bf16,N,N,0,0.30155,113.94
unset_n13,4096,16384,512,bf16,N,N,0,0.85659,80.22
unset_n13,2048,8192,2048,bf16,N,N,0,0.53717,127.93
unset_n13,2048,32768,1024,bf16,N,N,0,3.72609,36.89
unset_n13,4096,1024,1024,bf16,N,N,0,0.07947,108.09
unset_n13,4096,2048,1024,bf16,N,N,0,0.17013,100.98
unset_n13,4096,4096,1024,bf16,N,N,0,0.31141,110.33
unset_n13,2048,16384,2048,bf16,N,N,0,1.20710,113.86
unset_n13,4096,8192,1024,bf16,N,N,0,0.61611,111.54
unset_n13,1024,8192,16384,bf16,N,N,0,2.48091,110.80
unset_n13,4096,32768,512,bf16,N,N,0,5.66823,24.25
unset_n13,1024,4096,32768,bf16,N,N,0,3.30284,83.22
unset_n13,8192,1024,512,bf16,N,N,0,0.10853,79.15
unset_n13,1024,2048,65536,bf16,N,N,0,4.12551,66.63
unset_n13,8192,2048,512,bf16,N,N,0,0.20283,84.70
unset_n13,1024,16384,8192,bf16,N,N,0,2.44818,112.28
unset_n13,8192,4096,512,bf16,N,N,0,0.36469,94.22
unset_n13,8192,8192,512,bf16,N,N,0,0.78934,87.06
unset_n13,1024,32768,4096,bf16,N,N,0,4.69047,58.60
unset_n13,4096,16384,1024,bf16,N,N,0,1.35131,101.71
unset_n13,2048,1024,4096,bf16,N,N,0,0.15584,110.24
unset_n13,2048,2048,4096,bf16,N,N,0,0.48075,71.47
unset_n13,2048,4096,4096,bf16,N,N,0,0.51104,134.47
unset_n13,8192,16384,512,bf16,N,N,0,1.70961,80.39
unset_n13,2048,8192,4096,bf16,N,N,0,1.26096,109.00
unset_n13,2048,32768,2048,bf16,N,N,0,5.58258,49.24
unset_n13,4096,1024,2048,bf16,N,N,0,0.22421,76.62
unset_n13,4096,2048,2048,bf16,N,N,0,0.34299,100.18
unset_n13,4096,4096,2048,bf16,N,N,0,0.62534,109.89
unset_n13,4096,32768,1024,bf16,N,N,0,7.07965,38.83
unset_n13,8192,1024,1024,bf16,N,N,0,0.18853,91.12
unset_n13,8192,2048,1024,bf16,N,N,0,0.31803,108.04
unset_n13,4096,8192,2048,bf16,N,N,0,1.12438,122.24
unset_n13,8192,4096,1024,bf16,N,N,0,0.60294,113.97
unset_n13,2048,16384,4096,bf16,N,N,0,2.26091,121.58
unset_n13,8192,32768,512,bf16,N,N,0,11.07214,24.83
unset_n13,16384,1024,512,bf16,N,N,0,0.21408,80.25
unset_n13,8192,8192,1024,bf16,N,N,0,1.23131,111.62
unset_n13,16384,2048,512,bf16,N,N,0,0.39584,86.80
unset_n13,1024,8192,32768,bf16,N,N,0,7.13367,77.06
unset_n13,16384,4096,512,bf16,N,N,0,0.71942,95.52
unset_n13,1024,4096,65536,bf16,N,N,0,6.50056,84.57
unset_n13,4096,16384,2048,bf16,N,N,0,2.37782,115.60
unset_n13,1024,16384,16384,bf16,N,N,0,5.23740,104.97
unset_n13,16384,8192,512,bf16,N,N,0,1.45712,94.32
unset_n13,8192,16384,1024,bf16,N,N,0,2.69307,102.07
