label,M,N,K,dtype,opA,opB,beta,def_ms,tflops,nrot,reps,clk_drift
unset,1024,1024,512,fp32,N,N,0,0.03920,27.39,4,229,1.0022
unset,1024,1024,1024,fp32,N,N,0,0.07359,29.18,4,129,1.0010
unset,1024,1024,2048,fp32,N,N,0,0.14020,30.64,4,70,1.0002
unset,1024,1024,4096,fp32,N,N,0,0.27539,31.19,4,35,1.0042
unset,1024,2048,512,fp32,N,N,0,0.07008,30.64,4,131,1.0163
unset,1024,2048,1024,fp32,N,N,0,0.13710,31.33,4,69,1.0042
unset,1024,4096,512,fp32,N,N,0,0.13620,31.53,4,71,1.0430
unset,1024,1024,8192,fp32,N,N,0,0.64078,26.81,4,16,0.9765
unset,1024,2048,2048,fp32,N,N,0,0.26725,32.14,4,37,1.0024
unset,1024,4096,1024,fp32,N,N,0,0.26892,31.94,4,37,1.0247
unset,1024,8192,512,fp32,N,N,0,0.27284,31.48,4,37,1.0378
unset,1024,2048,4096,fp32,N,N,0,0.53881,31.88,4,18,0.9655
unset,1024,4096,2048,fp32,N,N,0,0.50665,33.91,4,20,1.0070
unset,1024,1024,16384,fp32,N,N,0,1.18773,28.93,4,9,1.0018
unset,1024,8192,1024,fp32,N,N,0,0.51425,33.41,4,20,1.0403
unset,1024,16384,512,fp32,N,N,0,0.53276,32.25,4,19,0.9754
unset,1024,2048,8192,fp32,N,N,0,1.14209,30.08,4,9,1.0018
unset,1024,4096,4096,fp32,N,N,0,1.02140,33.64,4,10,1.0175
unset,1024,8192,2048,fp32,N,N,0,1.06643,32.22,4,10,1.0510
unset,1024,16384,1024,fp32,N,N,0,1.09896,31.27,4,9,0.9901
unset,1024,1024,32768,fp32,N,N,0,2.96094,23.21,4,5,0.9899
unset,1024,32768,512,fp32,N,N,0,1.29069,26.62,4,8,1.0015
unset,2048,1024,512,fp32,N,N,0,0.06876,31.23,4,133,1.0412
unset,2048,2048,512,fp32,N,N,0,0.13698,31.35,4,69,1.1371
unset,1024,2048,16384,fp32,N,N,0,3.69057,18.62,4,5,1.0047
unset,2048,4096,512,fp32,N,N,0,0.25631,33.51,4,38,1.0013
unset,1024,4096,8192,fp32,N,N,0,2.38837,28.77,4,5,1.0044
unset,1024,8192,4096,fp32,N,N,0,2.13096,32.25,4,5,1.0070
unset,2048,8192,512,fp32,N,N,0,0.53739,31.97,4,20,1.0680
unset,1024,16384,2048,fp32,N,N,0,2.17775,31.56,4,5,0.9708
unset,1024,32768,1024,fp32,N,N,0,2.30293,29.84,4,5,0.9895
unset,2048,16384,512,fp32,N,N,0,1.04380,32.92,4,10,1.0130
unset,1024,1024,65536,fp32,N,N,0,7.91628,17.36,4,5,1.0011
unset,2048,1024,1024,fp32,N,N,0,0.13423,32.00,4,71,1.0025
unset,2048,2048,1024,fp32,N,N,0,0.25837,33.25,4,38,0.9967
unset,2048,4096,1024,fp32,N,N,0,0.52665,32.62,4,20,1.0547
unset,2048,8192,1024,fp32,N,N,0,1.05998,32.42,4,10,1.0231
unset,1024,2048,32768,fp32,N,N,0,3.99003,34.45,4,5,0.9537
unset,1024,4096,16384,fp32,N,N,0,9.10158,15.10,4,5,1.0086
unset,2048,32768,512,fp32,N,N,0,2.52920,27.17,4,5,1.0205
unset,1024,8192,8192,fp32,N,N,0,5.42135,25.35,4,5,1.0023
unset,1024,16384,4096,fp32,N,N,0,10.04548,13.68,4,5,0.9972
unset,4096,1024,512,fp32,N,N,0,0.13772,31.19,4,70,1.0000
unset,4096,2048,512,fp32,N,N,0,0.25734,33.38,4,39,1.0093
unset,2048,16384,1024,fp32,N,N,0,2.02933,33.86,4,5,1.0287
unset,4096,4096,512,fp32,N,N,0,0.51197,33.56,4,20,1.0236
unset,1024,32768,2048,fp32,N,N,0,4.25559,32.30,4,5,0.9832
unset,4096,8192,512,fp32,N,N,0,1.06036,32.40,4,10,1.0771
unset,2048,1024,2048,fp32,N,N,0,0.28761,29.87,4,34,0.9544
