M,N,K,dtype,gain,def_kernel,best_kernel
1024,32768,16384,fp32,4.39,MT64x32x32_MI16x16x4x1_GSU1,MT256x128x16_MI16x16x4x1_GSU1
2048,32768,512,bf16,3.77,MT128x160x32_MI32x32x8x1_GSU1,MT256x256x16_MI32x32x8x1_GSU1
4096,32768,512,bf16,3.57,MT128x160x32_MI32x32x8x1_GSU1,MT256x256x16_MI32x32x8x1_GSU1
2048,32768,512,fp16,3.57,MT128x160x32_MI32x32x8x1_GSU1,MT256x256x16_MI32x32x8x1_GSU1
8192,32768,512,bf16,3.52,MT128x160x32_MI32x32x8x1_GSU1,MT256x256x16_MI32x32x8x1_GSU1
2048,16384,8192,fp32,3.45,MT64x32x32_MI16x16x4x1_GSU1,MT256x128x16_MI16x16x4x1_GSU1
16384,32768,512,bf16,3.34,MT128x160x32_MI32x32x8x1_GSU1,MT256x256x16_MI32x32x8x1_GSU1
4096,32768,512,fp16,3.32,MT128x160x32_MI32x32x8x1_GSU1,MT256x256x16_MI32x32x8x1_GSU1
1024,16384,8192,fp32,3.25,MT64x32x32_MI16x16x4x1_GSU1,MT256x128x16_MI16x16x4x1_GSU1
8192,32768,512,fp16,3.22,MT128x160x32_MI32x32x8x1_GSU1,MT256x256x16_MI32x32x8x1_GSU1
1024,16384,512,bf16,2.93,MT32x64x32_MI16x16x16x1_GSU1,MT128x256x32_MI32x32x8x1_GSU1
1024,32768,8192,fp32,2.89,MT64x64x16_MI32x32x2x1_GSU1,MT256x128x16_MI16x16x4x1_GSU1
2048,32768,8192,fp32,2.88,MT64x64x16_MI32x32x2x1_GSU1,MT256x128x16_MI16x16x4x1_GSU1
2048,32768,1024,bf16,2.88,MT128x160x32_MI32x32x8x1_GSU1,MT256x256x16_MI32x32x8x1_GSU1
32768,32768,512,bf16,2.84,MT256x128x16_MI32x32x8x1_GSU1,MT256x256x16_MI32x32x8x1_GSU1
2048,16384,4096,fp32,2.83,MT64x32x32_MI16x16x4x1_GSU1,MT256x64x32_MI16x16x4x1_GSU1
16384,32768,1024,bf16,2.82,MT128x160x32_MI32x32x8x1_GSU1,MT256x256x16_MI32x32x8x1_GSU1
1024,32768,512,bf16,2.81,MT128x160x32_MI32x32x8x1_GSU1,MT256x256x16_MI32x32x8x1_GSU1
1024,16384,4096,fp32,2.77,MT64x32x32_MI16x16x4x1_GSU1,MT256x64x16_MI16x16x4x1_GSU1
2048,32768,1024,fp16,2.74,MT128x160x32_MI32x32x8x1_GSU1,MT256x256x16_MI32x32x8x1_GSU1
16384,32768,2048,bf16,2.72,MT128x160x32_MI32x32x8x1_GSU1,MT256x256x16_MI32x32x8x1_GSU1
8192,8192,16384,fp32,2.70,MT64x32x32_MI16x16x4x1_GSU1,MT256x128x16_MI16x16x4x1_GSU1
4096,32768,1024,bf16,2.69,MT128x160x32_MI32x32x8x1_GSU1,MT256x256x16_MI32x32x8x1_GSU1
4096,32768,16384,bf16,2.68,MT128x160x32_MI32x32x8x1_GSU1,MT256x256x16_MI32x32x8x1_GSU1
1024,32768,32768,fp32,1.05,MT256x128x16_MI16x16x4x1_GSU1,MT256x128x16_MI16x16x4x1_GSU1
1024,1024,32768,bf16,1.05,MT256x160x32_MI32x32x8x1_GSU3,MT256x160x32_MI32x32x8x1_GSU7
8192,4096,1024,bf16,1.05,MT128x160x32_MI32x32x8x1_GSU1,MT256x128x16_MI32x32x8x1_GSU1
4096,1024,65536,fp16,1.05,MT256x160x32_MI32x32x8x1_GSU1,MT256x160x32_MI32x32x8x1_GSU1
1024,4096,4096,fp16,1.05,MT128x96x64_MI32x32x8x1_GSU1,MT128x80x32_MI16x16x16x1_GSU1
16384,4096,512,fp32,1.05,MT64x64x16_MI32x32x2x1_GSU1,MT256x64x16_MI16x16x4x1_GSU1
16384,1024,4096,fp16,1.05,MT256x160x32_MI32x32x8x1_GSU1,MT256x160x32_MI32x32x8x1_GSU1
32768,2048,1024,fp16,1.05,MT128x160x32_MI32x32x8x1_GSU1,MT128x128x32_MI32x32x8x1_GSU1
