M,N,K,dtype,opA,opB,metric,nsol,def_ms,tflops
214,175,2122,fp32,N,T,0,612,0.02811,5.65
214,175,2122,fp32,N,T,1,612,0.02859,5.56
214,175,2122,fp32,N,T,2,612,0.02827,5.62
315,212,5541,bf16,T,T,0,39,0.13536,5.47
315,212,5541,bf16,T,T,1,39,0.13654,5.42
315,212,5541,bf16,T,T,2,39,0.13622,5.43
72,141,79,bf16,T,T,0,39,0.01131,0.14
72,141,79,bf16,T,T,1,39,0.01269,0.13
72,141,79,bf16,T,T,2,39,0.01307,0.12
83,4359,140,bf16,T,T,0,39,0.01925,5.26
83,4359,140,bf16,T,T,1,39,0.01947,5.20
83,4359,140,bf16,T,T,2,39,0.01947,5.20
2649,18827,161,fp16,N,N,0,90,0.40000,40.15
2649,18827,161,fp16,N,N,1,90,0.40134,40.01
2649,18827,161,fp16,N,N,2,90,0.39926,40.22
7148,4730,94,fp16,N,T,0,62,0.31382,20.25
7148,4730,94,fp16,N,T,1,62,0.31579,20.13
7148,4730,94,fp16,N,T,2,62,0.31590,20.12
359,11233,170,fp32,T,N,0,519,0.06245,21.95
359,11233,170,fp32,T,N,1,519,0.06267,21.88
359,11233,170,fp32,T,N,2,519,0.06261,21.90
11766,99,103,fp16,N,T,0,62,0.03019,7.95
11766,99,103,fp16,N,T,1,62,0.03045,7.88
11766,99,103,fp16,N,T,2,62,0.03003,7.99
394,4599,7965,bf16,T,N,0,238,0.67681,42.65
394,4599,7965,bf16,T,N,1,238,0.67526,42.75
394,4599,7965,bf16,T,N,2,238,0.67857,42.54
830,22378,357,bf16,N,T,0,57,0.27328,48.53
830,22378,357,bf16,N,T,1,57,0.27302,48.57
830,22378,357,bf16,N,T,2,57,0.27312,48.56
238,4143,4475,fp16,T,N,0,255,1.08113,8.16
238,4143,4475,fp16,T,N,1,255,1.08209,8.16
238,4143,4475,fp16,T,N,2,255,1.08198,8.16
22937,818,2810,bf16,T,T,0,39,1.04470,100.93
22937,818,2810,bf16,T,T,1,39,1.04609,100.80
22937,818,2810,bf16,T,T,2,39,1.04614,100.79
88,3797,16268,fp32,T,N,0,519,0.68886,15.78
88,3797,16268,fp32,T,N,1,519,0.68891,15.78
88,3797,16268,fp32,T,N,2,519,0.68907,15.78
363,7366,594,fp32,T,T,0,82,0.14619,21.73
363,7366,594,fp32,T,T,1,82,0.14715,21.59
363,7366,594,fp32,T,T,2,82,0.14683,21.63
946,204,6232,bf16,N,T,0,64,0.13243,18.16
946,204,6232,bf16,N,T,1,64,0.13413,17.93
946,204,6232,bf16,N,T,2,64,0.13339,18.03
125,707,287,bf16,N,N,0,166,0.01392,3.64
125,707,287,bf16,N,N,1,166,0.01477,3.43
125,707,287,bf16,N,N,2,166,0.01467,3.46
2178,1432,328,fp32,T,T,0,82,0.08811,23.22
2178,1432,328,fp32,T,T,1,82,0.08816,23.21
2178,1432,328,fp32,T,T,2,82,0.08869,23.07
5973,23142,64,fp32,N,T,0,612,1.09926,16.10
5973,23142,64,fp32,N,T,1,612,1.10220,16.05
5973,23142,64,fp32,N,T,2,612,1.10049,16.08
17626,636,211,fp32,T,T,0,82,0.17942,26.37
17626,636,211,fp32,T,T,1,82,0.17926,26.39
17626,636,211,fp32,T,T,2,82,0.17947,26.36
10074,14191,162,fp16,T,N,0,245,1.17793,39.32
10074,14191,162,fp16,T,N,1,245,1.17569,39.40
10074,14191,162,fp16,T,N,2,245,1.17996,39.25
4444,194,145,fp32,T,T,0,82,0.02656,9.41
4444,194,145,fp32,T,T,1,82,0.02688,9.30
4444,194,145,fp32,T,T,2,82,0.02704,9.25
13533,1414,4443,fp32,N,N,0,556,4.78095,35.57
13533,1414,4443,fp32,N,N,1,556,4.78367,35.55
13533,1414,4443,fp32,N,N,2,556,4.78458,35.54
647,2799,107,bf16,T,N,0,231,0.05152,7.52
647,2799,107,bf16,T,N,1,231,0.05152,7.52
647,2799,107,bf16,T,N,2,231,0.05157,7.51
2631,3424,159,bf16,N,T,0,201,0.15509,18.47
2631,3424,159,bf16,N,T,1,201,0.15563,18.41
2631,3424,159,bf16,N,T,2,201,0.15541,18.43
5928,5534,2612,fp16,T,T,0,88,8.93385,19.18
5928,5534,2612,fp16,T,T,1,88,8.93454,19.18
5928,5534,2612,fp16,T,T,2,88,8.93833,19.17
30722,1287,346,bf16,N,T,0,57,0.52497,52.12
30722,1287,346,bf16,N,T,1,57,0.52577,52.04
30722,1287,346,bf16,N,T,2,57,0.52561,52.06
2688,22096,22141,bf16,N,N,0,388,19.91316,132.08
2688,22096,22141,bf16,N,N,1,388,19.90169,132.15
2688,22096,22141,bf16,N,N,2,388,19.93652,131.92
1003,1971,1187,bf16,T,T,0,39,0.10645,44.09
1003,1971,1187,bf16,T,T,1,39,0.10645,44.09
1003,1971,1187,bf16,T,T,2,39,0.10645,44.09
957,231,185,fp16,N,T,0,62,0.01173,6.97
