seq,M,N,K,dtype,opA,opB,sol,old_gain,def_med,best_med,def_min,best_min,new_gain,new_gain_min
0,9680,420,4237,fp32,N,T,-606618442,1.1494,1.110454,0.966506,1.110134,0.965921,1.1489,1.1493
1,4945,1711,29800,fp32,N,N,-606605086,1.1040,13.991456,12.686230,13.987832,12.681434,1.1029,1.1030
2,7199,5770,8379,fp16,T,N,-606622970,1.0526,5.068797,4.817756,5.050343,4.814184,1.0521,1.0491
3,600,17699,995,fp16,N,T,-606627717,3.5863,1.030613,0.288266,1.027626,0.285066,3.5752,3.6049
4,547,535,1885,fp32,T,N,-606603839,1.3857,0.066809,0.045126,0.066744,0.044960,1.4805,1.4845
5,1885,1316,34444,fp16,T,N,-606622978,1.0949,1.680372,1.530879,1.668212,1.529012,1.0977,1.0910
6,1796,8647,329,bf16,T,N,-606630861,1.8091,0.300480,0.163146,0.299893,0.159307,1.8418,1.8825
7,421,695,10478,bf16,N,N,-606605183,1.2140,0.194720,0.159480,0.194280,0.158440,1.2210,1.2262
8,806,1162,32253,fp16,N,N,-606624215,1.4982,1.046826,0.691466,1.042452,0.671253,1.5139,1.5530
9,558,522,437,fp32,T,T,-606620789,1.2350,0.021913,0.015629,0.021897,0.015614,1.4020,1.4023
10,6491,9770,1627,bf16,N,T,-606623199,2.4014,5.132637,2.103039,5.042930,2.092585,2.4406,2.4099
11,1042,659,399,fp32,T,N,-606603840,1.0392,0.025073,0.022625,0.025034,0.022601,1.1082,1.1076
12,632,371,2325,fp32,T,T,-606620828,1.9674,0.125369,0.058038,0.125073,0.057849,2.1601,2.1621
13,7010,2211,1699,bf16,N,N,-606629868,0.9974,0.546773,0.545920,0.545813,0.545600,1.0016,1.0004
14,2342,4023,5427,fp32,T,T,-606620827,1.0033,2.757865,2.744532,2.756318,2.743625,1.0049,1.0046
15,4249,11182,1071,fp16,N,N,-606603427,1.0627,1.065546,0.999573,1.064746,0.997599,1.0660,1.0673
16,1731,3324,1048,bf16,T,T,-606619914,1.0460,0.163253,0.148907,0.157973,0.147520,1.0963,1.0709
17,1700,373,14549,fp32,T,T,-606620815,0.9989,0.641813,0.641546,0.640960,0.640960,1.0004,1.0000
18,13230,2619,14675,fp32,N,N,-606605148,2.4325,58.947483,25.794542,55.633724,25.791771,2.2853,2.1570
19,259,5200,553,fp32,N,T,-606602163,1.2230,0.075208,0.059136,0.074864,0.058992,1.2718,1.2691
20,9860,588,9687,fp16,N,N,-606624191,1.1402,1.164373,1.020586,1.154346,1.011519,1.1409,1.1412
21,1356,645,12167,fp16,N,N,-606624215,1.9278,0.581866,0.301493,0.579520,0.299200,1.9299,1.9369
22,2687,4725,22008,fp16,N,N,-606624185,0.9999,4.614344,4.613758,4.605330,4.602664,1.0001,1.0006
23,768,694,18350,fp16,T,T,-606629622,4.4693,2.736052,0.438400,2.498665,0.437066,6.2410,5.7169
24,16271,14872,364,fp16,N,N,-606624250,1.0016,2.153812,2.154612,2.143252,2.144265,0.9996,0.9995
25,1617,1254,5189,fp16,N,T,-606604870,1.5026,0.353920,0.233120,0.350186,0.231413,1.5182,1.5133
26,589,6889,1068,bf16,T,T,-606619918,1.0005,0.119093,0.120267,0.117600,0.117440,0.9902,1.0014
27,2335,387,6867,fp16,N,T,-606627741,4.0308,0.722453,0.177813,0.721333,0.176427,4.0630,4.0886
28,2062,2216,5791,fp32,T,T,-606620821,1.0238,1.530612,1.494666,1.529119,1.491946,1.0241,1.0249
29,459,2183,322,fp16,N,T,-606627668,0.9760,0.021969,0.020842,0.021923,0.020779,1.0541,1.0551
30,1071,1754,303,bf16,N,N,-606605264,1.2612,0.038788,0.028166,0.038591,0.028031,1.3771,1.3767
31,843,18976,37597,fp32,T,N,-606604043,3.0141,84.880867,30.837797,83.268333,30.830650,2.7525,2.7008
32,1255,5633,1518,bf16,T,N,-606630861,2.8146,0.651733,0.223147,0.649973,0.221920,2.9206,2.9289
33,1958,6344,31762,bf16,T,T,-606619916,2.0579,11.857274,6.036904,11.712048,6.025331,1.9641,1.9438
34,4668,4483,10972,fp32,N,N,-606605132,2.2246,24.662817,11.758288,24.457748,11.753541,2.0975,2.0809
35,16995,434,3217,fp32,T,N,-606624942,1.2040,1.512266,1.256319,1.511679,1.255413,1.2037,1.2041
36,1697,863,871,fp16,N,T,-606627698,1.1816,0.064451,0.053353,0.063796,0.053004,1.2080,1.2036
37,1596,8817,10465,fp16,T,N,-606603068,10.7408,23.891457,2.225706,23.889482,2.221972,10.7343,10.7515
38,3538,432,19401,bf16,T,N,-606605482,1.3788,0.828160,0.596266,0.824800,0.594986,1.3889,1.3862
39,288,846,1992,fp32,T,N,-606603985,1.1976,0.051707,0.039888,0.051387,0.039563,1.2963,1.2989
40,778,2943,1291,bf16,N,T,-606623124,1.4828,0.122048,0.080576,0.120928,0.079648,1.5147,1.5183
41,686,690,402,fp16,N,T,-606604838,0.9530,0.017672,0.016053,0.017645,0.016012,1.1008,1.1020
42,277,12561,5137,fp16,N,N,-606624246,1.1642,0.477653,0.410027,0.473066,0.406133,1.1649,1.1648
43,1114,561,12061,fp32,N,N,-606627967,1.1217,0.586240,0.520586,0.584373,0.519840,1.1261,1.1241
44,14735,16178,2978,fp16,N,T,-606604822,0.9997,12.105648,12.098767,12.089595,12.092795,1.0006,0.9997
45,1070,356,3052,bf16,T,N,-606605498,0.9944,0.049520,0.049360,0.049187,0.048947,1.0032,1.0049
46,257,14760,3455,fp16,N,T,-606627688,1.0092,0.334293,0.331520,0.333546,0.329867,1.0084,1.0112
47,15568,3976,354,fp32,T,N,-606603898,1.0685,1.223146,1.143840,1.222400,1.143306,1.0693,1.0692
48,332,443,1906,bf16,N,T,-606603225,1.8847,0.049295,0.023846,0.049186,0.023798,2.0672,2.0669
49,15597,565,15083,fp16,N,N,-606603414,1.2461,3.219092,2.588906,3.213759,2.583359,1.2434,1.2440
50,862,418,374,bf16,N,T,-606603225,0.8371,0.012124,0.014006,0.012107,0.013975,0.8656,0.8663
51,2042,813,3067,fp16,T,T,-606629614,4.5517,0.766240,0.161867,0.764747,0.161493,4.7338,4.7355
52,363,6785,23574,bf16,T,N,-606605592,2.6519,3.009492,1.129546,2.985759,1.115893,2.6643,2.6757
53,3599,487,4392,fp16,T,T,-606629614,5.3930,1.284213,0.232800,1.282293,0.232320,5.5164,5.5195
54,3693,2686,5739,fp32,T,T,-606620794,1.0246,3.026186,2.953012,3.024372,2.950612,1.0248,1.0250
55,409,5404,256,fp32,T,T,-606620797,1.4802,0.067889,0.044868,0.067729,0.044806,1.5131,1.5116
56,910,1443,818,bf16,T,N,-606605594,1.6200,0.058806,0.033920,0.058252,0.033108,1.7337,1.7595
57,4584,366,3548,fp16,T,N,-606603075,2.6164,0.468213,0.179200,0.466347,0.178560,2.6128,2.6117
58,2783,4457,5206,fp16,T,T,-606629620,6.3384,8.097597,1.300373,8.093384,1.280640,6.2271,6.3198
59,423,289,23812,bf16,T,N,-606630700,7.2386,1.263264,0.189408,1.257920,0.187456,6.6695,6.7105
