M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
1050,2341,523,bf16,T,T,39,606606724,0.04851,0.05194,1.0706
13230,2619,14675,fp32,N,N,580,606612642,25.84880,62.81897,2.4302
1671,3761,658,bf16,T,T,39,606606720,0.13005,0.13955,1.0731
589,6889,1068,bf16,T,T,39,606606709,0.11719,0.11639,0.9932
1430,913,574,fp16,N,T,62,606608733,0.04230,0.04477,1.0582
1128,12310,21572,fp16,N,N,98,606627815,5.02503,5.01933,0.9989
1707,4309,337,fp16,N,N,90,606627845,0.08909,0.09751,1.0945
477,3019,874,bf16,T,N,238,606614191,0.04378,0.20416,4.6637
521,3866,11013,fp16,N,T,68,606629469,0.54305,0.89889,1.6553
1117,4065,925,fp32,T,N,576,606613645,0.24701,0.25104,1.0163
705,2615,2077,bf16,T,T,39,606606712,0.12749,0.12807,1.0045
398,8342,2519,fp32,T,N,576,606631418,0.50186,0.50868,1.0136
1466,11243,39382,bf16,T,N,231,606631606,9.75572,29.52773,3.0267
2321,545,22685,fp16,T,T,53,606615760,0.81700,7.07795,8.6633
1885,1316,34444,fp16,T,N,386,606630399,1.53065,1.67762,1.0960
2005,1362,18935,fp16,T,T,53,606615760,1.06113,9.61469,9.0608
1782,15872,8666,bf16,T,T,39,606606722,4.23759,5.68590,1.3418
256,521,3737,fp32,N,T,702,606611438,0.06269,0.06611,1.0546
15792,2577,4376,fp32,N,N,580,606612441,9.04515,9.41450,1.0408
3599,487,4392,fp16,T,T,53,606615755,0.23204,1.65685,7.1405
259,5200,553,fp32,N,T,704,606611545,0.06138,0.07712,1.2565
475,2365,1604,bf16,T,N,239,606614157,0.05402,0.26356,4.8791
2955,11163,4726,fp16,T,N,245,606630417,2.37024,3.64373,1.5373
910,1443,818,bf16,T,N,238,606631602,0.03773,0.06010,1.5929
7386,510,405,bf16,T,N,231,606631616,0.05872,0.20768,3.5368
12434,6435,1132,fp16,N,N,94,606627884,1.76825,1.81401,1.0259
4751,375,5039,fp32,N,N,580,606612581,0.49422,0.55690,1.1268
6491,9770,1627,bf16,N,T,57,606610457,2.13827,5.07101,2.3716
10878,386,1604,fp16,T,N,245,606630407,0.16695,0.18557,1.1116
910,2651,670,fp32,N,N,580,606630899,0.11085,0.12583,1.1351
700,7886,13025,bf16,T,N,231,606614219,1.16293,3.25288,2.7971
2329,3023,551,bf16,T,N,231,606614196,0.10496,0.13360,1.2729
4506,560,13132,fp16,N,N,383,606627818,0.62657,0.86097,1.3741
1177,15147,312,fp32,N,T,702,606611239,0.36196,0.38279,1.0576
15162,7268,5406,fp16,T,T,88,606615758,14.56091,16.32323,1.1210
6029,5659,5427,fp32,T,N,576,606631415,9.40864,9.82734,1.0445
283,368,39923,fp16,T,T,53,606615754,0.68606,4.68640,6.8309
474,1882,915,fp32,T,T,82,606614493,0.07040,0.09523,1.3527
1700,373,14549,fp32,T,T,82,606614474,0.64004,0.64007,1.0001
2062,2216,5791,fp32,T,T,82,606614466,1.49432,1.53125,1.0247
1958,6344,31762,bf16,T,T,39,606606722,6.04844,12.58859,2.0813
778,2943,1291,bf16,N,T,62,606610382,0.08029,0.12243,1.5249
10070,12682,2703,fp16,T,T,53,606615761,5.89595,7.54916,1.2804
7199,5770,8379,fp16,T,N,245,606630396,4.81715,5.04401,1.0471
450,2657,11890,bf16,N,N,176,606627992,0.45770,0.84577,1.8479
843,18976,37597,fp32,T,N,582,606631415,30.91487,42.55439,1.3765
806,1162,32253,fp16,N,N,107,606627844,0.69313,1.04821,1.5123
1617,1254,5189,fp16,N,T,68,606629488,0.23101,0.34941,1.5125
