M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
1050,2341,523,bf16,T,T,39,-606619541,0.04822,0.05155,1.0690
13230,2619,14675,fp32,N,N,556,-606608395,25.87285,63.67634,2.4611
1671,3761,658,bf16,T,T,39,-606619540,0.13136,0.13981,1.0643
589,6889,1068,bf16,T,T,39,-606619529,0.11616,0.11626,1.0008
1430,913,574,fp16,N,T,62,-606606142,0.04211,0.04467,1.0608
1128,12310,21572,fp16,N,N,98,-606618740,5.04416,5.03184,0.9976
1707,4309,337,fp16,N,N,90,-606605523,0.09018,0.09722,1.0781
477,3019,874,bf16,T,N,238,-606602698,0.04362,0.20304,4.6552
521,3866,11013,fp16,N,T,68,-606601324,0.54617,0.91324,1.6721
1117,4065,925,fp32,T,N,519,-606606563,0.24646,0.25081,1.0177
705,2615,2077,bf16,T,T,39,-606619532,0.12688,0.12835,1.0116
398,8342,2519,fp32,T,N,519,-606601631,0.50179,0.50889,1.0142
1466,11243,39382,bf16,T,N,231,-606608938,9.76592,29.99479,3.0714
2321,545,22685,fp16,T,T,53,-606615088,0.81788,11.48793,14.0459
1885,1316,34444,fp16,T,N,386,-606605894,1.53378,1.67669,1.0932
2005,1362,18935,fp16,T,T,53,-606615088,1.05804,16.59110,15.6810
1782,15872,8666,bf16,T,T,39,-606619542,4.24087,5.52509,1.3028
256,521,3737,fp32,N,T,612,-606602282,0.06080,0.06550,1.0774
15792,2577,4376,fp32,N,N,556,-606608194,9.04603,9.41838,1.0412
3599,487,4392,fp16,T,T,53,-606615082,0.23129,2.76930,11.9730
259,5200,553,fp32,N,T,614,-606608709,0.06074,0.07664,1.2619
475,2365,1604,bf16,T,N,239,-606602672,0.05347,0.26336,4.9252
2955,11163,4726,fp16,T,N,245,-606605911,2.37314,3.64872,1.5375
910,1443,818,bf16,T,N,238,-606602683,0.03827,0.06019,1.5727
7386,510,405,bf16,T,N,231,-606608954,0.05878,0.20816,3.5411
12434,6435,1132,fp16,N,N,94,-606605591,1.75621,1.82140,1.0371
4751,375,5039,fp32,N,N,556,-606602101,0.49389,0.55692,1.1276
6491,9770,1627,bf16,N,T,57,-606610248,2.13071,5.07335,2.3811
10878,386,1604,fp16,T,N,245,-606619874,0.16819,0.18637,1.1081
910,2651,670,fp32,N,N,556,-606602044,0.11091,0.12653,1.1408
700,7886,13025,bf16,T,N,231,-606602720,1.16252,3.24843,2.7943
2329,3023,551,bf16,T,N,231,-606602697,0.10643,0.13328,1.2523
4506,560,13132,fp16,N,N,383,-606605534,0.62662,0.85443,1.3635
