M,N,K,dtype,opA,opB,call_count
14,128,512,bf16,N,T,27
14,512,128,bf16,N,N,27
16,128,512,bf16,N,T,2538
16,512,128,bf16,N,N,2538
2,128,512,bf16,N,T,27
2,512,128,bf16,N,N,27
14,102400,2048,bf16,N,T,1
14,64,2048,bf16,N,T,26
14,2048,10944,bf16,N,T,1
14,21888,2048,bf16,N,T,1
14,3072,2048,bf16,N,T,27
16,2048,2816,bf16,N,T,2444
16,64,2048,bf16,N,T,2444
16,2048,10944,bf16,N,T,94
16,2048,2048,bf16,N,T,2538
16,3072,2048,bf16,N,T,2538
16,102400,2048,bf16,N,T,95
16,576,2048,bf16,N,T,2538
138,2048,2816,bf16,N,T,26
138,5632,2048,bf16,N,T,26
138,21888,2048,bf16,N,T,1
14,5632,2048,bf16,N,T,26
256,576,2048,bf16,N,T,27
256,21888,2048,bf16,N,T,1
16,5632,2048,bf16,N,T,2444
256,102400,2048,bf16,N,T,2
20,2048,10944,bf16,N,T,1
8192,2048,2816,bf16,N,T,26
14,2048,2816,bf16,N,T,26
20,5632,2048,bf16,N,T,26
8192,3072,2048,bf16,N,T,27
14,2048,2048,bf16,N,T,27
8192,576,2048,bf16,N,T,27
20,21888,2048,bf16,N,T,1
20,2048,2816,bf16,N,T,26
138,2048,10944,bf16,N,T,1
8192,64,2048,bf16,N,T,26
8192,2048,10944,bf16,N,T,1
256,64,2048,bf16,N,T,26
8192,5632,2048,bf16,N,T,26
16,21888,2048,bf16,N,T,94
256,2048,2048,bf16,N,T,27
8192,2048,2048,bf16,N,T,27
256,2048,10944,bf16,N,T,1
138,64,2048,bf16,N,T,26
138,2048,2048,bf16,N,T,27
256,2048,2816,bf16,N,T,26
14,576,2048,bf16,N,T,27
8192,21888,2048,bf16,N,T,1
20,576,2048,bf16,N,T,27
138,3072,2048,bf16,N,T,27
20,3072,2048,bf16,N,T,27
256,3072,2048,bf16,N,T,27
20,4096,512,bf16,N,T,27
20,2048,2048,bf16,N,T,27
256,5632,2048,bf16,N,T,26
20,64,2048,bf16,N,T,26
138,576,2048,bf16,N,T,27
136,4096,512,bf16,N,T,27
