M,N,K,dtype,opA,opB,call_count
23,262208,3840,bf16,N,T,1
23,30720,3840,bf16,N,T,48
23,3840,4096,bf16,N,T,48
24,3840,15360,bf16,N,T,4512
24,3840,4096,bf16,N,T,4512
24,8192,3840,bf16,N,T,4512
24,262208,3840,bf16,N,T,95
241,3840,15360,bf16,N,T,48
241,3840,4096,bf16,N,T,48
12,30720,3840,bf16,N,T,48
23,3840,15360,bf16,N,T,48
12,3840,15360,bf16,N,T,48
8192,3840,1152,bf16,N,N,1
256,3840,15360,bf16,N,T,48
24,30720,3840,bf16,N,T,4512
8192,8192,3840,bf16,N,T,48
23,8192,3840,bf16,N,T,48
241,30720,3840,bf16,N,T,48
1152,4096,588,bf16,N,N,288
8192,30720,3840,bf16,N,T,48
8192,3840,4096,bf16,N,T,48
8192,3840,15360,bf16,N,T,48
256,8192,3840,bf16,N,T,48
12,8192,3840,bf16,N,T,48
256,3840,4096,bf16,N,T,48
12,3840,4096,bf16,N,T,48
241,8192,3840,bf16,N,T,48
256,262208,3840,bf16,N,T,2
256,30720,3840,bf16,N,T,48
