M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
23,262208,3840,bf16,N,T,201,-606603173,2.21618,2.33051,1.0516
23,30720,3840,bf16,N,T,212,-606623149,0.25376,0.33952,1.3380
23,3840,4096,bf16,N,T,214,-606603190,0.03750,0.03635,0.9693
24,3840,15360,bf16,N,T,214,-606623206,0.11229,0.24819,2.2103
24,3840,4096,bf16,N,T,214,-606623170,0.03878,0.03674,0.9472
24,8192,3840,bf16,N,T,214,-606623206,0.07498,0.08451,1.1272
24,262208,3840,bf16,N,T,201,-606603173,2.22264,2.32818,1.0475
241,3840,15360,bf16,N,T,212,-606603213,0.35347,0.47207,1.3355
241,3840,4096,bf16,N,T,212,-606623137,0.09773,0.12221,1.2505
12,30720,3840,bf16,N,T,214,-606623155,0.19575,0.32954,1.6835
23,3840,15360,bf16,N,T,214,-606623149,0.11322,0.28016,2.4746
12,3840,15360,bf16,N,T,214,-606623130,0.10035,0.27415,2.7318
8192,3840,1152,bf16,N,N,388,-606630016,0.63661,0.63677,1.0003
256,3840,15360,bf16,N,T,212,-606603213,0.36759,0.48228,1.3120
24,30720,3840,bf16,N,T,212,-606623131,0.24944,0.34144,1.3688
8192,8192,3840,bf16,N,T,201,-606603216,3.98579,4.67738,1.1735
23,8192,3840,bf16,N,T,214,-606603152,0.06813,0.09734,1.4288
241,30720,3840,bf16,N,T,201,-606623120,0.55908,0.59380,1.0621
1152,4096,588,bf16,N,N,388,-606629935,0.07024,0.08566,1.2196
8192,30720,3840,bf16,N,T,201,-606623119,14.99958,15.08448,1.0057
8192,3840,4096,bf16,N,T,201,-606603140,1.96078,2.07842,1.0600
8192,3840,15360,bf16,N,T,201,-606603216,7.26563,7.26272,0.9996
256,8192,3840,bf16,N,T,212,-606603198,0.16128,0.37040,2.2966
12,8192,3840,bf16,N,T,214,-606603151,0.05590,0.05475,0.9794
256,3840,4096,bf16,N,T,212,-606603158,0.09984,0.12467,1.2487
12,3840,4096,bf16,N,T,214,-606603190,0.03171,0.03149,0.9929
241,8192,3840,bf16,N,T,212,-606603198,0.15907,0.36612,2.3015
256,262208,3840,bf16,N,T,201,-606603159,4.78084,5.09512,1.0657
256,30720,3840,bf16,N,T,201,-606603141,0.56592,0.60055,1.0612
