M,N,K,dtype,opA,opB,call_count
7,128256,2048,bf16,N,T,1
7,2048,8192,bf16,N,T,16
7,16384,2048,bf16,N,T,16
78,2048,2048,bf16,N,T,16
512,3072,2048,bf16,N,T,16
13,2048,2048,bf16,N,T,16
78,2048,8192,bf16,N,T,16
512,2048,2048,bf16,N,T,16
256,3072,2048,bf16,N,T,16
8192,3072,2048,bf16,N,T,16
512,16384,2048,bf16,N,T,16
8192,2048,8192,bf16,N,T,16
8,2048,8192,bf16,N,T,480
256,16384,2048,bf16,N,T,16
8,3072,2048,bf16,N,T,480
8192,16384,2048,bf16,N,T,16
256,2048,2048,bf16,N,T,16
8,128256,2048,bf16,N,T,31
8192,2048,2048,bf16,N,T,16
256,2048,8192,bf16,N,T,16
13,3072,2048,bf16,N,T,16
13,16384,2048,bf16,N,T,16
7,3072,2048,bf16,N,T,16
256,128256,2048,bf16,N,T,3
512,128256,2048,bf16,N,T,1
512,2048,8192,bf16,N,T,16
7,2048,2048,bf16,N,T,16
13,2048,8192,bf16,N,T,16
78,3072,2048,bf16,N,T,16
78,16384,2048,bf16,N,T,16
8,16384,2048,bf16,N,T,480
8,2048,2048,bf16,N,T,480
