M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
7,128256,2048,bf16,N,T,212,-606623131,0.42413,0.57642,1.3591
7,2048,8192,bf16,N,T,214,-606623170,0.04675,0.25843,5.5277
7,16384,2048,bf16,N,T,212,-606603152,0.06525,0.09853,1.5101
78,2048,2048,bf16,N,T,212,-606623192,0.02781,0.03523,1.2670
512,3072,2048,bf16,N,T,212,-606603189,0.06294,0.07562,1.2013
13,2048,2048,bf16,N,T,212,-606623141,0.01744,0.01731,0.9927
78,2048,8192,bf16,N,T,214,-606623192,0.07453,0.27549,3.6964
512,2048,2048,bf16,N,T,212,-606603158,0.05446,0.05360,0.9841
256,3072,2048,bf16,N,T,212,-606603214,0.04144,0.04109,0.9915
8192,3072,2048,bf16,N,T,201,-606603141,0.81754,0.82241,1.0059
512,16384,2048,bf16,N,T,201,-606623190,0.34448,0.40391,1.1725
8192,2048,8192,bf16,N,T,201,-606623196,1.97291,1.97557,1.0013
8,2048,8192,bf16,N,T,214,-606623145,0.04688,0.25991,5.5440
256,16384,2048,bf16,N,T,203,-606603217,0.18349,0.21383,1.1653
8,3072,2048,bf16,N,T,212,-606623168,0.01805,0.01779,0.9858
8192,16384,2048,bf16,N,T,201,-606623196,4.67632,7.69209,1.6449
256,2048,2048,bf16,N,T,212,-606623194,0.03683,0.03664,0.9948
8,128256,2048,bf16,N,T,212,-606623131,0.42077,0.58077,1.3803
8192,2048,2048,bf16,N,T,201,-606603216,0.55581,0.57364,1.0321
256,2048,8192,bf16,N,T,214,-606623187,0.11050,0.28544,2.5833
13,3072,2048,bf16,N,T,212,-606623155,0.01936,0.01901,0.9818
13,16384,2048,bf16,N,T,212,-606603156,0.06365,0.10003,1.5716
7,3072,2048,bf16,N,T,212,-606603156,0.01795,0.01779,0.9911
256,128256,2048,bf16,N,T,201,-606623191,1.19134,1.25620,1.0544
512,128256,2048,bf16,N,T,201,-606603232,2.32210,2.41903,1.0417
512,2048,8192,bf16,N,T,212,-606623157,0.18835,0.29117,1.5459
7,2048,2048,bf16,N,T,212,-606603169,0.01680,0.01610,0.9581
13,2048,8192,bf16,N,T,214,-606623170,0.04720,0.25927,5.4929
78,3072,2048,bf16,N,T,212,-606623126,0.03344,0.05002,1.4957
78,16384,2048,bf16,N,T,212,-606623178,0.10330,0.12912,1.2500
8,16384,2048,bf16,N,T,212,-606603169,0.06218,0.09872,1.5878
8,2048,2048,bf16,N,T,212,-606623149,0.01552,0.01552,1.0000
