M,N,K,dtype,opA,opB,call_count
63,128256,2048,bf16,N,T,1
63,2048,8192,bf16,N,T,16
63,16384,2048,bf16,N,T,16
256,128256,2048,bf16,N,T,3
512,128256,2048,bf16,N,T,1
512,2048,8192,bf16,N,T,16
512,3072,2048,bf16,N,T,16
13,2048,2048,bf16,N,T,16
708,3072,2048,bf16,N,T,16
512,2048,2048,bf16,N,T,16
256,3072,2048,bf16,N,T,16
64,3072,2048,bf16,N,T,4064
512,16384,2048,bf16,N,T,16
8192,2048,8192,bf16,N,T,16
64,128256,2048,bf16,N,T,255
256,16384,2048,bf16,N,T,16
256,2048,2048,bf16,N,T,16
8192,2048,2048,bf16,N,T,16
256,2048,8192,bf16,N,T,16
13,3072,2048,bf16,N,T,16
13,16384,2048,bf16,N,T,16
13,2048,8192,bf16,N,T,16
8192,16384,2048,bf16,N,T,16
708,2048,2048,bf16,N,T,16
708,2048,8192,bf16,N,T,16
708,16384,2048,bf16,N,T,16
64,2048,2048,bf16,N,T,4064
64,16384,2048,bf16,N,T,4064
8192,3072,2048,bf16,N,T,16
64,2048,8192,bf16,N,T,4064
63,2048,2048,bf16,N,T,16
63,3072,2048,bf16,N,T,16
