M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
63,128256,2048,bf16,N,T,201,-606623144,0.68208,0.68746,1.0079
63,2048,8192,bf16,N,T,214,-606603226,0.06675,0.26912,4.0316
63,16384,2048,bf16,N,T,212,-606623178,0.09971,0.11942,1.1977
256,128256,2048,bf16,N,T,201,-606603211,1.18887,1.25594,1.0564
512,128256,2048,bf16,N,T,201,-606603232,2.30389,2.39256,1.0385
512,2048,8192,bf16,N,T,212,-606623125,0.19031,0.29200,1.5344
512,3072,2048,bf16,N,T,212,-606603189,0.06368,0.07539,1.1839
13,2048,2048,bf16,N,T,212,-606623155,0.01776,0.01696,0.9550
708,3072,2048,bf16,N,T,212,-606623119,0.09107,0.14166,1.5555
512,2048,2048,bf16,N,T,212,-606603154,0.05469,0.05389,0.9854
256,3072,2048,bf16,N,T,212,-606623142,0.04202,0.04064,0.9672
64,3072,2048,bf16,N,T,212,-606623193,0.02976,0.03837,1.2892
512,16384,2048,bf16,N,T,201,-606623190,0.34551,0.40167,1.1625
8192,2048,8192,bf16,N,T,201,-606603216,1.96977,1.97544,1.0029
64,128256,2048,bf16,N,T,201,-606623121,0.67917,0.68132,1.0032
256,16384,2048,bf16,N,T,203,-606623197,0.18160,0.21091,1.1614
256,2048,2048,bf16,N,T,212,-606603214,0.03670,0.03635,0.9904
8192,2048,2048,bf16,N,T,201,-606603216,0.55463,0.57581,1.0382
256,2048,8192,bf16,N,T,214,-606623187,0.11562,0.28829,2.4935
13,3072,2048,bf16,N,T,212,-606603226,0.01926,0.01872,0.9718
13,16384,2048,bf16,N,T,212,-606603175,0.06438,0.10013,1.5552
13,2048,8192,bf16,N,T,214,-606623148,0.04704,0.26135,5.5558
8192,16384,2048,bf16,N,T,201,-606603216,4.70240,7.64092,1.6249
708,2048,2048,bf16,N,T,212,-606623169,0.06179,0.07053,1.1414
708,2048,8192,bf16,N,T,212,-606603208,0.22535,0.28755,1.2761
708,16384,2048,bf16,N,T,201,-606623191,0.48589,0.55908,1.1506
64,2048,2048,bf16,N,T,212,-606623149,0.02173,0.02147,0.9882
64,16384,2048,bf16,N,T,212,-606623178,0.10064,0.12070,1.1994
8192,3072,2048,bf16,N,T,201,-606623120,0.81940,0.82401,1.0056
64,2048,8192,bf16,N,T,214,-606603169,0.06573,0.26983,4.1052
63,2048,2048,bf16,N,T,212,-606603169,0.02195,0.02125,0.9679
63,3072,2048,bf16,N,T,212,-606603213,0.02922,0.03914,1.3395
