M,N,K,dtype,opA,opB,call_count
13,2048,8192,bf16,N,T,16
13,16384,2048,bf16,N,T,16
13,3072,2048,bf16,N,T,16
256,2048,8192,bf16,N,T,16
33,3072,2048,bf16,N,T,16
8192,2048,2048,bf16,N,T,16
8192,16384,2048,bf16,N,T,16
33,2048,2048,bf16,N,T,16
256,16384,2048,bf16,N,T,16
8192,2048,8192,bf16,N,T,16
512,16384,2048,bf16,N,T,16
8192,3072,2048,bf16,N,T,16
256,3072,2048,bf16,N,T,16
512,2048,2048,bf16,N,T,16
13,2048,2048,bf16,N,T,16
512,3072,2048,bf16,N,T,16
512,2048,8192,bf16,N,T,16
512,128256,2048,bf16,N,T,1
33,2048,8192,bf16,N,T,16
33,16384,2048,bf16,N,T,16
256,128256,2048,bf16,N,T,3
256,2048,2048,bf16,N,T,16
