M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
13,2048,8192,bf16,N,T,214,-606623145,0.04669,0.25795,5.5250
13,16384,2048,bf16,N,T,212,-606623149,0.06525,0.09930,1.5218
13,3072,2048,bf16,N,T,212,-606623149,0.02086,0.01888,0.9049
256,2048,8192,bf16,N,T,214,-606623187,0.11590,0.28810,2.4856
33,3072,2048,bf16,N,T,212,-606603175,0.02435,0.02275,0.9343
8192,2048,2048,bf16,N,T,201,-606623196,0.55776,0.57287,1.0271
8192,16384,2048,bf16,N,T,201,-606603216,4.69737,7.68446,1.6359
33,2048,2048,bf16,N,T,212,-606603152,0.02061,0.02208,1.0714
256,16384,2048,bf16,N,T,203,-606603217,0.17885,0.21175,1.1839
8192,2048,8192,bf16,N,T,201,-606623196,1.97553,1.97780,1.0012
512,16384,2048,bf16,N,T,201,-606603210,0.34659,0.40279,1.1621
8192,3072,2048,bf16,N,T,201,-606623120,0.81943,0.82532,1.0072
256,3072,2048,bf16,N,T,212,-606623194,0.04227,0.04147,0.9811
512,2048,2048,bf16,N,T,212,-606623120,0.05408,0.05434,1.0047
13,2048,2048,bf16,N,T,212,-606603152,0.01952,0.01738,0.8902
512,3072,2048,bf16,N,T,212,-606603189,0.06371,0.07622,1.1964
512,2048,8192,bf16,N,T,212,-606623157,0.19155,0.29536,1.5419
512,128256,2048,bf16,N,T,201,-606623213,2.28789,2.35339,1.0286
33,2048,8192,bf16,N,T,214,-606603190,0.05517,0.26368,4.7796
33,16384,2048,bf16,N,T,212,-606623153,0.09280,0.10653,1.1479
256,128256,2048,bf16,N,T,201,-606623191,1.18353,1.26241,1.0666
256,2048,2048,bf16,N,T,212,-606603214,0.03901,0.03661,0.9385
