label,M,N,K,dtype,opA,opB,beta,def_ms,tflops
plain,15,2048,8192,bf16,N,T,0,0.25595,1.97
plain,256,128256,2048,bf16,N,T,0,1.25078,107.52
plain,512,128256,2048,bf16,N,T,0,2.35552,114.19
plain,512,2048,8192,bf16,N,T,0,0.29333,58.57
plain,512,3072,2048,bf16,N,T,0,0.07632,84.41
plain,13,2048,2048,bf16,N,T,0,0.01867,5.84
plain,512,2048,2048,bf16,N,T,0,0.05611,76.55
plain,256,3072,2048,bf16,N,T,0,0.04224,76.26
plain,8192,3072,2048,bf16,N,T,0,0.82256,125.32
plain,15,3072,2048,bf16,N,T,0,0.02165,8.72
plain,8192,2048,8192,bf16,N,T,0,1.97456,139.21
plain,16,128256,2048,bf16,N,T,0,0.61035,13.77
plain,15,16384,2048,bf16,N,T,0,0.10997,9.15
plain,168,3072,2048,bf16,N,T,0,0.03995,52.92
plain,8192,16384,2048,bf16,N,T,0,7.78006,70.66
plain,256,2048,2048,bf16,N,T,0,0.03851,55.77
plain,8192,2048,2048,bf16,N,T,0,0.58864,116.74
plain,256,2048,8192,bf16,N,T,0,0.28843,29.78
plain,15,128256,2048,bf16,N,T,0,0.61296,12.86
plain,13,3072,2048,bf16,N,T,0,0.02181,7.50
plain,13,16384,2048,bf16,N,T,0,0.10907,8.00
plain,16,16384,2048,bf16,N,T,0,0.10992,9.77
plain,512,16384,2048,bf16,N,T,0,0.40752,84.31
plain,168,2048,2048,bf16,N,T,0,0.03445,40.90
plain,168,16384,2048,bf16,N,T,0,0.15669,71.95
plain,168,2048,8192,bf16,N,T,0,0.27152,20.76
plain,13,2048,8192,bf16,N,T,0,0.26187,1.67
plain,16,3072,2048,bf16,N,T,0,0.02181,9.23
plain,16,2048,8192,bf16,N,T,0,0.26277,2.04
plain,16,2048,2048,bf16,N,T,0,0.01909,7.03
plain,256,16384,2048,bf16,N,T,0,0.21296,80.67
plain,15,2048,2048,bf16,N,T,0,0.01968,6.39
override,15,2048,8192,bf16,N,T,0,0.04741,10.62
override,256,128256,2048,bf16,N,T,0,1.18048,113.92
override,512,128256,2048,bf16,N,T,0,2.28949,117.48
override,512,2048,8192,bf16,N,T,0,0.19243,89.28
override,512,3072,2048,bf16,N,T,0,0.06485,99.34
override,13,2048,2048,bf16,N,T,0,0.01893,5.76
override,512,2048,2048,bf16,N,T,0,0.05744,74.77
override,256,3072,2048,bf16,N,T,0,0.04203,76.65
override,8192,3072,2048,bf16,N,T,0,0.81947,125.79
override,15,3072,2048,bf16,N,T,0,0.02165,8.72
override,8192,2048,8192,bf16,N,T,0,1.97232,139.37
override,16,128256,2048,bf16,N,T,0,0.46293,18.16
override,15,16384,2048,bf16,N,T,0,0.07168,14.04
override,168,3072,2048,bf16,N,T,0,0.03995,52.92
override,8192,16384,2048,bf16,N,T,0,4.70102,116.94
override,256,2048,2048,bf16,N,T,0,0.03760,57.11
override,8192,2048,2048,bf16,N,T,0,0.54912,125.14
override,256,2048,8192,bf16,N,T,0,0.11851,72.48
override,15,128256,2048,bf16,N,T,0,0.45381,17.36
override,13,3072,2048,bf16,N,T,0,0.02112,7.75
override,13,16384,2048,bf16,N,T,0,0.07120,12.25
override,16,16384,2048,bf16,N,T,0,0.07184,14.95
override,512,16384,2048,bf16,N,T,0,0.34784,98.78
override,168,2048,2048,bf16,N,T,0,0.03301,42.69
override,168,16384,2048,bf16,N,T,0,0.15504,72.72
override,168,2048,8192,bf16,N,T,0,0.08976,62.80
override,13,2048,8192,bf16,N,T,0,0.04901,8.90
override,16,3072,2048,bf16,N,T,0,0.02181,9.23
override,16,2048,8192,bf16,N,T,0,0.04715,11.39
override,16,2048,2048,bf16,N,T,0,0.01781,7.53
override,256,16384,2048,bf16,N,T,0,0.19483,88.18
override,15,2048,2048,bf16,N,T,0,0.01787,7.04
hipblaslt,15,2048,8192,bf16,N,T,0,0.12379,4.07
hipblaslt,256,128256,2048,bf16,N,T,0,9.95889,13.50
hipblaslt,512,128256,2048,bf16,N,T,0,19.81858,13.57
hipblaslt,512,2048,8192,bf16,N,T,0,1.31830,13.03
hipblaslt,512,3072,2048,bf16,N,T,0,0.48523,13.28
hipblaslt,13,2048,2048,bf16,N,T,0,0.03925,2.78
hipblaslt,512,2048,2048,bf16,N,T,0,0.33205,12.93
hipblaslt,256,3072,2048,bf16,N,T,0,0.27664,11.64
hipblaslt,8192,3072,2048,bf16,N,T,0,6.94043,14.85
hipblaslt,15,3072,2048,bf16,N,T,0,0.04528,4.17
hipblaslt,8192,2048,8192,bf16,N,T,0,22.05762,12.46
hipblaslt,16,128256,2048,bf16,N,T,0,1.41787,5.93
hipblaslt,15,16384,2048,bf16,N,T,0,0.16747,6.01
hipblaslt,168,3072,2048,bf16,N,T,0,0.20133,10.50
hipblaslt,8192,16384,2048,bf16,N,T,0,40.52553,13.57
hipblaslt,256,2048,2048,bf16,N,T,0,0.18560,11.57
