M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
15,2048,8192,bf16,N,T,214,-606603168,0.04653,0.25626,5.5076
256,128256,2048,bf16,N,T,201,-606603211,1.21310,1.31019,1.0800
512,128256,2048,bf16,N,T,201,-606623213,2.31507,2.41549,1.0434
512,2048,8192,bf16,N,T,212,-606623157,0.18589,0.28868,1.5529
512,3072,2048,bf16,N,T,212,-606603210,0.06352,0.07507,1.1819
13,2048,2048,bf16,N,T,212,-606623131,0.01766,0.01680,0.9511
512,2048,2048,bf16,N,T,212,-606603146,0.05411,0.05424,1.0024
256,3072,2048,bf16,N,T,212,-606603157,0.04118,0.04086,0.9922
8192,3072,2048,bf16,N,T,201,-606603141,0.82939,0.83003,1.0008
15,3072,2048,bf16,N,T,212,-606603175,0.02032,0.01955,0.9622
8192,2048,8192,bf16,N,T,201,-606623196,1.98044,1.98047,1.0000
16,128256,2048,bf16,N,T,212,-606603175,0.45060,0.62487,1.3868
15,16384,2048,bf16,N,T,212,-606623155,0.06493,0.10013,1.5421
168,3072,2048,bf16,N,T,212,-606623136,0.03917,0.03818,0.9747
8192,16384,2048,bf16,N,T,201,-606623196,4.73868,7.84647,1.6558
256,2048,2048,bf16,N,T,212,-606623194,0.03603,0.03603,1.0000
8192,2048,2048,bf16,N,T,201,-606603216,0.56340,0.58410,1.0367
256,2048,8192,bf16,N,T,214,-606603207,0.11335,0.28394,2.5051
15,128256,2048,bf16,N,T,212,-606623155,0.44532,0.62282,1.3986
13,3072,2048,bf16,N,T,212,-606623141,0.01894,0.01872,0.9882
13,16384,2048,bf16,N,T,212,-606603226,0.06403,0.10151,1.5852
16,16384,2048,bf16,N,T,212,-606623149,0.06557,0.10119,1.5432
512,16384,2048,bf16,N,T,201,-606623190,0.34970,0.40749,1.1653
168,2048,2048,bf16,N,T,212,-606603147,0.03104,0.03181,1.0247
168,16384,2048,bf16,N,T,212,-606603235,0.15264,0.16195,1.0610
168,2048,8192,bf16,N,T,214,-606603213,0.08970,0.26682,2.9747
13,2048,8192,bf16,N,T,214,-606623170,0.04618,0.25831,5.5939
16,3072,2048,bf16,N,T,212,-606623170,0.01968,0.01958,0.9951
16,2048,8192,bf16,N,T,214,-606623145,0.04605,0.25828,5.6088
16,2048,2048,bf16,N,T,212,-606623148,0.01654,0.01830,1.1064
256,16384,2048,bf16,N,T,203,-606603148,0.19488,0.21331,1.0946
15,2048,2048,bf16,N,T,212,-606623145,0.01718,0.01814,1.0559
