M,N,K,dtype,opA,opB,call_count
63,151936,2048,bf16,N,T,1
512,12288,2048,bf16,N,T,28
256,12288,2048,bf16,N,T,28
645,2048,2048,bf16,N,T,28
512,2048,2048,bf16,N,T,28
12,4096,2048,bf16,N,T,28
256,4096,2048,bf16,N,T,28
12,2048,2048,bf16,N,T,28
512,151936,2048,bf16,N,T,1
256,151936,2048,bf16,N,T,3
64,12288,2048,bf16,N,T,7112
512,4096,2048,bf16,N,T,28
256,2048,2048,bf16,N,T,28
8192,2048,2048,bf16,N,T,28
512,2048,6144,bf16,N,T,28
8192,4096,2048,bf16,N,T,28
63,2048,6144,bf16,N,T,28
8192,2048,6144,bf16,N,T,28
64,2048,2048,bf16,N,T,7112
12,12288,2048,bf16,N,T,28
63,12288,2048,bf16,N,T,28
64,4096,2048,bf16,N,T,7112
64,2048,6144,bf16,N,T,7112
12,2048,6144,bf16,N,T,28
645,4096,2048,bf16,N,T,28
8192,12288,2048,bf16,N,T,28
645,12288,2048,bf16,N,T,28
645,2048,6144,bf16,N,T,28
64,151936,2048,bf16,N,T,255
63,4096,2048,bf16,N,T,28
256,2048,6144,bf16,N,T,28
63,2048,2048,bf16,N,T,28
