M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
63,151936,2048,bf16,N,T,201,-606603142,0.82618,0.83415,1.0096
512,12288,2048,bf16,N,T,201,-606623213,0.22496,0.62077,2.7595
256,12288,2048,bf16,N,T,203,-606623191,0.12058,0.33242,2.7569
645,2048,2048,bf16,N,T,212,-606623169,0.06109,0.08685,1.4217
512,2048,2048,bf16,N,T,212,-606623133,0.05373,0.05350,0.9958
12,4096,2048,bf16,N,T,212,-606623131,0.02019,0.02266,1.1220
256,4096,2048,bf16,N,T,212,-606623125,0.05251,0.13830,2.6338
12,2048,2048,bf16,N,T,212,-606623141,0.01648,0.01632,0.9903
512,151936,2048,bf16,N,T,201,-606603232,2.65909,2.86110,1.0760
256,151936,2048,bf16,N,T,201,-606623191,1.44586,1.56807,1.0845
64,12288,2048,bf16,N,T,212,-606623194,0.06832,0.08362,1.2239
512,4096,2048,bf16,N,T,212,-606603198,0.08778,0.13834,1.5760
256,2048,2048,bf16,N,T,212,-606603214,0.03635,0.03651,1.0044
8192,2048,2048,bf16,N,T,201,-606603216,0.55319,0.57456,1.0386
512,2048,6144,bf16,N,T,212,-606603146,0.13990,0.17101,1.2223
8192,4096,2048,bf16,N,T,201,-606623196,1.11239,1.14817,1.0322
63,2048,6144,bf16,N,T,214,-606603226,0.04874,0.15414,3.1628
8192,2048,6144,bf16,N,T,201,-606603216,1.51281,1.67505,1.1072
64,2048,2048,bf16,N,T,212,-606603226,0.02051,0.02099,1.0234
12,12288,2048,bf16,N,T,212,-606623135,0.04998,0.05712,1.1428
63,12288,2048,bf16,N,T,212,-606623136,0.06557,0.07946,1.2118
64,4096,2048,bf16,N,T,212,-606623192,0.03597,0.04362,1.2126
64,2048,6144,bf16,N,T,214,-606623149,0.04794,0.15424,3.2176
12,2048,6144,bf16,N,T,214,-606623170,0.03510,0.15302,4.3592
645,4096,2048,bf16,N,T,212,-606623207,0.11510,0.11443,0.9942
8192,12288,2048,bf16,N,T,201,-606603218,3.19615,4.03877,1.2636
645,12288,2048,bf16,N,T,201,-606623125,0.29978,0.84813,2.8292
645,2048,6144,bf16,N,T,212,-606603167,0.16067,0.16061,0.9996
64,151936,2048,bf16,N,T,201,-606603142,0.82903,0.83786,1.0107
63,4096,2048,bf16,N,T,212,-606603212,0.03581,0.04374,1.2216
256,2048,6144,bf16,N,T,214,-606623187,0.08182,0.16845,2.0587
63,2048,2048,bf16,N,T,212,-606603226,0.02077,0.02102,1.0123
