label,M,N,K,dtype,opA,opB,beta,def_ms,tflops
plain,23,151936,2048,bf16,N,T,0,0.76011,18.83
plain,23,12288,2048,bf16,N,T,0,0.11936,9.70
plain,235,4096,2048,bf16,N,T,0,0.12821,30.75
plain,512,12288,2048,bf16,N,T,0,0.67040,38.44
plain,256,2048,6144,bf16,N,T,0,0.17563,36.68
plain,512,2048,2048,bf16,N,T,0,0.05456,78.72
plain,12,4096,2048,bf16,N,T,0,0.02528,7.96
plain,256,4096,2048,bf16,N,T,0,0.14059,30.55
plain,235,12288,2048,bf16,N,T,0,0.32885,35.97
plain,12,2048,2048,bf16,N,T,0,0.01824,5.52
plain,235,2048,2048,bf16,N,T,0,0.03776,52.21
plain,512,151936,2048,bf16,N,T,0,2.87110,110.98
plain,256,151936,2048,bf16,N,T,0,1.55813,102.25
plain,23,2048,6144,bf16,N,T,0,0.15669,3.69
plain,24,4096,2048,bf16,N,T,0,0.02427,16.59
plain,512,4096,2048,bf16,N,T,0,0.14475,59.34
plain,8192,12288,2048,bf16,N,T,0,4.04902,101.83
plain,235,2048,6144,bf16,N,T,0,0.17920,33.00
plain,512,2048,6144,bf16,N,T,0,0.18144,71.01
plain,8192,4096,2048,bf16,N,T,0,1.14187,120.36
plain,12,12288,2048,bf16,N,T,0,0.06539,9.24
plain,12,2048,6144,bf16,N,T,0,0.15637,1.93
plain,8192,2048,6144,bf16,N,T,0,1.70384,121.00
plain,24,12288,2048,bf16,N,T,0,0.07088,17.04
plain,24,151936,2048,bf16,N,T,0,0.76507,19.52
plain,24,2048,2048,bf16,N,T,0,0.02069,9.73
plain,24,2048,6144,bf16,N,T,0,0.15621,3.87
plain,256,2048,2048,bf16,N,T,0,0.03824,56.16
plain,8192,2048,2048,bf16,N,T,0,0.58288,117.90
plain,23,4096,2048,bf16,N,T,0,0.02800,13.78
plain,256,12288,2048,bf16,N,T,0,0.31296,41.17
plain,23,2048,2048,bf16,N,T,0,0.02699,7.15
override,23,151936,2048,bf16,N,T,0,0.59995,23.86
override,23,12288,2048,bf16,N,T,0,0.06304,18.36
override,235,4096,2048,bf16,N,T,0,0.05584,70.61
override,512,12288,2048,bf16,N,T,0,0.22912,112.47
override,256,2048,6144,bf16,N,T,0,0.08709,73.97
override,512,2048,2048,bf16,N,T,0,0.05477,78.41
override,12,4096,2048,bf16,N,T,0,0.02187,9.21
