M,N,K,dtype,opA,opB,call_count
11,14336,5120,bf16,N,T,16
11,5120,17408,bf16,N,T,64
256,14336,5120,bf16,N,T,16
256,5120,17408,bf16,N,T,64
8192,34816,5120,bf16,N,T,64
8192,14336,5120,bf16,N,T,16
256,248320,5120,bf16,N,T,2
8192,5120,6144,bf16,N,T,64
256,34816,5120,bf16,N,T,64
112,34816,5120,bf16,N,T,64
112,5120,17408,bf16,N,T,64
11,5120,6144,bf16,N,T,64
256,5120,6144,bf16,N,T,64
8192,16384,5120,bf16,N,T,48
112,5120,6144,bf16,N,T,64
11,248320,5120,bf16,N,T,1
12,96,5120,bf16,N,T,3024
8192,96,5120,bf16,N,T,48
12,5120,6144,bf16,N,T,4032
12,34816,5120,bf16,N,T,4032
112,16384,5120,bf16,N,T,48
11,16384,5120,bf16,N,T,48
12,16384,5120,bf16,N,T,3024
12,5120,17408,bf16,N,T,4032
256,16384,5120,bf16,N,T,48
12,14336,5120,bf16,N,T,1008
112,96,5120,bf16,N,T,48
112,14336,5120,bf16,N,T,16
256,96,5120,bf16,N,T,48
12,248320,5120,bf16,N,T,63
11,34816,5120,bf16,N,T,64
8192,5120,17408,bf16,N,T,64
11,96,5120,bf16,N,T,48
