M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
11,14336,5120,bf16,N,T,214,-606603151,0.13114,0.23335,1.7794
11,5120,17408,bf16,N,T,214,-606603226,0.14547,0.31329,2.1535
256,14336,5120,bf16,N,T,203,-606603158,0.35962,0.42510,1.1821
256,5120,17408,bf16,N,T,212,-606623169,0.50734,0.77345,1.5245
8192,34816,5120,bf16,N,T,201,-606623119,22.17027,29.81475,1.3448
8192,14336,5120,bf16,N,T,201,-606623196,9.11196,16.32553,1.7917
256,248320,5120,bf16,N,T,201,-606623169,6.09406,8.87455,1.4563
8192,5120,6144,bf16,N,T,201,-606623196,3.78685,5.14319,1.3582
256,34816,5120,bf16,N,T,201,-606603158,0.82107,0.88776,1.0812
112,34816,5120,bf16,N,T,203,-606603199,0.53476,2.02819,3.7927
112,5120,17408,bf16,N,T,212,-606623153,0.31188,0.32676,1.0477
11,5120,6144,bf16,N,T,214,-606623206,0.05376,0.05507,1.0244
256,5120,6144,bf16,N,T,212,-606623214,0.18647,0.22304,1.1962
8192,16384,5120,bf16,N,T,201,-606603216,10.57899,20.95434,1.9807
112,5120,6144,bf16,N,T,212,-606623194,0.11911,0.14685,1.2329
11,248320,5120,bf16,N,T,212,-606603226,1.99571,2.93794,1.4721
12,96,5120,bf16,N,T,214,-606603222,0.01642,0.05965,3.6335
8192,96,5120,bf16,N,T,212,-606623211,0.13165,0.13309,1.0109
12,5120,6144,bf16,N,T,214,-606623170,0.05427,0.05386,0.9923
12,34816,5120,bf16,N,T,214,-606623155,0.28429,0.28532,1.0036
112,16384,5120,bf16,N,T,212,-606603198,0.23904,0.31885,1.3339
11,16384,5120,bf16,N,T,214,-606623206,0.14855,0.23994,1.6153
12,16384,5120,bf16,N,T,214,-606603152,0.14688,0.24074,1.6390
12,5120,17408,bf16,N,T,214,-606623206,0.14675,0.31735,2.1625
256,16384,5120,bf16,N,T,203,-606623197,0.37412,0.45383,1.2131
12,14336,5120,bf16,N,T,214,-606623170,0.13015,0.23415,1.7991
112,96,5120,bf16,N,T,214,-606603222,0.01725,0.06695,3.8813
112,14336,5120,bf16,N,T,212,-606623178,0.22682,0.30660,1.3517
256,96,5120,bf16,N,T,214,-606603222,0.02157,0.06675,3.0950
12,248320,5120,bf16,N,T,203,-606603169,1.98714,2.94517,1.4821
11,34816,5120,bf16,N,T,214,-606623206,0.28436,0.28615,1.0063
8192,5120,17408,bf16,N,T,201,-606603216,10.33995,13.25395,1.2818
11,96,5120,bf16,N,T,214,-606623202,0.01619,0.05863,3.6205
