capture,M,N,K,dtype,opA,opB,call_count
deepseek-v2-lite,14,128,512,bf16,N,T,27
deepseek-v2-lite,14,512,128,bf16,N,N,27
deepseek-v2-lite,16,128,512,bf16,N,T,2538
deepseek-v2-lite,16,512,128,bf16,N,N,2538
deepseek-v2-lite,2,128,512,bf16,N,T,27
deepseek-v2-lite,2,512,128,bf16,N,N,27
deepseek-v2-lite,14,102400,2048,bf16,N,T,1
deepseek-v2-lite,14,64,2048,bf16,N,T,26
deepseek-v2-lite,14,2048,10944,bf16,N,T,1
deepseek-v2-lite,14,21888,2048,bf16,N,T,1
deepseek-v2-lite,14,3072,2048,bf16,N,T,27
deepseek-v2-lite,16,2048,2816,bf16,N,T,2444
deepseek-v2-lite,16,64,2048,bf16,N,T,2444
deepseek-v2-lite,16,2048,10944,bf16,N,T,94
deepseek-v2-lite,16,2048,2048,bf16,N,T,2538
deepseek-v2-lite,16,3072,2048,bf16,N,T,2538
deepseek-v2-lite,16,102400,2048,bf16,N,T,95
deepseek-v2-lite,16,576,2048,bf16,N,T,2538
deepseek-v2-lite,138,2048,2816,bf16,N,T,26
deepseek-v2-lite,138,5632,2048,bf16,N,T,26
deepseek-v2-lite,138,21888,2048,bf16,N,T,1
deepseek-v2-lite,14,5632,2048,bf16,N,T,26
deepseek-v2-lite,256,576,2048,bf16,N,T,27
deepseek-v2-lite,256,21888,2048,bf16,N,T,1
deepseek-v2-lite,16,5632,2048,bf16,N,T,2444
deepseek-v2-lite,256,102400,2048,bf16,N,T,2
deepseek-v2-lite,20,2048,10944,bf16,N,T,1
deepseek-v2-lite,8192,2048,2816,bf16,N,T,26
deepseek-v2-lite,14,2048,2816,bf16,N,T,26
deepseek-v2-lite,20,5632,2048,bf16,N,T,26
deepseek-v2-lite,8192,3072,2048,bf16,N,T,27
deepseek-v2-lite,14,2048,2048,bf16,N,T,27
deepseek-v2-lite,8192,576,2048,bf16,N,T,27
deepseek-v2-lite,20,21888,2048,bf16,N,T,1
deepseek-v2-lite,20,2048,2816,bf16,N,T,26
deepseek-v2-lite,138,2048,10944,bf16,N,T,1
deepseek-v2-lite,8192,64,2048,bf16,N,T,26
deepseek-v2-lite,8192,2048,10944,bf16,N,T,1
deepseek-v2-lite,256,64,2048,bf16,N,T,26
deepseek-v2-lite,8192,5632,2048,bf16,N,T,26
deepseek-v2-lite,16,21888,2048,bf16,N,T,94
deepseek-v2-lite,256,2048,2048,bf16,N,T,27
deepseek-v2-lite,8192,2048,2048,bf16,N,T,27
deepseek-v2-lite,256,2048,10944,bf16,N,T,1
deepseek-v2-lite,138,64,2048,bf16,N,T,26
deepseek-v2-lite,138,2048,2048,bf16,N,T,27
deepseek-v2-lite,256,2048,2816,bf16,N,T,26
deepseek-v2-lite,14,576,2048,bf16,N,T,27
deepseek-v2-lite,8192,21888,2048,bf16,N,T,1
deepseek-v2-lite,20,576,2048,bf16,N,T,27
deepseek-v2-lite,138,3072,2048,bf16,N,T,27
deepseek-v2-lite,20,3072,2048,bf16,N,T,27
deepseek-v2-lite,256,3072,2048,bf16,N,T,27
deepseek-v2-lite,20,4096,512,bf16,N,T,27
deepseek-v2-lite,20,2048,2048,bf16,N,T,27
deepseek-v2-lite,256,5632,2048,bf16,N,T,26
deepseek-v2-lite,20,64,2048,bf16,N,T,26
deepseek-v2-lite,138,576,2048,bf16,N,T,27
deepseek-v2-lite,136,4096,512,bf16,N,T,27
gemma-3-12b,23,262208,3840,bf16,N,T,1
gemma-3-12b,23,30720,3840,bf16,N,T,48
gemma-3-12b,23,3840,4096,bf16,N,T,48
gemma-3-12b,24,3840,15360,bf16,N,T,4512
gemma-3-12b,24,3840,4096,bf16,N,T,4512
gemma-3-12b,24,8192,3840,bf16,N,T,4512
gemma-3-12b,24,262208,3840,bf16,N,T,95
gemma-3-12b,241,3840,15360,bf16,N,T,48
gemma-3-12b,241,3840,4096,bf16,N,T,48
gemma-3-12b,12,30720,3840,bf16,N,T,48
gemma-3-12b,23,3840,15360,bf16,N,T,48
gemma-3-12b,12,3840,15360,bf16,N,T,48
gemma-3-12b,8192,3840,1152,bf16,N,N,1
gemma-3-12b,256,3840,15360,bf16,N,T,48
gemma-3-12b,24,30720,3840,bf16,N,T,4512
gemma-3-12b,8192,8192,3840,bf16,N,T,48
gemma-3-12b,23,8192,3840,bf16,N,T,48
gemma-3-12b,241,30720,3840,bf16,N,T,48
gemma-3-12b,1152,4096,588,bf16,N,N,288
gemma-3-12b,8192,30720,3840,bf16,N,T,48
gemma-3-12b,8192,3840,4096,bf16,N,T,48
gemma-3-12b,8192,3840,15360,bf16,N,T,48
gemma-3-12b,256,8192,3840,bf16,N,T,48
gemma-3-12b,12,8192,3840,bf16,N,T,48
gemma-3-12b,256,3840,4096,bf16,N,T,48
gemma-3-12b,12,3840,4096,bf16,N,T,48
gemma-3-12b,241,8192,3840,bf16,N,T,48
gemma-3-12b,256,262208,3840,bf16,N,T,2
gemma-3-12b,256,30720,3840,bf16,N,T,48
gpt-oss-20b,15,201088,2880,bf16,N,T,1
gpt-oss-20b,16,201088,2880,bf16,N,T,95
gpt-oss-20b,256,201088,2880,bf16,N,T,2
llama-1b-2,7,128256,2048,bf16,N,T,1
llama-1b-2,7,2048,8192,bf16,N,T,16
llama-1b-2,7,16384,2048,bf16,N,T,16
llama-1b-2,78,2048,2048,bf16,N,T,16
llama-1b-2,512,3072,2048,bf16,N,T,16
