capture,label,M,N,K,dtype,opA,opB,beta,def_ms,tflops
gemma-3-12b,plain,23,262208,3840,bf16,N,T,0,2.33648,19.82
gemma-3-12b,plain,23,30720,3840,bf16,N,T,0,0.34608,15.68
gemma-3-12b,plain,23,3840,4096,bf16,N,T,0,0.03888,18.61
gemma-3-12b,plain,24,3840,15360,bf16,N,T,0,0.26640,10.63
gemma-3-12b,plain,24,3840,4096,bf16,N,T,0,0.03893,19.39
gemma-3-12b,plain,24,8192,3840,bf16,N,T,0,0.11205,13.48
gemma-3-12b,plain,24,262208,3840,bf16,N,T,0,2.33600,20.69
gemma-3-12b,plain,241,3840,15360,bf16,N,T,0,0.48592,58.51
gemma-3-12b,plain,241,3840,4096,bf16,N,T,0,0.12581,60.26
gemma-3-12b,plain,12,30720,3840,bf16,N,T,0,0.35867,7.89
gemma-3-12b,plain,23,3840,15360,bf16,N,T,0,0.26443,10.26
gemma-3-12b,plain,12,3840,15360,bf16,N,T,0,0.23611,6.00
gemma-3-12b,plain,8192,3840,1152,bf16,N,N,0,0.63712,113.76
gemma-3-12b,plain,256,3840,15360,bf16,N,T,0,0.47205,63.97
gemma-3-12b,plain,24,30720,3840,bf16,N,T,0,0.33931,16.69
gemma-3-12b,plain,8192,8192,3840,bf16,N,T,0,4.84651,106.34
gemma-3-12b,plain,23,8192,3840,bf16,N,T,0,0.11115,13.02
gemma-3-12b,plain,241,30720,3840,bf16,N,T,0,0.58827,96.66
gemma-3-12b,plain,1152,4096,588,bf16,N,N,0,0.08715,63.68
gemma-3-12b,plain,8192,30720,3840,bf16,N,T,0,14.82455,130.37
gemma-3-12b,plain,8192,3840,4096,bf16,N,T,0,2.16080,119.26
gemma-3-12b,plain,8192,3840,15360,bf16,N,T,0,7.22982,133.66
gemma-3-12b,plain,256,8192,3840,bf16,N,T,0,0.37973,42.41
gemma-3-12b,plain,12,8192,3840,bf16,N,T,0,0.06160,12.26
gemma-3-12b,plain,256,3840,4096,bf16,N,T,0,0.12875,62.55
gemma-3-12b,plain,12,3840,4096,bf16,N,T,0,0.03541,10.66
