M,N,K,dtype,opA,opB,beta,rb_def_ms,rb_best_ms,lt_h0_ms,lt_besth_ms,lt_all_ms,tf_rb_def,tf_rb_best,tf_lt_h0,tf_lt_besth,tf_lt_all,n_rb_sol,n_lt_heur,n_lt_all,n_lt_ok,nrot,reps,clk_drift
7841,75,1,bf16,T,T,0,0.01692,0.00866,0.00898,0.00893,0.00883,0.07,0.14,0.13,0.13,0.13,20,64,1024,3,4,540,1.0580
104,918,8794,fp32,N,T,0,0.07813,0.04566,0.03643,0.03647,0.03295,21.49,36.78,46.10,46.05,50.96,378,64,1024,3,4,127,0.8739
390,1081,3,fp32,N,T,0,0.00819,0.00799,0.00798,0.00800,0.00801,0.31,0.32,0.32,0.32,0.32,204,64,1024,3,4,1097,0.9929
18,2953,10244,fp16,N,T,0,0.34637,0.20387,0.02140,0.02174,0.02154,3.14,5.34,50.89,50.10,50.57,33,64,889,3,4,29,0.9792
12647,2,17,fp32,T,N,0,0.00844,0.00799,0.00826,0.00827,0.00829,0.10,0.11,0.10,0.10,0.10,162,64,1024,3,4,1331,0.9958
246,92,1962,bf16,T,N,0,0.09553,0.04401,0.01006,0.00856,0.00860,0.93,2.02,8.83,10.37,10.32,78,64,1024,3,4,103,1.0122
98,4522,1850,bf16,T,N,0,0.09207,0.05125,0.02054,0.02082,0.01940,17.81,31.99,79.81,78.77,84.50,78,64,1024,3,4,98,0.9222
1131,15131,365,fp32,N,N,0,0.16774,0.15119,0.15629,0.14269,0.14653,74.48,82.63,79.93,87.55,85.25,292,64,1024,3,4,43,0.6658
1924,5419,1016,bf16,T,T,0,0.09182,0.08562,0.08448,0.07203,0.08024,230.73,247.46,250.79,294.13,264.03,20,64,1024,3,4,116,0.7973
65,1564,301,bf16,N,T,0,0.03311,0.02160,0.00882,0.00875,0.00883,1.85,2.83,6.93,6.99,6.93,27,64,889,3,4,282,0.9722
8644,44,9,bf16,N,N,0,0.02569,0.00859,0.00878,0.00866,0.00860,0.27,0.80,0.78,0.79,0.80,17,64,940,3,4,354,1.0152
1,334,514,fp16,N,T,0,0.04063,0.00291,0.00616,0.00614,0.00617,0.01,0.12,0.06,0.06,0.06,28,64,889,3,4,234,0.9794
3819,14,4866,bf16,N,T,0,0.17771,0.10633,0.01387,0.01356,0.01246,2.93,4.89,37.51,38.37,41.77,32,64,889,3,4,53,1.0315
1070,3483,11962,fp32,N,T,0,3.02331,1.07455,0.91717,0.92734,0.91610,29.49,82.97,97.21,96.15,97.33,312,64,1024,3,4,5,0.6710
2,126,9,bf16,T,N,0,0.00904,0.00826,0.00869,0.00849,0.00869,0.00,0.00,0.00,0.00,0.00,3,64,137,3,4,1216,0.9345
8381,6725,11137,fp16,N,N,0,3.30860,2.76943,2.29338,2.29735,2.29009,379.44,453.31,547.41,546.46,548.19,17,64,940,3,4,5,0.7832
11961,29601,13,bf16,N,N,0,1.18868,0.52464,0.99637,0.54745,0.46962,7.74,17.55,9.24,16.82,19.60,17,64,940,3,4,9,0.7380
8471,19445,7757,fp16,N,N,0,7.14412,5.68686,4.70825,4.68916,4.69830,357.70,449.36,542.76,544.97,543.91,17,64,940,3,4,5,0.7510
5,390,5232,fp32,T,T,0,0.09254,0.05352,0.00870,0.00885,0.00925,0.22,0.38,2.34,2.30,2.21,66,64,1024,3,4,106,0.9552
5830,271,27188,bf16,N,T,0,0.95410,0.54742,0.30505,0.24655,0.22330,90.04,156.94,281.62,348.44,384.73,32,64,889,3,4,12,0.7220
8444,8579,10426,bf16,T,T,0,3.03794,2.75303,2.57583,2.48841,2.48229,497.23,548.68,586.43,607.03,608.53,20,64,1024,3,4,5,0.7197
1509,2,24,bf16,T,T,0,0.01522,0.00735,0.00730,0.00736,0.00729,0.01,0.02,0.02,0.02,0.02,20,64,1024,3,4,552,0.9612
4024,4471,4298,fp32,T,T,0,1.72452,1.53378,1.47155,1.40695,1.40459,89.68,100.83,105.10,109.92,110.11,66,64,1024,3,4,6,0.6859
2,16382,332,fp32,N,T,0,0.02921,0.00897,0.01008,0.00983,0.00942,0.74,2.42,2.16,2.21,2.31,411,64,1024,3,4,287,0.9638
542,103,27547,fp16,N,T,0,0.88258,0.51752,0.03188,0.03262,0.03165,3.48,5.94,96.48,94.28,97.18,33,64,889,3,4,12,0.9105
3051,10,18,bf16,N,N,0,0.02605,0.00842,0.00878,0.00875,0.00874,0.04,0.13,0.13,0.13,0.13,17,64,940,3,4,352,1.0069
7178,2661,6836,fp32,T,N,0,5.13092,2.63282,2.46346,2.45236,2.34244,50.90,99.19,106.01,106.49,111.48,296,64,1024,3,4,5,0.7809
2,3,4,fp32,N,T,0,0.00939,0.00846,0.00854,0.00889,0.00891,0.00,0.00,0.00,0.00,0.00,305,64,1024,3,4,1650,0.9099
1504,11,22581,fp16,T,T,0,0.79054,0.76798,0.25800,0.02613,0.02569,0.95,0.97,2.90,28.59,29.08,22,64,1024,3,4,13,1.0127
1,63,1038,fp16,T,N,0,0.01502,0.00823,0.00909,0.00892,0.00885,0.01,0.02,0.01,0.01,0.01,9,32,32,3,4,495,0.9914
4130,6711,2365,fp32,N,N,0,1.41553,1.25713,1.31029,1.24480,1.22014,92.61,104.28,100.05,105.32,107.45,292,64,1024,3,4,7,0.6700
6861,119,24,bf16,T,N,0,0.02680,0.00885,0.00905,0.00902,0.00900,1.46,4.43,4.33,4.34,4.35,69,64,1024,3,4,327,0.9540
310,109,9,bf16,T,T,0,0.01491,0.00865,0.00893,0.00877,0.00877,0.04,0.07,0.07,0.07,0.07,20,64,1024,3,4,567,0.9705
889,412,1103,bf16,N,N,0,0.06344,0.04725,0.01385,0.01205,0.01202,12.74,17.10,58.36,67.04,67.23,23,64,940,3,4,135,1.0147
3095,218,431,bf16,N,N,0,0.04125,0.02725,0.00986,0.00933,0.00904,14.10,21.34,58.99,62.36,64.31,17,64,940,3,4,202,1.0069
27,48,35,fp32,N,T,0,0.00865,0.00810,0.00829,0.00828,0.00828,0.01,0.01,0.01,0.01,0.01,351,64,1024,3,4,1545,0.9726
13683,122,3126,fp16,T,T,0,0.15410,0.12790,0.16721,0.06844,0.05629,67.73,81.60,62.42,152.49,185.42,22,64,1024,3,4,69,0.6687
3,17,233,fp16,N,T,0,0.02956,0.01494,0.00886,0.00871,0.00867,0.00,0.00,0.00,0.00,0.00,27,64,889,3,4,314,0.9517
8,34,39,fp32,N,N,0,0.00602,0.00569,0.00582,0.00580,0.00565,0.00,0.00,0.00,0.00,0.00,364,64,1024,3,4,1823,0.9683
4,30,2,fp32,N,N,0,0.00863,0.00814,0.00856,0.00848,0.00839,0.00,0.00,0.00,0.00,0.00,432,64,1024,3,4,1676,0.9996
5598,4073,13160,fp32,T,T,0,7.20293,6.62081,5.41712,5.40671,5.40678,83.32,90.64,110.78,110.99,110.99,66,64,1024,3,4,5,0.6801
2,19241,7198,fp32,N,N,0,0.51377,0.16619,0.13788,0.14048,0.13534,1.08,3.33,4.02,3.94,4.09,320,64,1024,3,4,19,0.7286
2506,2654,21291,bf16,N,N,0,0.91655,0.90840,0.56331,0.53848,0.53925,308.99,311.77,502.76,525.94,525.19,23,64,940,3,4,11,0.6916
2,5845,2,fp16,T,N,0,0.00724,0.00701,0.00715,0.00694,0.00689,0.01,0.01,0.01,0.01,0.01,4,64,137,3,4,1257,0.9483
739,24939,2775,fp32,N,N,0,1.25135,1.02576,1.00585,0.98313,0.98855,81.74,99.72,101.69,104.04,103.47,292,64,1024,3,4,8,0.6690
262,7821,30041,bf16,T,N,0,1.11866,0.75763,0.40238,0.34581,0.34316,110.06,162.50,305.97,356.02,358.77,79,64,1024,3,4,9,0.7024
1706,48,137,fp32,T,N,0,0.00819,0.00784,0.00821,0.00827,0.00829,2.74,2.86,2.73,2.71,2.71,296,64,1024,3,4,1312,0.9899
981,17736,19,bf16,N,T,0,0.03492,0.03193,0.04329,0.03088,0.02797,18.94,20.71,15.27,21.41,23.64,27,64,889,3,4,279,0.8556
2835,14795,1658,fp16,T,T,0,0.48776,0.50412,1.58236,0.35973,0.33290,285.15,275.90,87.90,386.64,417.80,22,64,1024,3,4,20,0.7229
4995,2737,283,fp16,T,T,0,0.05892,0.05034,0.11189,0.04357,0.04405,131.32,153.70,69.16,177.61,175.68,22,64,1024,3,4,168,0.7456
4133,172,366,bf16,T,T,0,0.03385,0.02781,0.01067,0.00980,0.00964,15.37,18.71,48.79,53.12,53.97,20,64,1024,3,4,262,0.9982
149,667,1268,fp16,N,N,0,0.07485,0.03990,0.01127,0.01002,0.01071,3.37,6.32,22.37,25.16,23.53,22,64,1024,3,4,114,0.9984
18648,5848,1077,fp32,N,N,0,2.35829,2.30570,2.27810,2.21551,2.23235,99.61,101.88,103.11,106.03,105.23,292,64,1024,3,4,5,0.7417
1,4196,6469,fp16,T,T,0,0.31091,0.01938,0.05963,0.01787,0.01773,0.17,2.80,0.91,3.04,3.06,5,51,51,3,4,32,0.9162
340,629,1530,fp32,N,N,0,0.01780,0.01629,0.02006,0.01932,0.01678,36.77,40.16,32.62,33.88,39.00,292,64,1024,3,4,525,0.9102
72,16044,266,bf16,N,T,0,0.03417,0.02263,0.00992,0.00983,0.00994,17.99,27.16,61.95,62.53,61.81,27,64,889,3,4,271,0.9762
287,131,320,fp16,T,N,0,0.02894,0.01555,0.00892,0.00876,0.00877,0.83,1.55,2.70,2.75,2.74,71,64,1024,3,4,322,1.0073
2013,11247,27,fp32,N,T,0,0.04806,0.04805,0.07436,0.05896,0.05211,25.44,25.44,16.44,20.74,23.46,204,64,1024,3,4,181,0.7546
180,9,52,fp16,T,N,0,0.01914,0.00620,0.00610,0.00612,0.00613,0.01,0.03,0.03,0.03,0.03,71,64,1024,3,4,442,0.9802
5463,46,29499,bf16,N,N,0,1.16617,1.05028,0.14472,0.13439,0.12652,12.71,14.12,102.45,110.32,117.18,23,64,940,3,4,9,0.6365
13108,22,31,fp16,N,T,0,0.02422,0.00873,0.00892,0.00899,0.00901,0.74,2.05,2.00,1.99,1.98,27,64,889,3,4,327,1.0051
928,33,2299,fp16,N,N,0,0.11359,0.06748,0.01250,0.01017,0.01068,1.24,2.09,11.26,13.84,13.19,22,64,1024,3,4,79,1.0105
4347,84,177,fp16,T,T,0,0.02418,0.01089,0.00871,0.00909,0.00902,5.35,11.87,14.84,14.22,14.33,22,64,1024,3,4,389,1.0162
1286,584,54,fp16,N,N,0,0.02534,0.00984,0.00926,0.00918,0.00917,3.20,8.24,8.75,8.84,8.84,17,64,940,3,4,357,1.0156
