M,N,K,dtype,opA,opB,beta,rb_def_ms,rb_best_ms,lt_h0_ms,lt_besth_ms,lt_all_ms,tf_rb_def,tf_rb_best,tf_lt_h0,tf_lt_besth,tf_lt_all,n_rb_sol,n_lt_heur,n_lt_all,n_lt_ok,nrot,reps,clk_drift
7841,75,1,bf16,T,T,0,0.01617,0.00582,0.00607,0.00615,0.00621,0.07,0.20,0.19,0.19,0.19,20,256,1024,3,4,530,1.0180
104,918,8794,fp32,N,T,0,0.07729,0.04575,0.03783,0.03206,0.03295,21.73,36.71,44.38,52.38,50.96,378,256,1024,3,4,129,0.8574
390,1081,3,fp32,N,T,0,0.00689,0.00648,0.00682,0.00684,0.00680,0.37,0.39,0.37,0.37,0.37,204,256,1024,3,4,1052,0.9817
18,2953,10244,fp16,N,T,0,0.34659,0.20296,0.02097,0.02102,0.02101,3.14,5.37,51.92,51.80,51.83,33,256,889,3,4,29,0.9833
12647,2,17,fp32,T,N,0,0.00709,0.00674,0.00689,0.00688,0.00684,0.12,0.13,0.12,0.13,0.13,162,256,1024,3,4,1526,0.9875
246,92,1962,bf16,T,N,0,0.09556,0.04380,0.00824,0.00786,0.00773,0.93,2.03,10.78,11.29,11.49,78,256,1024,3,4,102,1.1474
98,4522,1850,bf16,T,N,0,0.09256,0.05118,0.02088,0.02032,0.02035,17.71,32.04,78.54,80.69,80.56,78,256,1024,3,4,92,0.9667
1131,15131,365,fp32,N,N,0,0.16798,0.15051,0.15459,0.15097,0.14737,74.37,83.00,80.81,82.75,84.77,292,256,1024,3,4,45,0.6991
1924,5419,1016,bf16,T,T,0,0.09689,0.08527,0.08389,0.07039,0.07681,218.66,248.46,252.56,300.97,275.83,20,256,1024,3,4,99,0.9649
65,1564,301,bf16,N,T,0,0.03307,0.02157,0.00725,0.00722,0.00722,1.85,2.84,8.44,8.47,8.48,27,256,889,3,4,283,0.9693
8644,44,9,bf16,N,N,0,0.02567,0.00696,0.00718,0.00718,0.00718,0.27,0.98,0.95,0.95,0.95,17,256,940,3,4,355,1.0106
1,334,514,fp16,N,T,0,0.04069,0.00388,0.00725,0.00724,0.00728,0.01,0.09,0.05,0.05,0.05,28,256,889,3,4,226,0.9671
3819,14,4866,bf16,N,T,0,0.17787,0.10622,0.01311,0.01303,0.01170,2.93,4.90,39.68,39.93,44.47,32,256,889,3,4,54,0.9563
1070,3483,11962,fp32,N,T,0,3.02203,1.06701,0.91410,0.92619,0.91974,29.50,83.56,97.54,96.27,96.94,312,256,1024,3,4,5,0.6726
2,126,9,bf16,T,N,0,0.00734,0.00693,0.00726,0.00726,0.00725,0.00,0.00,0.00,0.00,0.00,3,137,137,3,4,1683,0.9237
8381,6725,11137,fp16,N,N,0,3.30306,2.72802,2.28232,2.28514,2.28786,380.08,460.19,550.06,549.38,548.73,17,256,940,3,4,5,0.7712
11961,29601,13,bf16,N,N,0,1.23155,0.53183,1.00432,0.47222,0.49357,7.47,17.31,9.17,19.49,18.65,17,256,940,3,4,9,0.6102
8471,19445,7757,fp16,N,N,0,7.20661,5.73270,4.69698,4.68118,4.68973,354.60,445.77,544.06,545.90,544.90,17,256,940,3,4,5,0.7326
5,390,5232,fp32,T,T,0,0.09264,0.05359,0.00960,0.00954,0.00985,0.22,0.38,2.13,2.14,2.07,66,256,1024,3,4,106,0.9571
5830,271,27188,bf16,N,T,0,0.96608,0.54578,0.30177,0.24708,0.22218,88.93,157.41,284.68,347.70,386.67,32,256,889,3,4,12,0.7974
8444,8579,10426,bf16,T,T,0,3.04209,2.73602,2.57467,2.48340,2.48678,496.55,552.09,586.69,608.25,607.43,20,256,1024,3,4,5,0.7093
1509,2,24,bf16,T,T,0,0.01502,0.00577,0.00606,0.00606,0.00606,0.01,0.03,0.02,0.02,0.02,20,256,1024,3,4,502,0.9576
4024,4471,4298,fp32,T,T,0,1.72539,1.53647,1.46755,1.40502,1.40724,89.63,100.65,105.38,110.07,109.90,66,256,1024,3,4,6,0.6667
2,16382,332,fp32,N,T,0,0.02919,0.00825,0.00936,0.00892,0.00871,0.75,2.64,2.32,2.44,2.50,411,256,1024,3,4,287,0.9633
542,103,27547,fp16,N,T,0,0.88306,0.51714,0.03171,0.03164,0.03131,3.48,5.95,97.00,97.21,98.23,33,256,889,3,4,12,0.9508
