M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain,nrot,reps,ach_gbs,cache_flag,clk_drift
239,154,147,fp16,N,N,17,-170,0.01156,0.03161,2.7352,4,295,22.7,0,0.9693
3850,546,2853,fp16,N,N,22,-621294410,0.10025,0.12386,1.2355,4,70,334.1,0,1.0276
149,667,1268,fp16,N,N,22,-171,0.04000,0.07432,1.8580,4,126,61.7,0,0.9731
2641,788,331,fp16,N,N,17,-621294410,0.02478,0.03888,1.5686,4,228,427.5,0,1.0232
159,1785,4877,fp16,N,N,22,-171,0.16128,0.16187,1.0037,4,60,124.6,0,1.0080
8511,161,24314,fp16,N,N,22,-621294410,0.83083,0.82786,0.9964,4,12,514.2,0,1.0482
12944,708,24023,fp16,N,N,22,-621294414,1.21455,1.30686,1.0760,4,7,570.2,0,0.6545
13397,5344,521,fp16,N,N,17,-621294410,0.25653,0.29258,1.1405,4,32,1192.5,0,0.7328
407,18635,591,fp16,N,N,17,-621294410,0.05098,0.05412,1.0616,4,155,1036.5,0,0.9643
660,132,20045,fp16,N,N,22,-171,0.54708,0.60385,1.1038,4,17,58.7,0,0.9753
28191,342,548,fp16,N,N,17,-621294406,0.06601,0.07427,1.1252,4,124,1058.0,0,0.7820
7915,187,1057,fp16,N,N,22,-621294410,0.04692,0.06831,1.4559,4,128,491.2,0,1.2087
490,4993,1305,fp16,N,N,22,-621294410,0.05436,0.07968,1.4658,4,109,443.3,0,0.9921
614,943,15203,fp16,N,N,22,-621294410,0.46211,0.46310,1.0021,4,22,107.5,0,0.9966
804,21161,19972,fp16,N,N,17,-621294403,1.84505,1.84850,1.0019,4,6,512.4,0,0.8872
240,503,360,fp16,N,N,17,-170,0.02433,0.03892,1.5995,4,229,41.8,0,0.9852
4483,916,12551,fp16,N,N,22,-621294412,0.50700,0.50786,1.0017,4,19,299.7,0,0.9142
17055,928,3591,fp16,N,N,17,-621294412,0.27752,0.27934,1.0066,4,28,693.5,0,0.7538
9449,665,3396,fp16,N,N,22,-621294410,0.16220,0.18929,1.1670,4,52,578.5,0,0.6567
2078,141,17901,fp16,N,N,22,-171,0.71923,0.73497,1.0219,4,15,112.1,0,0.9950
13530,358,11759,fp16,N,N,22,-621294415,0.52163,0.51630,0.9898,4,17,663.3,0,0.7606
271,459,2644,fp16,N,N,22,-171,0.07409,0.12723,1.7172,4,77,58.8,0,0.9883
4566,1757,910,fp16,N,N,22,-621294410,0.06726,0.07973,1.1855,4,112,648.2,0,0.8953
163,146,480,fp16,N,N,17,-621294410,0.02660,0.03783,1.4223,4,252,14.7,0,0.9787
3952,877,4278,fp16,N,N,22,-621294410,0.15520,0.19367,1.2478,4,51,355.5,0,0.9311
344,1600,26541,fp16,N,N,22,-621294414,0.90869,0.98948,1.0889,4,11,116.0,0,0.9888
1880,192,5159,fp16,N,N,22,-621294410,0.16497,0.19567,1.1861,4,49,138.3,0,1.0012
1498,183,23114,fp16,N,N,22,-621294409,0.83493,0.84051,1.0067,4,12,94.4,0,0.9998
772,869,1937,fp16,N,N,22,-621294410,0.07213,0.10059,1.3946,4,91,125.3,0,1.0084
148,1363,190,fp16,N,N,17,-170,0.01478,0.03307,2.2385,4,253,93.5,0,0.9994
139,10766,567,fp16,N,N,17,-621294410,0.03245,0.04567,1.4074,4,179,565.5,0,1.0149
678,412,277,fp16,N,N,17,-170,0.01937,0.03696,1.9084,4,229,88.9,0,1.0017
214,761,3307,fp16,N,N,22,-171,0.09733,0.15427,1.5851,4,61,72.9,0,1.0007
745,1019,160,fp16,N,N,17,-170,0.01660,0.02905,1.7504,4,274,217.0,0,1.0044
2026,13129,236,fp16,N,N,17,-621294409,0.08746,0.08987,1.0276,4,101,1298.3,0,0.7624
140,6203,275,fp16,N,N,17,-621294410,0.02268,0.03717,1.6393,4,228,307.0,0,1.0241
18699,32355,256,fp16,N,N,17,-621294402,1.42242,1.42056,0.9987,4,7,1719.7,0,0.7133
631,3289,583,fp16,N,N,17,-621294410,0.03390,0.04942,1.4581,4,171,379.8,0,1.0132
5068,638,4194,fp16,N,N,22,-621294406,0.15160,0.17038,1.1239,4,55,401.0,0,0.9793
1494,587,9791,fp16,N,N,22,-621294410,0.32500,0.40376,1.2423,4,25,136.2,0,0.9928
2770,543,3688,fp16,N,N,22,-621294410,0.12420,0.16663,1.3416,4,59,245.2,0,1.0086
10133,149,259,fp16,N,N,17,-621294410,0.02328,0.03900,1.6755,4,237,488.3,0,1.0053
4849,858,1452,fp16,N,N,22,-621294410,0.06532,0.08003,1.2251,4,122,508.5,0,0.9536
195,5830,1641,fp16,N,N,22,-621294410,0.06415,0.08183,1.2757,4,108,379.2,0,0.9975
922,4555,714,fp16,N,N,17,-621294410,0.04111,0.05744,1.3974,4,150,598.9,0,0.9544
2953,824,586,fp16,N,N,17,-621294411,0.03065,0.04481,1.4620,4,187,462.0,0,0.9963
233,205,210,fp16,N,N,17,-170,0.01532,0.03467,2.2633,4,239,24.5,0,0.9728
180,2043,3289,fp16,N,N,22,-621294410,0.11235,0.15565,1.3854,4,60,143.3,0,1.0156
300,237,202,fp16,N,N,17,-170,0.01500,0.03404,2.2690,4,241,33.4,0,0.9749
979,1344,197,fp16,N,N,17,-621294411,0.01829,0.03026,1.6542,4,263,337.8,0,1.0141
10794,30348,706,fp16,N,N,17,-621294412,1.39055,1.52064,1.0936,4,7,984.1,0,0.7922
11375,263,6987,fp16,N,N,22,-621294405,0.30003,0.32995,1.0997,4,29,581.9,0,0.8034
180,157,1555,fp16,N,N,22,-171,0.04551,0.08602,1.8901,4,107,25.5,0,0.9776
148,6102,1802,fp16,N,N,22,-621294410,0.06910,0.08716,1.2613,4,98,378.2,0,1.0029
28299,3252,162,fp16,N,N,17,-621294406,0.19694,0.22980,1.1668,4,42,1921.1,0,0.7931
318,555,341,fp16,N,N,17,-170,0.02334,0.03955,1.6947,4,222,55.8,0,1.0021
146,2394,984,fp16,N,N,22,-621294410,0.04310,0.05870,1.3619,4,149,148.4,0,1.0120
229,7268,10942,fp16,N,N,22,-621294410,0.39446,0.39886,1.0112,4,24,432.8,0,1.0297
657,695,2219,fp16,N,N,22,-621294410,0.08113,0.11244,1.3860,4,86,96.5,0,0.9939
27044,5130,388,fp16,N,N,17,-621294409,0.42114,0.47232,1.1215,4,20,1377.0,0,0.6699
554,3245,632,fp16,N,N,17,-621294410,0.03393,0.05263,1.5513,4,181,353.5,0,1.0611
138,748,11667,fp16,N,N,22,-171,0.32143,0.35730,1.1116,4,28,65.6,0,0.9894
189,6448,595,fp16,N,N,17,-621294411,0.03048,0.04514,1.4808,4,177,419.0,0,1.0026
617,9441,8668,fp16,N,N,22,-621294410,0.41003,0.41660,1.0160,4,25,482.1,0,0.7000
2919,742,14799,fp16,N,N,22,-621294410,0.51881,0.51991,1.0021,4,18,225.6,0,1.0093
2682,218,6314,fp16,N,N,22,-621294406,0.20168,0.23713,1.1758,4,42,193.2,0,0.9964
184,2935,259,fp16,N,N,17,-621294410,0.02226,0.03667,1.6475,4,255,169.6,0,1.0064
1518,191,9569,fp16,N,N,22,-621294410,0.29660,0.39296,1.3249,4,26,114.2,0,0.9212
22470,508,5716,fp16,N,N,17,-621294416,0.34021,0.34126,1.0031,4,27,906.3,0,0.6529
6460,255,7674,fp16,N,N,22,-621294410,0.29850,0.32412,1.0859,4,31,367.3,0,1.0066
387,9164,377,fp16,N,N,17,-621294410,0.02811,0.04295,1.5283,4,193,761.0,0,1.0007
316,3942,3062,fp16,N,N,22,-621294410,0.10572,0.13073,1.2366,4,71,293.8,0,0.9970
954,11193,4145,fp16,N,N,22,-621294414,0.28828,0.30307,1.0513,4,26,497.5,0,0.6904
995,22025,8902,fp16,N,N,17,-621294414,1.40623,1.48259,1.0543,4,7,353.8,0,0.6667
1970,196,3139,fp16,N,N,22,-621294410,0.10727,0.12952,1.2074,4,71,141.2,0,1.0455
190,3084,6050,fp16,N,N,22,-621294410,0.19231,0.22428,1.1662,4,41,218.2,0,0.9998
1833,217,2136,fp16,N,N,22,-621294410,0.07772,0.10817,1.3917,4,87,133.1,0,0.9962
31983,601,145,fp16,N,N,17,-621294406,0.06213,0.07779,1.2521,4,122,1389.7,0,0.8373
22734,643,9504,fp16,N,N,17,-621294413,0.70938,0.70806,0.9981,4,13,708.8,0,0.7298
226,219,434,fp16,N,N,17,-621294410,0.02692,0.04302,1.5979,4,190,21.7,0,0.9654
5525,246,3721,fp16,N,N,22,-621294406,0.13137,0.15169,1.1547,4,60,368.3,0,1.0086
5690,855,3297,fp16,N,N,22,-621294411,0.15555,0.17329,1.1141,4,56,402.6,0,0.8333
677,411,8594,fp16,N,N,22,-621294410,0.26776,0.35134,1.3121,4,29,74.0,0,0.9936
5977,9056,213,fp16,N,N,17,-621294405,0.11499,0.12590,1.0949,4,68,1938.6,0,0.6564
2078,7511,538,fp16,N,N,17,-621294406,0.07023,0.08133,1.1579,4,110,1035.8,0,0.6379
21154,163,6884,fp16,N,N,22,-621294410,0.27890,0.32499,1.1652,4,29,1101.8,0,0.9389
12339,1835,565,fp16,N,N,17,-621294408,0.13386,0.15296,1.1427,4,65,796.2,0,0.6250
147,1734,4718,fp16,N,N,22,-171,0.15019,0.15399,1.0253,4,61,125.0,0,0.9912
167,455,1685,fp16,N,N,22,-171,0.05022,0.09011,1.7942,4,103,47.8,0,0.9928
140,2653,9940,fp16,N,N,22,-621294410,0.30710,0.30737,1.0009,4,32,185.6,0,0.9967
13198,580,1816,fp16,N,N,22,-621294414,0.13508,0.12018,0.8897,4,74,597.1,0,0.8136
1444,2788,1016,fp16,N,N,22,-621294410,0.04854,0.06637,1.3675,4,143,509.0,0,1.0280
735,2182,15132,fp16,N,N,22,-621294410,0.51227,0.49064,0.9578,4,18,184.9,0,1.0092
484,128,29438,fp16,N,N,22,-171,0.80377,0.87490,1.0885,4,12,45.1,0,0.9721
