M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain,nrot,reps,ach_gbs,cache_flag,clk_drift
128,162,5085,fp16,T,T,22,-621291510,0.18698,0.18995,1.0159,4,52,16.2,0,0.9888
4995,2737,283,fp16,T,T,22,-621291501,0.04646,0.05418,1.1662,4,179,1271.2,0,0.8603
891,21353,1062,fp16,T,T,22,-621291495,0.20696,0.23666,1.1435,4,42,596.0,0,0.6515
22183,916,1728,fp16,T,T,22,-621291506,0.26611,0.27740,1.0424,4,34,605.4,0,0.6661
189,237,6358,fp16,T,T,22,-621291510,0.23563,0.23607,1.0019,4,42,23.8,0,0.9751
804,4546,1530,fp16,T,T,22,-621291504,0.07501,0.07620,1.0159,4,124,413.2,0,1.0123
257,4111,2657,fp16,T,T,22,-621291505,0.10655,0.10882,1.0213,4,88,257.5,0,0.9909
16334,1775,457,fp16,T,T,22,-621291501,0.12521,0.16578,1.3240,4,58,1058.4,0,0.7875
2509,286,16100,fp16,T,T,22,-621291503,0.60393,0.60410,1.0003,4,17,153.8,0,0.9926
505,7784,7175,fp16,T,T,22,-621291496,0.30545,0.30853,1.0101,4,30,440.9,0,0.9880
258,1493,721,fp16,T,T,22,-445,0.03701,0.04105,1.1091,4,211,109.9,0,0.9838
1718,9655,637,fp16,T,T,22,-621291500,0.08768,0.10134,1.1558,4,91,922.0,0,0.6402
20827,412,473,fp16,T,T,22,-621291496,0.05236,0.05776,1.1030,4,163,1039.2,0,0.9260
708,2015,2483,fp16,T,T,22,-621291496,0.10437,0.10439,1.0002,4,87,184.2,0,0.9917
11931,653,374,fp16,T,T,22,-621291504,0.04175,0.04704,1.1269,4,217,972.0,0,0.9501
10005,193,5516,fp16,T,T,22,-621291503,0.21179,0.22700,1.0718,4,40,567.7,0,0.9897
230,8592,18796,fp16,T,T,22,-621291501,0.68654,0.68971,1.0046,4,15,494.6,0,1.0040
554,2729,19204,fp16,T,T,22,-621291505,0.72058,0.72098,1.0006,4,14,183.4,0,0.9953
2105,535,3010,fp16,T,T,22,-621291505,0.11958,0.12165,1.0173,4,77,170.6,0,0.9980
2057,12434,796,fp16,T,T,22,-621291501,0.17816,0.19303,1.0834,4,50,703.7,0,0.6597
294,8536,5746,fp16,T,T,22,-621291510,0.23142,0.23745,1.0261,4,41,481.9,0,1.0458
247,505,392,fp16,T,T,22,-445,0.01536,0.02857,1.8600,4,321,70.9,0,0.9882
275,19775,573,fp16,T,T,22,-621291507,0.05504,0.05141,0.9341,4,177,812.7,0,0.9377
20273,18225,573,fp16,T,T,22,-621291501,1.38903,1.44811,1.0425,4,7,1095.7,0,0.7151
254,11817,9423,fp16,T,T,22,-621291495,0.37844,0.38535,1.0182,4,25,632.8,0,1.0134
21225,24461,189,fp16,T,T,22,-621291496,1.19566,1.45878,1.2201,4,7,1751.3,0,0.8162
532,542,8561,fp16,T,T,22,-621291509,0.30320,0.31079,1.0250,4,32,64.5,0,1.0019
502,504,814,fp16,T,T,22,-445,0.03679,0.04382,1.1912,4,189,72.0,0,0.9933
678,4915,132,fp16,T,T,22,-621291504,0.02072,0.02264,1.0925,4,408,714.6,0,1.0103
23124,252,917,fp16,T,T,22,-621291501,0.06487,0.09033,1.3924,4,111,1020.2,0,0.9964
1007,17444,1233,fp16,T,T,22,-621291502,0.14561,0.17411,1.1957,4,51,795.0,0,0.6505
1669,27550,633,fp16,T,T,22,-621291501,0.25503,0.27873,1.0929,4,34,866.2,0,0.6555
292,460,8645,fp16,T,T,22,-621291509,0.30815,0.31246,1.0140,4,32,43.9,0,1.1405
30986,548,5074,fp16,T,T,22,-621291506,0.64347,0.65091,1.0116,4,15,602.9,0,0.6570
25072,497,1666,fp16,T,T,22,-621291501,0.13484,0.16252,1.2052,4,49,1001.5,0,0.7347
143,485,1595,fp16,T,T,22,-621291504,0.07124,0.07157,1.0046,4,127,32.0,0,0.9806
15758,487,1020,fp16,T,T,22,-621291502,0.08062,0.09674,1.2000,4,105,791.8,0,0.9381
447,416,626,fp16,T,T,22,-445,0.02662,0.03714,1.3951,4,236,68.5,0,0.9815
7934,2060,570,fp16,T,T,22,-621291496,0.07832,0.08188,1.0455,4,109,980.2,0,0.6422
915,270,351,fp16,T,T,22,-445,0.01492,0.02805,1.8802,4,329,122.0,0,1.0000
4687,202,3963,fp16,T,T,22,-621291497,0.15530,0.16190,1.0425,4,58,273.9,0,1.0018
312,271,11702,fp16,T,T,22,-621291510,0.40720,0.41614,1.0220,4,24,34.3,0,0.9723
2454,207,745,fp16,T,T,22,-445,0.04208,0.04220,1.0027,4,200,142.5,0,1.0054
1346,842,2833,fp16,T,T,22,-621291510,0.11556,0.11622,1.0057,4,84,146.5,0,0.9994
11282,7902,187,fp16,T,T,22,-621291500,0.23578,0.30915,1.3112,4,32,1542.9,0,0.8613
24670,697,14129,fp16,T,T,22,-621291506,1.04858,1.09544,1.0447,4,9,749.2,0,0.8796
210,178,16546,fp16,T,T,22,-621291509,0.57053,0.58190,1.0199,4,18,22.8,0,0.9501
156,177,4601,fp16,T,T,22,-621291505,0.17286,0.17461,1.0101,4,51,18.4,0,0.9742
14166,232,3697,fp16,T,T,22,-621291503,0.15816,0.18580,1.1747,4,50,756.2,0,1.0221
246,2759,773,fp16,T,T,22,-621291502,0.04399,0.04411,1.0027,4,199,167.3,0,0.9910
472,2301,205,fp16,T,T,22,-445,0.02307,0.02343,1.0158,4,391,237.6,0,0.8533
2455,413,6140,fp16,T,T,22,-621291505,0.22873,0.23031,1.0069,4,42,171.7,0,1.0076
25342,711,4792,fp16,T,T,22,-621291510,0.40104,0.39135,0.9758,4,24,802.3,0,0.8138
728,6361,248,fp16,T,T,22,-621291497,0.02836,0.03567,1.2576,4,246,777.1,0,0.9896
1020,18926,26025,fp16,T,T,22,-621291508,1.95481,2.10195,1.0753,4,5,570.6,0,0.8323
1193,16653,484,fp16,T,T,22,-621291496,0.12121,0.14369,1.1855,4,69,798.2,0,0.6372
1024,267,5823,fp16,T,T,22,-621291505,0.20992,0.21538,1.0260,4,45,76.8,0,1.0693
8280,248,27509,fp16,T,T,22,-621291504,1.02311,1.01138,0.9885,4,10,466.6,0,1.0028
257,467,1150,fp16,T,T,22,-445,0.05112,0.05631,1.1014,4,159,42.0,0,0.9879
15254,589,853,fp16,T,T,22,-621291502,0.08015,0.07541,0.9409,4,122,785.6,0,0.8912
1200,3636,802,fp16,T,T,22,-621291498,0.04676,0.04760,1.0180,4,197,539.1,0,0.9722
8826,18061,764,fp16,T,T,22,-621291502,0.85473,0.88968,1.0409,4,11,794.1,0,0.6529
449,650,5004,fp16,T,T,22,-621291502,0.18937,0.18904,0.9982,4,48,64.2,0,1.0019
211,4095,31880,fp16,T,T,22,-621291502,1.17906,1.16399,0.9872,4,9,235.8,0,0.9970
22286,252,21620,fp16,T,T,22,-621291510,0.92633,0.95490,1.0308,4,11,1076.3,0,0.7889
504,177,475,fp16,T,T,22,-445,0.01840,0.03238,1.7599,4,284,54.6,0,0.9847
16426,150,372,fp16,T,T,22,-621291497,0.02905,0.03604,1.2408,4,247,763.8,0,1.0141
2476,621,11347,fp16,T,T,22,-621291503,0.44138,0.44091,0.9989,4,23,173.2,0,0.9985
7601,4198,674,fp16,T,T,22,-621291500,0.16192,0.18923,1.1687,4,47,886.5,0,0.6354
18399,29975,973,fp16,T,T,22,-621291506,2.89080,2.86391,0.9907,4,5,795.7,0,0.8060
7002,3543,228,fp16,T,T,22,-621291502,0.08547,0.12173,1.4242,4,82,1217.2,0,0.9490
17931,522,1460,fp16,T,T,22,-621291507,0.10334,0.10358,1.0023,4,74,883.7,0,0.6099
149,2143,1278,fp16,T,T,22,-445,0.06112,0.06233,1.0197,4,145,116.7,0,0.9818
