M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
1050,2341,523,bf16,T,T,20,621286829,0.03463,0.03503,1.0116
13230,2619,14675,fp32,N,N,292,621284277,7.58945,7.81670,1.0299
1671,3761,658,bf16,T,T,20,621286823,0.04463,0.04463,0.9998
589,6889,1068,bf16,T,T,20,621286823,0.05592,0.05565,0.9951
1430,913,574,fp16,N,T,27,621296491,0.03044,0.04591,1.5083
1128,12310,21572,fp16,N,N,17,621293673,1.11064,1.22736,1.1051
1707,4309,337,fp16,N,N,17,621293671,0.02609,0.04435,1.6999
477,3019,874,bf16,T,N,76,621293715,0.03420,0.06003,1.7556
521,3866,11013,fp16,N,T,33,621296487,0.22505,0.37039,1.6458
1117,4065,925,fp32,T,N,298,621285489,0.07360,0.09133,1.2409
705,2615,2077,bf16,T,T,20,621286823,0.09219,0.09156,0.9932
398,8342,2519,fp32,T,N,326,621285495,0.15317,0.18694,1.2204
1466,11243,39382,bf16,T,N,69,621293719,1.95838,2.43020,1.2409
2321,545,22685,fp16,T,T,22,621286799,0.77079,0.79448,1.0307
1885,1316,34444,fp16,T,N,77,621294532,0.68842,1.05230,1.5286
2005,1362,18935,fp16,T,T,22,621286798,0.65862,0.67084,1.0186
1782,15872,8666,bf16,T,T,20,621286829,0.84367,0.86864,1.0296
256,521,3737,fp32,N,T,318,621285793,0.01950,0.03705,1.8996
15792,2577,4376,fp32,N,N,292,621296269,2.79166,3.49413,1.2516
3599,487,4392,fp16,T,T,22,621286793,0.16927,0.16890,0.9978
259,5200,553,fp32,N,T,312,621285804,0.01900,0.02652,1.3959
475,2365,1604,bf16,T,N,77,621293717,0.04870,0.08696,1.7858
2955,11163,4726,fp16,T,N,71,621294505,0.50667,0.51623,1.0189
910,1443,818,bf16,T,N,76,621293718,0.03226,0.05632,1.7459
7386,510,405,bf16,T,N,69,621293712,0.02713,0.04212,1.5526
12434,6435,1132,fp16,N,N,17,621293663,0.41475,0.41254,0.9947
4751,375,5039,fp32,N,N,292,621296403,0.14694,0.32495,2.2114
6491,9770,1627,bf16,N,T,27,621286774,0.47552,0.48897,1.0283
10878,386,1604,fp16,T,N,76,621294532,0.04996,0.07403,1.4817
910,2651,670,fp32,N,N,292,621284403,0.03996,0.04703,1.1768
700,7886,13025,bf16,T,N,77,621293716,0.29911,0.42695,1.4274
2329,3023,551,bf16,T,N,69,621293684,0.03375,0.05057,1.4986
4506,560,13132,fp16,N,N,22,621293671,0.40064,0.45468,1.1349
1177,15147,312,fp32,N,T,314,621281730,0.11073,0.11717,1.0582
15162,7268,5406,fp16,T,T,22,621286795,1.75212,1.77310,1.0120
6029,5659,5427,fp32,T,N,296,621281336,2.78169,3.17436,1.1412
283,368,39923,fp16,T,T,22,621286796,1.33875,1.37677,1.0284
474,1882,915,fp32,T,T,66,621289618,0.02207,0.02527,1.1452
1700,373,14549,fp32,T,T,66,621289618,0.25545,0.90197,3.5309
2062,2216,5791,fp32,T,T,66,621282257,0.40742,0.76798,1.8850
1958,6344,31762,bf16,T,T,20,621286830,1.40118,1.46877,1.0482
778,2943,1291,bf16,N,T,32,621286770,0.04576,0.06869,1.5011
10070,12682,2703,fp16,T,T,22,621286790,1.14445,1.26656,1.1067
7199,5770,8379,fp16,T,N,71,621294533,1.08937,1.33637,1.2267
450,2657,11890,bf16,N,N,23,621286083,0.36485,0.36605,1.0033
843,18976,37597,fp32,T,N,296,621281617,9.75774,11.32055,1.1602
806,1162,32253,fp16,N,N,22,621293671,0.99566,0.99994,1.0043
1617,1254,5189,fp16,N,T,33,621296491,0.11762,0.11813,1.0043
1697,863,871,fp16,N,T,33,621296487,0.03452,0.05465,1.5833
2493,294,32922,bf16,T,T,20,621286829,1.11258,1.14273,1.0271
3769,9734,2900,fp32,T,N,296,621285213,1.54560,1.77838,1.1506
2420,2732,567,fp16,N,N,17,621293668,0.03517,0.05032,1.4308
