M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
1050,2341,523,bf16,T,T,20,-621285689,0.03502,0.03525,1.0066
13230,2619,14675,fp32,N,N,292,-621293201,7.69665,7.94556,1.0323
1671,3761,658,bf16,T,T,20,-621285685,0.04566,0.04551,0.9967
589,6889,1068,bf16,T,T,20,-621285688,0.05747,0.05604,0.9752
1430,913,574,fp16,N,T,27,-621295773,0.03059,0.04588,1.5000
1128,12310,21572,fp16,N,N,17,-621294413,1.12852,1.26493,1.1209
1707,4309,337,fp16,N,N,17,-621294410,0.02634,0.04544,1.7248
477,3019,874,bf16,T,N,76,-621289989,0.03592,0.06188,1.7230
521,3866,11013,fp16,N,T,33,-621295773,0.22534,0.37138,1.6481
1117,4065,925,fp32,T,N,298,-621293421,0.07099,0.09106,1.2826
705,2615,2077,bf16,T,T,20,-621285691,0.09427,0.09267,0.9831
398,8342,2519,fp32,T,N,326,-621284350,0.15194,0.18641,1.2269
1466,11243,39382,bf16,T,N,69,-621290004,2.01432,2.47771,1.2300
2321,545,22685,fp16,T,T,22,-621291509,0.77298,0.79681,1.0308
1885,1316,34444,fp16,T,N,77,-621296105,0.68970,1.05481,1.5294
2005,1362,18935,fp16,T,T,22,-621291509,0.66041,0.67274,1.0187
1782,15872,8666,bf16,T,T,20,-621285694,0.86589,0.88521,1.0223
256,521,3737,fp32,N,T,318,-621293112,0.02028,0.03675,1.8121
15792,2577,4376,fp32,N,N,292,-621293283,2.83325,3.51779,1.2416
3599,487,4392,fp16,T,T,22,-621291498,0.17052,0.17011,0.9976
259,5200,553,fp32,N,T,312,-621283677,0.01888,0.02656,1.4071
475,2365,1604,bf16,T,N,77,-621289993,0.05052,0.08775,1.7368
2955,11163,4726,fp16,T,N,71,-621296124,0.52155,0.51413,0.9858
910,1443,818,bf16,T,N,76,-621289988,0.03324,0.05747,1.7289
7386,510,405,bf16,T,N,69,-621289989,0.02652,0.04168,1.5716
12434,6435,1132,fp16,N,N,17,-621294408,0.41017,0.40326,0.9831
4751,375,5039,fp32,N,N,292,-621293328,0.16106,0.32440,2.0141
6491,9770,1627,bf16,N,T,27,-621290049,0.48444,0.53271,1.0996
10878,386,1604,fp16,T,N,76,-621296106,0.05120,0.07579,1.4802
910,2651,670,fp32,N,N,292,-621283947,0.03992,0.04788,1.1996
