seq,M,N,K,dtype,opA,opB,sol,old_gain,def_med,best_med,def_min,best_min,new_gain,new_gain_min
0,92,167,17672,fp32,N,T,-621283520,76.4195,4.376954,0.056833,4.374301,0.056157,77.0148,77.8935
1,697,174,30162,fp32,N,T,-621293112,70.0787,7.930009,0.108663,7.924000,0.104646,72.9783,75.7216
2,523,249,26152,fp32,N,T,-621293002,58.7458,6.889773,0.116429,6.883224,0.105460,59.1757,65.2684
3,474,414,12849,fp32,N,T,-621283521,45.8014,3.394228,0.076955,3.392802,0.074832,44.1067,45.3390
4,1,194,1081,bf16,T,T,-9,28.7051,0.102687,0.003665,0.102507,0.002999,28.0208,34.1819
5,1,79,8445,fp32,T,T,-9,24.8096,0.165309,0.006301,0.165141,0.006281,26.2360,26.2914
6,43,1,2092,fp16,N,T,-9,22.5319,0.089261,0.003872,0.089225,0.003409,23.0506,26.1726
7,1496,398,31866,fp32,N,T,-621283532,21.2379,8.392498,0.390504,8.379692,0.389783,21.4915,21.4984
8,12,14,13995,fp16,T,N,-391,16.9902,0.431908,0.024428,0.431712,0.024267,17.6810,17.7899
9,51,4,18172,fp16,T,N,-385,16.1053,0.624887,0.037794,0.624643,0.037616,16.5342,16.6059
10,1,4196,6469,fp16,T,T,-9,15.9188,0.309758,0.019472,0.309445,0.019383,15.9081,15.9644
11,1206,11,14563,fp32,N,N,-621283911,13.3118,0.904641,0.067364,0.904382,0.066982,13.4291,13.5018
12,3444,20,9399,fp32,N,N,-621283910,12.5561,0.586643,0.045978,0.585547,0.045921,12.7591,12.7512
13,283,450,15541,fp32,N,N,-621283874,11.8728,0.966062,0.080927,0.965719,0.080166,11.9375,12.0465
14,5,653,10713,fp16,T,N,-391,11.4190,0.375696,0.031431,0.375522,0.031008,11.9531,12.1106
15,73,152,7199,fp32,N,N,-621283957,11.4137,0.451115,0.035950,0.450993,0.035779,12.5482,12.6051
16,790,2006,16882,fp32,N,T,-621292949,9.2036,4.240823,0.432226,4.193031,0.421230,9.8116,9.9543
17,11599,3,4555,fp16,T,N,-384,9.1217,1.623088,0.174734,1.617439,0.174421,9.2889,9.2732
18,5201,31,3335,fp32,N,N,-621283875,9.0303,0.215979,0.021761,0.215896,0.021638,9.9249,9.9775
19,1,19,1137,fp16,N,N,-9,8.9599,0.067477,0.006433,0.067450,0.006403,10.4895,10.5348
20,1,2,2201,fp32,T,T,-9,8.7126,0.044850,0.003394,0.044810,0.003256,13.2127,13.7636
21,1,8,1116,bf16,N,N,-9,8.6301,0.058805,0.006198,0.058761,0.006179,9.4883,9.5104
22,1,3,2832,fp16,N,N,-9,8.1868,0.111908,0.012093,0.111848,0.012069,9.2542,9.2672
23,39,5058,10158,fp32,T,N,-621293538,8.1643,0.631928,0.075244,0.631201,0.074958,8.3984,8.4207
24,1,253,56,bf16,N,T,-9,7.7498,0.023985,0.003298,0.023972,0.002762,7.2723,8.6801
25,1,223,62,bf16,N,N,-9,7.6717,0.028206,0.003508,0.028185,0.003163,8.0408,8.9112
26,1,15,617,bf16,T,N,-9,7.5852,0.038768,0.004581,0.038745,0.004529,8.4626,8.5546
27,1,11060,3883,fp16,T,T,-9,7.4960,0.231881,0.030992,0.231704,0.030800,7.4821,7.5228
