M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
1050,2341,523,bf16,T,T,20,-621283246,0.03554,0.03546,0.9977
13230,2619,14675,fp32,N,N,292,-621290147,7.58588,7.81810,1.0306
1671,3761,658,bf16,T,T,20,-621283243,0.04592,0.04568,0.9948
589,6889,1068,bf16,T,T,20,-621283243,0.05694,0.05737,1.0076
1430,913,574,fp16,N,T,27,-621282030,0.03095,0.04621,1.4929
1128,12310,21572,fp16,N,N,17,-621284710,1.09970,1.21008,1.1004
1707,4309,337,fp16,N,N,17,-621284708,0.02631,0.04492,1.7074
477,3019,874,bf16,T,N,76,-621292332,0.03393,0.06145,1.8111
521,3866,11013,fp16,N,T,33,-621282030,0.22572,0.37143,1.6455
1117,4065,925,fp32,T,N,298,-621290347,0.07380,0.09366,1.2691
705,2615,2077,bf16,T,T,20,-621283241,0.09327,0.09297,0.9968
398,8342,2519,fp32,T,N,326,-621290683,0.15229,0.19204,1.2610
1466,11243,39382,bf16,T,N,69,-621292333,1.95588,2.45097,1.2531
2321,545,22685,fp16,T,T,22,-621293059,0.77167,0.79441,1.0295
1885,1316,34444,fp16,T,N,77,-621286387,0.68913,1.05340,1.5286
2005,1362,18935,fp16,T,T,22,-621293059,0.66045,0.67289,1.0188
1782,15872,8666,bf16,T,T,20,-621283246,0.85881,0.87868,1.0231
256,521,3737,fp32,N,T,318,-621296721,0.02107,0.03704,1.7580
15792,2577,4376,fp32,N,N,292,-621290141,2.79122,3.49696,1.2528
3599,487,4392,fp16,T,T,22,-621293053,0.17041,0.17077,1.0021
259,5200,553,fp32,N,T,312,-621293418,0.01947,0.02705,1.3892
475,2365,1604,bf16,T,N,77,-621292326,0.05063,0.08811,1.7403
2955,11163,4726,fp16,T,N,71,-621286401,0.51103,0.52647,1.0302
910,1443,818,bf16,T,N,76,-621292331,0.03459,0.05705,1.6493
7386,510,405,bf16,T,N,69,-621292329,0.02901,0.04158,1.4333
12434,6435,1132,fp16,N,N,17,-621284706,0.40041,0.40526,1.0121
4751,375,5039,fp32,N,N,292,-621295040,0.15094,0.32490,2.1526
6491,9770,1627,bf16,N,T,27,-621286322,0.46415,0.49544,1.0674
10878,386,1604,fp16,T,N,76,-621286387,0.05257,0.07708,1.4662
910,2651,670,fp32,N,N,292,-621295042,0.04046,0.05024,1.2416
700,7886,13025,bf16,T,N,77,-621292330,0.30721,0.43750,1.4241
2329,3023,551,bf16,T,N,69,-621292340,0.03604,0.05144,1.4273
4506,560,13132,fp16,N,N,22,-621284708,0.40203,0.45813,1.1395
1177,15147,312,fp32,N,T,314,-621296735,0.11006,0.12048,1.0947
15162,7268,5406,fp16,T,T,22,-621293055,1.76217,1.80711,1.0255
6029,5659,5427,fp32,T,N,296,-621290402,2.79970,3.21301,1.1476
283,368,39923,fp16,T,T,22,-621293056,1.34115,1.37885,1.0281
474,1882,915,fp32,T,T,66,-621295692,0.02345,0.02759,1.1765
1700,373,14549,fp32,T,T,66,-621295671,0.25658,0.90362,3.5218
2062,2216,5791,fp32,T,T,66,-621291327,0.44057,0.80006,1.8160
1958,6344,31762,bf16,T,T,20,-621283249,1.41374,1.48173,1.0481
778,2943,1291,bf16,N,T,32,-621286334,0.05052,0.07168,1.4190
10070,12682,2703,fp16,T,T,22,-621293059,1.18335,1.26972,1.0730
7199,5770,8379,fp16,T,N,71,-621286387,1.09874,1.34973,1.2284
450,2657,11890,bf16,N,N,23,-621293067,0.36588,0.36550,0.9989
843,18976,37597,fp32,T,N,296,-621295449,9.84358,11.38280,1.1564
806,1162,32253,fp16,N,N,22,-621284708,1.00131,1.00283,1.0015
1617,1254,5189,fp16,N,T,33,-621282030,0.12199,0.12063,0.9888
1697,863,871,fp16,N,T,33,-621282030,0.03899,0.05600,1.4363
2493,294,32922,bf16,T,T,20,-621283248,1.11520,1.14386,1.0257
3769,9734,2900,fp32,T,N,296,-621295168,1.55868,1.79983,1.1547
2420,2732,567,fp16,N,N,17,-621284708,0.03729,0.05219,1.3997
1796,8647,329,bf16,T,N,69,-621292297,0.04735,0.05083,1.0733
3606,938,2355,bf16,T,T,20,-621283237,0.10425,0.10194,0.9779
1685,6090,28899,fp32,N,T,312,-621296731,5.15448,7.28169,1.4127
8880,577,23188,fp32,N,T,312,-621296713,2.24633,6.16271,2.7435
1738,2291,852,fp32,T,N,298,-621290686,0.06055,0.07553,1.2473
2198,290,691,fp32,N,N,292,-621295053,0.01828,0.01861,1.0184
6338,11767,2375,bf16,N,T,27,-621286324,0.62454,0.69144,1.1071
751,7832,39780,fp32,N,N,292,-621290293,4.06354,5.57951,1.3731
1318,267,2327,bf16,N,N,23,-621293067,0.08591,0.11661,1.3574
19635,5122,320,fp16,T,T,22,-621293044,0.22156,0.28182,1.2720
447,3136,556,fp16,T,N,71,-621286385,0.02802,0.04726,1.6869
2892,491,645,fp32,T,N,316,-621295283,0.02392,0.03073,1.2850
8054,305,3690,fp16,N,N,22,-621284702,0.12884,0.17210,1.3357
610,5674,9667,fp32,N,T,312,-621296693,0.60286,2.42374,4.0204
1434,479,18954,fp32,T,N,354,-621290475,0.28205,0.29412,1.0428
1513,5635,11704,bf16,N,T,32,-621286338,0.32894,0.41837,1.2719
379,4908,971,fp32,T,T,66,-621291347,0.03905,0.06093,1.5603
9860,588,9687,fp16,N,N,22,-621284708,0.32150,0.37466,1.1653
1798,7202,1703,bf16,N,T,27,-621286322,0.09860,0.10836,1.0991
3648,18213,1210,bf16,N,T,27,-621286342,0.36493,0.36110,0.9895
5106,271,4649,bf16,N,N,23,-621293063,0.16042,0.20958,1.3065
686,345,386,fp16,N,T,27,-520,0.02753,0.03978,1.4450
15754,14076,1868,fp16,N,N,17,-621284714,1.47669,1.74348,1.1807
6840,609,13566,fp32,N,N,292,-621295058,0.95169,0.95718,1.0058
600,17699,995,fp16,N,T,33,-621282028,0.07208,0.07036,0.9762
5211,256,39852,fp32,N,T,313,-621296732,1.14432,10.48087,9.1590
311,2717,2014,fp16,N,T,33,-621282034,0.05820,0.09003,1.5469
558,522,437,fp32,T,T,66,-621295678,0.01136,0.01257,1.1065
4668,4483,10972,fp32,N,N,292,-621290229,3.40898,4.33910,1.2728
3487,7409,33975,fp16,T,T,22,-621293055,3.51855,3.52387,1.0015
277,12561,5137,fp16,N,N,22,-621284703,0.17627,0.17521,0.9940
2342,4023,5427,fp32,T,T,66,-621295665,0.78635,0.83915,1.0671
1731,3324,1048,bf16,T,T,20,-621283237,0.05880,0.05801,0.9865
1290,771,27398,fp16,N,N,22,-621284708,0.81930,0.82233,1.0037
8410,8662,11271,bf16,N,T,27,-621286324,2.47240,2.49560,1.0094
2611,3058,5260,fp16,N,N,22,-621284705,0.19214,0.21547,1.1214
16995,434,3217,fp32,T,N,306,-621295445,0.46073,0.57419,1.2463
256,5359,1540,fp32,N,T,318,-621293418,0.04395,0.06037,1.3735
11861,3137,4650,bf16,N,N,17,-621293069,0.63709,0.73902,1.1600
15597,565,15083,fp16,N,N,22,-621284713,0.75777,0.94561,1.2479
6822,548,1120,fp32,N,T,356,-621293381,0.07851,0.08835,1.1253
2405,2261,6363,fp16,T,N,76,-621286385,0.15873,0.24468,1.5415
4389,546,1366,bf16,N,T,32,-621286338,0.04731,0.07357,1.5551
1203,263,14921,bf16,T,N,79,-621292330,0.30408,0.46244,1.5208
7603,3657,23571,bf16,T,T,20,-621283245,2.29938,2.43051,1.0570
671,748,1216,fp32,T,T,66,-621295683,0.01919,0.02657,1.3845
349,486,345,fp32,N,T,314,-621296689,0.00683,0.00784,1.1465
4584,366,3548,fp16,T,N,77,-621286387,0.09059,0.16884,1.8637
363,6785,23574,bf16,T,N,78,-621292338,0.56539,0.94700,1.6750
540,310,659,fp32,T,T,66,-621291337,0.01020,0.01668,1.6355
10230,1611,399,fp32,T,T,66,-621295689,0.12839,0.12973,1.0105
512,7760,1975,bf16,N,N,23,-621293063,0.07879,0.09473,1.2023
6466,273,1664,bf16,N,N,23,-621293062,0.06649,0.08735,1.3137
15625,628,269,fp32,N,T,314,-621296671,0.06024,0.06434,1.0680
2295,12889,303,fp16,T,N,71,-621286353,0.08172,0.09597,1.1743
632,371,2325,fp32,T,T,66,-621295678,0.02666,0.03307,1.2401
257,14760,3455,fp16,N,T,33,-621282030,0.10654,0.13741,1.2898
3834,312,543,fp16,T,N,71,-621286382,0.02609,0.04725,1.8114
616,1381,932,fp32,T,N,318,-621295433,0.02060,0.02235,1.0848
332,443,1906,bf16,N,T,32,-610,0.04690,0.08484,1.8089
2489,6353,5546,fp16,T,N,71,-621286360,0.29280,0.28093,0.9595
286,3886,2280,fp16,N,T,33,-621282030,0.06369,0.09725,1.5270
689,318,3884,bf16,N,T,32,-621286334,0.08952,0.14622,1.6334
347,3811,304,fp32,N,T,314,-621296522,0.01342,0.01630,1.2143
14546,1885,1790,fp32,N,N,292,-621290148,0.73661,0.96904,1.3155
459,2183,322,fp16,N,T,27,-520,0.02481,0.03598,1.4506
13898,780,10660,fp16,T,N,75,-621286404,0.53146,0.51816,0.9750
1588,285,3393,fp16,T,T,22,-621293054,0.13125,0.13394,1.0205
752,4188,940,fp32,N,T,356,-621293419,0.05805,0.05907,1.0175
2783,4457,5206,fp16,T,T,22,-621293053,0.24797,0.24888,1.0037
19938,1976,36065,fp16,T,T,22,-621293055,5.70927,5.78238,1.0128
392,5711,29138,bf16,N,N,23,-621293064,1.09969,1.10000,1.0003
1255,5633,1518,bf16,T,N,76,-621292298,0.06735,0.08983,1.3338
2687,4725,22008,fp16,N,N,17,-621284714,1.12632,1.18731,1.0541
707,7413,10782,fp32,T,N,310,-621290677,1.07451,1.44484,1.3446
5232,5439,1446,bf16,N,T,27,-621286324,0.19270,0.19968,1.0362
4945,1711,29800,fp32,N,N,292,-621290149,3.87027,4.24063,1.0957
3693,2686,5739,fp32,T,T,66,-621295671,1.08910,1.20051,1.1023
5072,1261,22105,fp32,N,T,312,-621293404,2.38566,5.90034,2.4733
12030,13747,898,bf16,T,N,69,-621292325,0.60826,0.67315,1.1067
3420,12813,286,fp16,T,N,71,-621286349,0.11317,0.13812,1.2204
4291,743,39320,fp32,T,T,66,-621291350,2.65231,2.72798,1.0285
403,17506,1063,fp32,N,T,312,-621293373,0.15916,0.16822,1.0569
600,2974,1005,bf16,N,N,23,-621293063,0.04882,0.06425,1.3159
2516,5261,3721,bf16,N,T,27,-621286332,0.17783,0.18010,1.0128
2311,4333,6054,bf16,T,T,20,-621283241,0.26825,0.26470,0.9868
1710,590,998,bf16,N,T,32,-621286334,0.03915,0.05948,1.5194
7116,7484,265,bf16,N,T,27,-621286324,0.12784,0.13901,1.0874
1227,3175,20277,fp32,N,N,292,-621294992,1.39714,1.41343,1.0117
1042,659,399,fp32,T,N,316,-621295188,0.01162,0.01590,1.3690
