M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
14,128,512,bf16,N,T,27,-621290045,0.02052,0.03594,1.7517
14,512,128,bf16,N,N,17,-257,0.01145,0.02525,2.2050
16,128,512,bf16,N,T,27,-621290049,0.02143,0.03629,1.6931
16,512,128,bf16,N,N,17,-257,0.01254,0.02512,2.0032
2,128,512,bf16,N,T,27,-621290045,0.02194,0.03627,1.6528
2,512,128,bf16,N,N,17,-257,0.01312,0.02501,1.9071
14,102400,2048,bf16,N,T,32,-621290045,0.18494,0.28373,1.5342
14,64,2048,bf16,N,T,32,-350,0.04923,0.08348,1.6955
14,2048,10944,bf16,N,T,32,-621290049,0.20995,0.35935,1.7116
14,21888,2048,bf16,N,T,32,-621290049,0.05254,0.09293,1.7687
14,3072,2048,bf16,N,T,32,-350,0.04970,0.08393,1.6889
16,2048,2816,bf16,N,T,32,-621290045,0.06345,0.10768,1.6970
16,64,2048,bf16,N,T,32,-621290045,0.04838,0.08346,1.7252
16,2048,10944,bf16,N,T,32,-621290045,0.21169,0.36009,1.7010
16,2048,2048,bf16,N,T,32,-621290045,0.04947,0.08350,1.6878
16,3072,2048,bf16,N,T,32,-621290045,0.04999,0.08360,1.6724
16,102400,2048,bf16,N,T,32,-621290045,0.18772,0.28338,1.5095
16,576,2048,bf16,N,T,32,-350,0.04919,0.08385,1.7046
138,2048,2816,bf16,N,T,32,-621290049,0.06337,0.10823,1.7081
138,5632,2048,bf16,N,T,32,-621290049,0.05069,0.08604,1.6973
138,21888,2048,bf16,N,T,32,-621290045,0.05671,0.09314,1.6424
14,5632,2048,bf16,N,T,32,-621290045,0.05031,0.08405,1.6706
256,576,2048,bf16,N,T,32,-621290045,0.04991,0.08356,1.6742
256,21888,2048,bf16,N,T,32,-621290045,0.05548,0.08645,1.5583
16,5632,2048,bf16,N,T,32,-621290045,0.04939,0.08404,1.7014
256,102400,2048,bf16,N,T,27,-621290045,0.25842,0.30551,1.1822
20,2048,10944,bf16,N,T,32,-621290045,0.20996,0.36022,1.7156
8192,2048,2816,bf16,N,T,27,-621290054,0.14588,0.14714,1.0086
14,2048,2816,bf16,N,T,32,-621290045,0.06376,0.10754,1.6867
20,5632,2048,bf16,N,T,32,-621290045,0.05100,0.08429,1.6527
8192,3072,2048,bf16,N,T,27,-621290049,0.20084,0.23016,1.1460
14,2048,2048,bf16,N,T,32,-621290045,0.04973,0.08389,1.6868
8192,576,2048,bf16,N,T,32,-621290045,0.05652,0.09711,1.7179
20,21888,2048,bf16,N,T,32,-621290049,0.05211,0.09289,1.7826
20,2048,2816,bf16,N,T,32,-621290045,0.06255,0.10753,1.7191
138,2048,10944,bf16,N,T,32,-621290049,0.21036,0.36028,1.7127
8192,64,2048,bf16,N,T,32,-621290045,0.04979,0.08759,1.7590
8192,2048,10944,bf16,N,T,27,-621290048,0.51334,0.51159,0.9966
256,64,2048,bf16,N,T,32,-621290049,0.04948,0.08592,1.7364
8192,5632,2048,bf16,N,T,27,-621290033,0.31241,0.33671,1.0778
16,21888,2048,bf16,N,T,32,-621290049,0.05620,0.09286,1.6524
256,2048,2048,bf16,N,T,32,-621290045,0.04455,0.07293,1.6369
8192,2048,2048,bf16,N,T,27,-621290036,0.11584,0.11347,0.9795
256,2048,10944,bf16,N,T,32,-621290049,0.20413,0.34835,1.7065
138,64,2048,bf16,N,T,32,-621290049,0.04941,0.08578,1.7362
138,2048,2048,bf16,N,T,32,-621290045,0.04998,0.08408,1.6823
256,2048,2816,bf16,N,T,32,-621290049,0.05915,0.09662,1.6333
14,576,2048,bf16,N,T,32,-350,0.04859,0.08431,1.7350
8192,21888,2048,bf16,N,T,27,-621290033,1.18773,1.37295,1.1559
20,576,2048,bf16,N,T,32,-621290045,0.05104,0.08392,1.6443
138,3072,2048,bf16,N,T,32,-621290045,0.04959,0.08422,1.6982
20,3072,2048,bf16,N,T,32,-621290049,0.05048,0.08397,1.6637
256,3072,2048,bf16,N,T,32,-621290049,0.04546,0.07409,1.6297
20,4096,512,bf16,N,T,27,-621290045,0.02274,0.03652,1.6061
20,2048,2048,bf16,N,T,32,-621290045,0.04983,0.08392,1.6839
256,5632,2048,bf16,N,T,32,-621290049,0.04803,0.07875,1.6395
20,64,2048,bf16,N,T,32,-621290045,0.04895,0.08353,1.7067
138,576,2048,bf16,N,T,32,-621290045,0.04907,0.08382,1.7081
136,4096,512,bf16,N,T,27,-621290045,0.02226,0.03679,1.6530
23,262208,3840,bf16,N,T,32,-621290045,0.67813,0.92568,1.3650
23,30720,3840,bf16,N,T,32,-621290045,0.09262,0.15652,1.6900
23,3840,4096,bf16,N,T,32,-621290049,0.08800,0.15659,1.7793
24,3840,15360,bf16,N,T,32,-621290049,0.29735,0.55316,1.8603
24,3840,4096,bf16,N,T,32,-621290049,0.08859,0.15668,1.7687
24,8192,3840,bf16,N,T,32,-621290049,0.08418,0.15300,1.8175
24,262208,3840,bf16,N,T,32,-621290045,0.67790,0.96117,1.4179
241,3840,15360,bf16,N,T,32,-621290049,0.32472,0.63965,1.9699
241,3840,4096,bf16,N,T,32,-621290045,0.09457,0.17330,1.8326
12,30720,3840,bf16,N,T,32,-621290045,0.09569,0.15611,1.6314
