M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain,nrot,reps,ach_gbs,cache_flag,clk_drift
14,128,512,bf16,N,T,27,-621290045,0.01900,0.03480,1.8317,4,262,8.0,0,0.9798
14,512,128,bf16,N,N,17,-257,0.01026,0.02365,2.3060,4,390,15.9,0,0.9832
16,128,512,bf16,N,T,27,-621290045,0.01897,0.03479,1.8340,4,269,8.2,0,1.0027
16,512,128,bf16,N,N,17,-257,0.01024,0.02362,2.3066,4,388,16.4,0,0.9607
2,128,512,bf16,N,T,27,-621290045,0.01896,0.03476,1.8330,4,264,7.1,0,0.9646
2,512,128,bf16,N,N,17,-257,0.01014,0.02356,2.3234,4,346,13.4,0,0.9854
14,102400,2048,bf16,N,T,32,-621290045,0.19094,0.29938,1.5679,4,33,2227.0,0,0.6523
14,64,2048,bf16,N,T,32,-350,0.04626,0.08228,1.7786,4,110,7.0,0,0.9958
14,2048,10944,bf16,N,T,32,-621290045,0.20923,0.35889,1.7153,4,28,216.3,0,0.9757
14,21888,2048,bf16,N,T,32,-621290049,0.06597,0.11063,1.6771,4,83,1378.5,0,1.0050
14,3072,2048,bf16,N,T,32,-621290049,0.04910,0.08891,1.8108,4,100,261.0,0,0.9974
16,2048,2816,bf16,N,T,32,-621290049,0.06313,0.11471,1.8170,4,80,186.2,0,0.9870
16,64,2048,bf16,N,T,32,-350,0.04639,0.08222,1.7722,4,115,7.2,0,0.9559
16,2048,10944,bf16,N,T,32,-621290049,0.20920,0.35861,1.7142,4,28,216.6,0,0.9703
16,2048,2048,bf16,N,T,32,-621290049,0.04916,0.08887,1.8078,4,102,174.6,0,0.9597
16,3072,2048,bf16,N,T,32,-621290049,0.04913,0.08887,1.8088,4,102,261.4,0,0.9966
16,102400,2048,bf16,N,T,32,-621290045,0.19180,0.30183,1.5737,4,33,2221.3,0,0.6589
16,576,2048,bf16,N,T,32,-621290049,0.04765,0.08826,1.8524,4,99,51.7,0,0.9692
138,2048,2816,bf16,N,T,32,-621290045,0.06843,0.11874,1.7353,4,80,196.4,0,1.0093
138,5632,2048,bf16,N,T,32,-621290045,0.05343,0.09228,1.7271,4,107,500.5,0,1.0046
138,21888,2048,bf16,N,T,32,-621290049,0.07967,0.11569,1.4522,4,80,1284.1,0,1.0163
14,5632,2048,bf16,N,T,32,-621290049,0.04931,0.08911,1.8070,4,103,475.4,0,1.0007
256,576,2048,bf16,N,T,32,-621290045,0.04873,0.09132,1.8741,4,100,82.0,0,0.9787
256,21888,2048,bf16,N,T,32,-621290045,0.08389,0.11857,1.4133,4,82,1348.3,0,1.0216
16,5632,2048,bf16,N,T,32,-621290049,0.04930,0.08912,1.8079,4,100,476.6,0,0.9970
256,102400,2048,bf16,N,T,27,-621290045,0.29497,0.34945,1.1847,4,27,1781.0,0,0.6517
20,2048,10944,bf16,N,T,32,-621290049,0.20898,0.35863,1.7161,4,28,217.4,0,0.9678
8192,2048,2816,bf16,N,T,27,-621290045,0.21583,0.23031,1.0671,4,37,578.1,0,0.6561
14,2048,2816,bf16,N,T,32,-621290049,0.06305,0.11467,1.8187,4,78,186.0,0,0.9785
20,5632,2048,bf16,N,T,32,-621290049,0.04927,0.08913,1.8091,4,100,479.0,0,0.9950
8192,3072,2048,bf16,N,T,27,-621290045,0.24745,0.30230,1.2217,4,30,593.3,0,0.6290
14,2048,2048,bf16,N,T,32,-621290049,0.04899,0.08867,1.8099,4,101,174.7,0,0.9642
8192,576,2048,bf16,N,T,32,-621290049,0.06256,0.09738,1.5565,4,97,875.7,0,0.9445
20,21888,2048,bf16,N,T,32,-621290049,0.06762,0.11067,1.6368,4,80,1353.0,0,1.0000
20,2048,2816,bf16,N,T,32,-621290049,0.06316,0.11467,1.8157,4,86,187.0,0,0.9848
138,2048,10944,bf16,N,T,32,-621290045,0.20873,0.35911,1.7205,4,28,234.6,0,0.9939
8192,64,2048,bf16,N,T,32,-621290045,0.04808,0.08587,1.7861,4,109,747.0,0,0.9940
8192,2048,10944,bf16,N,T,27,-621290044,0.66754,0.67821,1.0160,4,15,436.3,0,0.7878
256,64,2048,bf16,N,T,32,-621290045,0.04680,0.08501,1.8165,4,115,29.4,0,0.9738
8192,5632,2048,bf16,N,T,27,-621290045,0.42187,0.45583,1.0805,4,22,571.7,0,0.7245
16,21888,2048,bf16,N,T,32,-621290049,0.06589,0.10899,1.6542,4,88,1382.9,0,0.9979
256,2048,2048,bf16,N,T,32,-621290045,0.04994,0.09183,1.8387,4,102,231.0,0,1.0017
8192,2048,2048,bf16,N,T,27,-621290045,0.16336,0.17246,1.0557,4,45,667.6,0,0.6447
256,2048,10944,bf16,N,T,32,-621290049,0.20369,0.34795,1.7082,4,29,257.9,0,0.9882
138,64,2048,bf16,N,T,32,-621290045,0.04685,0.08458,1.8052,4,96,18.4,0,0.9694
138,2048,2048,bf16,N,T,32,-621290045,0.05291,0.09297,1.7572,4,106,190.6,0,1.0089
256,2048,2816,bf16,N,T,32,-621290049,0.06479,0.12198,1.8828,4,77,232.6,0,1.0084
14,576,2048,bf16,N,T,32,-621290049,0.04762,0.08811,1.8503,4,105,51.4,0,0.9597
8192,21888,2048,bf16,N,T,27,-621290033,1.54519,1.63761,1.0598,4,6,543.9,0,0.7893
20,576,2048,bf16,N,T,32,-621290049,0.04770,0.08793,1.8434,4,102,52.1,0,0.9732
138,3072,2048,bf16,N,T,32,-621290045,0.05310,0.09307,1.7527,4,95,279.5,0,1.0128
20,3072,2048,bf16,N,T,32,-621290049,0.04907,0.08898,1.8135,4,105,263.1,0,1.0025
256,3072,2048,bf16,N,T,32,-621290049,0.04999,0.09157,1.8319,4,105,335.6,0,1.0050
20,4096,512,bf16,N,T,27,-621290045,0.01933,0.03520,1.8211,4,265,235.0,0,0.9949
20,2048,2048,bf16,N,T,32,-621290049,0.04877,0.08803,1.8051,4,101,177.0,0,0.9948
256,5632,2048,bf16,N,T,32,-621290049,0.05058,0.09005,1.7802,4,107,590.8,0,1.0096
20,64,2048,bf16,N,T,32,-350,0.04647,0.08228,1.7707,4,116,7.5,0,0.9617
138,576,2048,bf16,N,T,32,-621290045,0.05217,0.09098,1.7440,4,101,62.2,0,0.9874
136,4096,512,bf16,N,T,27,-621290045,0.01974,0.03544,1.7955,4,255,332.5,0,1.0114
23,262208,3840,bf16,N,T,32,-621290045,0.69252,1.03047,1.4880,4,10,2943.0,0,0.7030
23,30720,3840,bf16,N,T,32,-621290049,0.12826,0.19293,1.5043,4,47,1862.9,0,0.9890
23,3840,4096,bf16,N,T,32,-621290049,0.08678,0.15589,1.7964,4,57,368.7,0,0.9955
24,3840,15360,bf16,N,T,32,-621290049,0.40332,0.72517,1.7980,4,14,295.2,0,0.9957
24,3840,4096,bf16,N,T,32,-621290049,0.08643,0.15586,1.8034,4,59,370.5,0,0.9870
24,8192,3840,bf16,N,T,32,-621290049,0.08308,0.15202,1.8298,4,58,769.0,0,1.0166
24,262208,3840,bf16,N,T,32,-621290045,0.70177,1.02993,1.4676,4,10,2905.7,0,0.7109
241,3840,15360,bf16,N,T,32,-621290049,0.53255,0.95401,1.7914,4,11,242.4,0,0.9886
241,3840,4096,bf16,N,T,32,-621290049,0.09107,0.17300,1.8997,4,56,407.8,0,1.0023
12,30720,3840,bf16,N,T,32,-621290049,0.12988,0.19194,1.4779,4,48,1828.6,0,0.9629
23,3840,15360,bf16,N,T,32,-621290049,0.40043,0.72617,1.8135,4,14,297.2,0,0.9873
12,3840,15360,bf16,N,T,32,-621290049,0.38704,0.72483,1.8727,4,14,306.2,0,0.9880
8192,3840,1152,bf16,N,N,17,-621292878,0.17085,0.17044,0.9976,4,45,898.8,0,0.6611
256,3840,15360,bf16,N,T,32,-621290049,0.55008,0.98601,1.7925,4,11,235.9,0,1.0019
24,30720,3840,bf16,N,T,32,-621290049,0.13070,0.19304,1.4769,4,47,1829.1,0,0.9284
8192,8192,3840,bf16,N,T,27,-621290049,1.00794,1.08549,1.0769,4,9,391.2,0,0.7406
23,8192,3840,bf16,N,T,32,-621290049,0.10168,0.18092,1.7794,4,49,627.9,0,0.9961
241,30720,3840,bf16,N,T,32,-621290049,0.16538,0.25219,1.5249,4,38,1616.8,0,0.8270
1152,4096,588,bf16,N,N,17,-621292876,0.02824,0.04682,1.6576,4,192,886.7,0,0.9548
8192,30720,3840,bf16,N,T,27,-621290052,3.81935,3.90404,1.0222,4,5,341.8,0,0.8424
8192,3840,4096,bf16,N,T,27,-621290046,0.57661,0.59805,1.0372,4,17,389.2,0,0.7331
8192,3840,15360,bf16,N,T,27,-621290045,2.14541,2.49592,1.1634,4,5,230.9,0,0.6897
256,8192,3840,bf16,N,T,32,-621290049,0.10510,0.20036,1.9063,4,46,697.1,0,0.9835
12,8192,3840,bf16,N,T,32,-621290049,0.08280,0.15170,1.8321,4,58,765.7,0,0.9952
256,3840,4096,bf16,N,T,32,-621290049,0.08671,0.16290,1.8786,4,60,432.3,0,0.9923
12,3840,4096,bf16,N,T,32,-621290049,0.08628,0.15569,1.8045,4,60,367.9,0,0.9884
241,8192,3840,bf16,N,T,32,-621290049,0.11709,0.21852,1.8663,4,42,620.6,0,0.9906
256,262208,3840,bf16,N,T,27,-621290049,1.19016,1.30315,1.0949,4,8,1919.3,0,0.8664
256,30720,3840,bf16,N,T,32,-621290045,0.16959,0.24463,1.4424,4,39,1588.2,0,0.8296
15,201088,2880,bf16,N,T,32,-621290045,0.36141,0.53076,1.4686,4,17,3238.5,0,0.6727
16,201088,2880,bf16,N,T,32,-621290045,0.37884,0.56195,1.4833,4,17,3091.6,0,0.7112
256,201088,2880,bf16,N,T,27,-621290051,0.68167,0.67412,0.9889,4,14,2003.4,0,0.8101
7,128256,2048,bf16,N,T,32,-621290045,0.20021,0.29229,1.4599,4,33,2642.0,0,0.6277
7,2048,8192,bf16,N,T,32,-621290049,0.15927,0.27834,1.7475,4,34,211.8,0,0.9711
7,16384,2048,bf16,N,T,32,-621290049,0.05730,0.10607,1.8512,4,83,1179.7,0,1.0026
78,2048,2048,bf16,N,T,32,-621290049,0.05265,0.08920,1.6940,4,99,177.5,0,0.9924
512,3072,2048,bf16,N,T,32,-621290049,0.05070,0.09067,1.7883,4,101,413.6,0,1.0044
13,2048,2048,bf16,N,T,32,-621290049,0.04891,0.08883,1.8163,4,99,174.8,0,0.9854
78,2048,8192,bf16,N,T,32,-621290045,0.16349,0.27888,1.7058,4,36,217.0,0,0.9996
512,2048,2048,bf16,N,T,32,-621290045,0.05060,0.09119,1.8022,4,101,290.1,0,1.0048
256,3072,2048,bf16,N,T,32,-621290049,0.04999,0.09147,1.8296,4,105,335.6,0,1.0054
8192,3072,2048,bf16,N,T,27,-621290045,0.24816,0.30543,1.2308,4,30,591.6,0,0.6560
512,16384,2048,bf16,N,T,32,-621290045,0.09123,0.11554,1.2664,4,85,1126.4,0,0.8047
8192,2048,8192,bf16,N,T,27,-621290049,0.57756,0.68536,1.1866,4,15,406.7,0,0.6683
8,2048,8192,bf16,N,T,32,-621290049,0.15940,0.27843,1.7467,4,34,211.7,0,0.9793
256,16384,2048,bf16,N,T,32,-621290049,0.07199,0.10822,1.5034,4,87,1179.9,0,1.0204
8,3072,2048,bf16,N,T,32,-621290049,0.04905,0.08883,1.8110,4,105,259.2,0,0.9889
8192,16384,2048,bf16,N,T,27,-621290033,1.13930,1.21087,1.0628,4,8,559.6,0,0.8128
256,2048,2048,bf16,N,T,32,-621290045,0.04995,0.09180,1.8379,4,104,230.9,0,0.9866
8,128256,2048,bf16,N,T,32,-621290045,0.18650,0.29586,1.5864,4,34,2839.0,0,0.6337
8192,2048,2048,bf16,N,T,27,-621290045,0.17211,0.18218,1.0585,4,45,633.6,0,0.6790
256,2048,8192,bf16,N,T,32,-621290045,0.15821,0.28895,1.8263,4,34,251.8,0,0.9822
13,3072,2048,bf16,N,T,32,-621290049,0.04912,0.08894,1.8107,4,97,260.5,0,0.9934
13,16384,2048,bf16,N,T,32,-621290049,0.05926,0.10733,1.8111,4,81,1147.7,0,1.0064
7,3072,2048,bf16,N,T,32,-621290049,0.04900,0.08881,1.8126,4,100,259.2,0,0.9830
256,128256,2048,bf16,N,T,27,-621290054,0.38336,0.38646,1.0081,4,25,1715.7,0,0.7334
512,128256,2048,bf16,N,T,27,-621290055,0.63976,0.66502,1.0395,4,15,1235.0,0,0.7445
512,2048,8192,bf16,N,T,32,-621290045,0.15941,0.28803,1.8068,4,35,289.4,0,0.9892
7,2048,2048,bf16,N,T,32,-621290049,0.04867,0.08821,1.8123,4,104,174.1,0,0.9934
13,2048,8192,bf16,N,T,32,-621290049,0.15955,0.27881,1.7475,4,34,212.3,0,0.9974
78,3072,2048,bf16,N,T,32,-621290049,0.05228,0.08936,1.7093,4,96,265.1,0,0.9974
78,16384,2048,bf16,N,T,32,-621290049,0.06777,0.11406,1.6831,4,78,1070.5,0,0.9963
8,16384,2048,bf16,N,T,32,-621290049,0.05894,0.10655,1.8079,4,80,1148.1,0,1.0041
8,2048,2048,bf16,N,T,32,-621290049,0.04869,0.08843,1.8162,4,94,174.3,0,0.9924
63,128256,2048,bf16,N,T,32,-621290045,0.20447,0.32150,1.5724,4,32,2728.6,0,0.6672
63,2048,8192,bf16,N,T,32,-621290049,0.15963,0.27860,1.7452,4,35,219.9,0,0.9924
63,16384,2048,bf16,N,T,32,-621290049,0.06640,0.11252,1.6946,4,82,1076.8,0,1.0022
256,128256,2048,bf16,N,T,27,-621290055,0.37881,0.38461,1.0153,4,26,1736.3,0,0.7432
512,128256,2048,bf16,N,T,27,-621290049,0.62829,0.66204,1.0537,4,15,1257.6,0,0.7526
512,2048,8192,bf16,N,T,32,-621290045,0.15963,0.28802,1.8043,4,34,289.0,0,0.9879
512,3072,2048,bf16,N,T,32,-621290049,0.05021,0.09057,1.8038,4,106,417.7,0,0.9939
13,2048,2048,bf16,N,T,32,-621290049,0.04887,0.08877,1.8163,4,108,174.9,0,0.9811
708,3072,2048,bf16,N,T,32,-621290045,0.05526,0.09820,1.7772,4,99,437.6,0,1.0014
512,2048,2048,bf16,N,T,32,-621290045,0.05060,0.09125,1.8033,4,101,290.1,0,0.9891
256,3072,2048,bf16,N,T,32,-621290049,0.05001,0.09152,1.8299,4,105,335.5,0,1.0033
64,3072,2048,bf16,N,T,32,-621290049,0.04997,0.08926,1.7864,4,101,272.8,0,1.0129
512,16384,2048,bf16,N,T,32,-621290045,0.09209,0.11539,1.2531,4,83,1115.9,0,0.7945
8192,2048,8192,bf16,N,T,27,-621290049,0.58142,0.64879,1.1159,4,15,404.0,0,0.7090
64,128256,2048,bf16,N,T,32,-621290045,0.21424,0.31109,1.4521,4,30,2606.6,0,0.6348
256,16384,2048,bf16,N,T,32,-621290049,0.07180,0.10345,1.4408,4,91,1182.9,0,1.0046
256,2048,2048,bf16,N,T,32,-621290045,0.05008,0.09183,1.8337,4,104,230.3,0,1.0112
8192,2048,2048,bf16,N,T,27,-621290045,0.16984,0.18342,1.0800,4,46,642.1,0,0.6972
256,2048,8192,bf16,N,T,32,-621290045,0.15784,0.28872,1.8292,4,34,252.4,0,0.9797
13,3072,2048,bf16,N,T,32,-621290049,0.04907,0.08889,1.8113,4,101,260.7,0,1.0071
13,16384,2048,bf16,N,T,32,-621290049,0.05946,0.10736,1.8056,4,81,1143.9,0,1.0012
13,2048,8192,bf16,N,T,32,-621290049,0.15963,0.27873,1.7461,4,34,212.2,0,1.0093
8192,16384,2048,bf16,N,T,27,-621290033,1.11966,1.21357,1.0839,4,8,569.4,0,0.8283
708,2048,2048,bf16,N,T,32,-621290045,0.05442,0.09754,1.7924,4,90,314.0,0,0.9927
708,2048,8192,bf16,N,T,32,-621290045,0.16453,0.29074,1.7671,4,35,309.7,0,0.9955
708,16384,2048,bf16,N,T,27,-621290046,0.15078,0.15427,1.0231,4,55,772.1,0,0.7663
64,2048,2048,bf16,N,T,32,-621290049,0.05125,0.08911,1.7387,4,97,179.0,0,0.9976
64,16384,2048,bf16,N,T,32,-621290049,0.06676,0.11203,1.6781,4,83,1071.9,0,1.0122
8192,3072,2048,bf16,N,T,27,-621290045,0.24780,0.29993,1.2104,4,30,592.4,0,0.6406
64,2048,8192,bf16,N,T,32,-621290049,0.16247,0.27841,1.7136,4,36,216.2,0,1.0131
63,2048,2048,bf16,N,T,32,-621290049,0.04935,0.08909,1.8054,4,103,185.7,0,0.9911
63,3072,2048,bf16,N,T,32,-621290049,0.04942,0.08920,1.8050,4,101,275.5,0,1.0174
13,2048,8192,bf16,N,T,32,-621290049,0.15954,0.27864,1.7466,4,36,212.3,0,0.9712
13,16384,2048,bf16,N,T,32,-621290049,0.05952,0.10787,1.8124,4,78,1142.7,0,1.0032
13,3072,2048,bf16,N,T,32,-621290049,0.04903,0.08893,1.8138,4,99,261.0,0,0.9908
256,2048,8192,bf16,N,T,32,-621290045,0.15832,0.28942,1.8280,4,35,251.7,0,0.9938
33,3072,2048,bf16,N,T,32,-621290049,0.04926,0.08905,1.8077,4,105,266.4,0,1.0146
8192,2048,2048,bf16,N,T,27,-621290045,0.16283,0.17548,1.0777,4,46,669.7,0,0.6755
8192,16384,2048,bf16,N,T,27,-621290033,1.11961,1.20854,1.0794,4,8,569.4,0,0.7983
33,2048,2048,bf16,N,T,32,-621290049,0.04919,0.08900,1.8092,4,104,178.8,0,0.9947
256,16384,2048,bf16,N,T,32,-621290049,0.07003,0.10352,1.4782,4,85,1212.8,0,1.0161
8192,2048,8192,bf16,N,T,27,-621290045,0.58808,0.68701,1.1682,4,14,399.4,0,0.6998
512,16384,2048,bf16,N,T,32,-621290045,0.09178,0.11592,1.2630,4,81,1119.6,0,0.7865
8192,3072,2048,bf16,N,T,27,-621290045,0.24921,0.29923,1.2007,4,31,589.1,0,0.6422
256,3072,2048,bf16,N,T,32,-621290049,0.04999,0.09161,1.8327,4,99,335.6,0,0.9933
512,2048,2048,bf16,N,T,32,-621290045,0.05074,0.09119,1.7972,4,100,289.3,0,1.0053
13,2048,2048,bf16,N,T,32,-621290049,0.04893,0.08878,1.8145,4,101,174.7,0,1.0079
512,3072,2048,bf16,N,T,32,-621290049,0.05076,0.09070,1.7869,4,104,413.1,0,0.9983
512,2048,8192,bf16,N,T,32,-621290045,0.15930,0.28837,1.8102,4,35,289.6,0,0.9975
512,128256,2048,bf16,N,T,27,-621290049,0.63788,0.66191,1.0377,4,15,1238.6,0,0.7027
33,2048,8192,bf16,N,T,32,-621290049,0.15960,0.27857,1.7454,4,36,215.3,0,0.9689
33,16384,2048,bf16,N,T,32,-621290049,0.06355,0.10940,1.7213,4,82,1092.1,0,0.9959
256,128256,2048,bf16,N,T,27,-621290055,0.38202,0.38512,1.0081,4,26,1721.7,0,0.7461
256,2048,2048,bf16,N,T,32,-621290045,0.04992,0.09183,1.8396,4,106,231.1,0,0.9847
15,2048,8192,bf16,N,T,32,-621290049,0.15972,0.27861,1.7444,4,35,212.4,0,0.9953
