family,harness_M,harness_N,K,dtype,harness_opA,harness_opB,rocblas_M,rocblas_N,rocblas_transA,rocblas_transB,n_solutions,rocblas_solution_index,tensile_index_for_override,default_ms,best_ms,gain
skinny-M,8,2641,4697,fp16,T,N,2641,8,N,T,258,-606622839,606622829,0.59644,0.03946,15.1167
skinny-M,2,1661,2911,fp16,T,N,1661,2,N,T,55,-548,538,0.37302,0.03314,11.2561
skinny-M,6,5161,3526,fp16,T,N,5161,6,N,T,71,-606622839,606622829,0.47264,0.05676,8.3277
skinny-M,6,7522,5417,fp16,T,N,7522,6,N,T,74,-606622839,606622829,0.96157,0.12028,7.9943
skinny-M,14,5301,10342,fp16,T,T,5301,14,T,T,53,-606629613,606629603,1.30530,0.17453,7.4790
skinny-M,14,7471,6320,fp16,T,T,7471,14,T,T,53,-606629613,606629603,1.20032,0.16091,7.4596
skinny-M,9,1498,9358,fp16,T,T,1498,9,T,T,88,-606629612,606629602,1.12919,0.16200,6.9704
skinny-M,16,6623,8533,fp16,T,T,6623,16,T,T,53,-606629612,606629602,1.09487,0.15737,6.9574
skinny-M,2,5500,8481,fp16,T,N,5500,2,N,T,107,-606602877,606602867,1.10425,0.15932,6.9310
skinny-M,16,9097,4075,fp16,T,T,9097,16,T,T,53,-606629622,606629612,0.78360,0.11652,6.7249
skinny-M,15,2514,6918,fp16,T,T,2514,15,T,T,88,-606629613,606629603,0.84790,0.12628,6.7144
skinny-M,9,1818,7377,fp16,T,T,1818,9,T,T,53,-606629622,606629612,0.89456,0.13674,6.5422
skinny-M,15,4997,2727,fp16,T,T,4997,15,T,T,53,-606629612,606629602,0.34643,0.05725,6.0513
skinny-M,4,20928,1051,fp16,T,N,20928,4,N,T,227,-606602970,606602960,0.32107,0.05329,6.0252
skinny-M,10,17601,31985,fp16,T,T,17601,10,T,T,53,-606629612,606629602,7.64695,1.45208,5.2662
skinny-M,2,9458,3831,fp16,T,N,9458,2,N,T,55,-606622900,606622890,0.68712,0.13661,5.0297
skinny-M,2,14660,12166,fp16,T,T,14660,2,T,T,60,-606629560,606629550,2.82929,0.79033,3.5799
skinny-M,5,1161,23699,fp32,N,T,1161,5,T,N,612,-606618433,606618423,0.57540,0.17453,3.2968
skinny-M,2,10224,26560,fp16,N,N,10224,2,N,N,399,-606624210,606624200,1.50131,0.48873,3.0719
skinny-M,4,2658,16964,fp32,T,N,2658,4,N,T,519,-606624704,606624694,0.70352,0.23695,2.9691
skinny-M,7,14760,5469,fp16,N,N,14760,7,N,N,393,-606603255,606603245,0.35440,0.14514,2.4418
skinny-M,8,4580,3165,fp32,T,T,4580,8,T,T,82,-606620820,606620810,0.20395,0.08476,2.4061
skinny-M,15,1448,4316,fp16,N,N,1448,15,N,N,393,-606603284,606603274,0.04705,0.01970,2.3880
skinny-M,2,7999,29126,fp16,T,T,7999,2,T,T,36,-374,364,5.51178,2.37671,2.3191
skinny-M,11,4199,30799,bf16,T,T,4199,11,T,T,39,-606619899,606619889,1.25704,0.54521,2.3056
skinny-M,7,8372,10763,fp16,T,T,8372,7,T,T,36,-374,364,2.04656,0.88953,2.3007
skinny-M,3,16275,1515,fp16,T,T,16275,3,T,T,36,-374,364,0.43743,0.19253,2.2720
skinny-M,5,7051,1580,fp32,T,T,7051,5,T,T,82,-606620828,606620818,0.17755,0.07839,2.2649
skinny-M,1,10227,2613,bf16,T,N,10227,1,N,T,10,-9,-1,0.14756,0.06726,2.1940
skinny-M,3,22072,12963,fp16,T,T,22072,3,T,T,36,-378,368,4.12449,1.90928,2.1602
skinny-M,6,2257,2320,fp32,T,T,2257,6,T,T,82,-606620796,606620786,0.12108,0.05795,2.0894
skinny-M,11,2123,5792,fp16,T,N,2123,11,N,T,258,-606622882,606622872,0.09499,0.04582,2.0731
skinny-M,2,19003,31435,fp16,N,T,19003,2,T,N,70,-606627647,606627637,2.49144,1.21994,2.0423
skinny-M,5,3029,9869,fp16,T,T,3029,5,T,T,36,-374,364,1.21209,0.60999,1.9871
skinny-M,5,1808,16145,fp16,T,T,1808,5,T,T,36,-374,364,1.94942,0.98930,1.9705
skinny-M,6,4075,27297,fp16,T,T,4075,6,T,T,36,-374,364,3.38641,1.73893,1.9474
skinny-M,3,1431,12905,fp16,T,T,1431,3,T,T,36,-374,364,1.55242,0.80218,1.9353
skinny-M,2,5166,3585,fp16,T,T,5166,2,T,T,36,-374,364,0.45362,0.23442,1.9351
skinny-M,15,13923,25673,fp16,N,T,13923,15,T,N,70,-606627734,606627724,1.54159,0.80383,1.9178
skinny-M,14,16607,2775,fp16,N,N,16607,14,N,N,103,-606624140,606624130,0.18757,0.09831,1.9079
skinny-M,1,7574,5601,fp16,N,N,7574,1,N,N,102,-9,-1,0.19621,0.10404,1.8858
skinny-M,1,6753,4847,bf16,N,N,6753,1,N,N,177,-9,-1,0.18136,0.09853,1.8406
skinny-M,1,3135,30516,bf16,N,T,3135,1,T,N,65,-606623130,606623120,0.36358,0.19984,1.8194
skinny-M,11,2758,9970,fp16,N,T,2758,11,T,N,70,-606604761,606604751,0.12691,0.06979,1.8184
skinny-M,13,3290,7741,bf16,N,T,3290,13,T,N,64,-606623168,606623158,0.11805,0.06544,1.8039
skinny-M,13,1605,1466,fp16,N,N,1605,13,N,N,97,-606624200,606624190,0.03496,0.01947,1.7951
skinny-M,13,1411,1362,fp16,N,N,1411,13,N,N,97,-606603275,606603265,0.03388,0.01890,1.7929
skinny-M,4,16056,12496,fp16,N,N,16056,4,N,N,399,-606624078,606624068,0.67327,0.38225,1.7613
skinny-M,3,2834,25588,fp16,N,T,2834,3,T,N,70,-606627650,606627640,0.28447,0.16778,1.6955
skinny-M,1,1207,2765,fp16,N,T,1207,1,T,N,69,-9,-1,0.02422,0.01432,1.6914
skinny-M,8,1377,1063,fp32,N,N,1377,8,N,N,556,-606628038,606628028,0.01706,0.01012,1.6857
skinny-M,8,27350,1056,fp16,T,N,27350,8,N,T,249,-606622868,606622858,0.11293,0.06721,1.6802
skinny-M,13,1642,21553,fp16,T,N,1642,13,N,T,259,-606602963,606602953,0.16797,0.10031,1.6745
skinny-M,2,1184,6563,bf16,T,T,1184,2,T,T,4,-354,344,0.70788,0.42593,1.6620
skinny-M,3,1977,14375,bf16,T,T,1977,3,T,T,4,-354,344,1.55555,0.94147,1.6523
skinny-M,6,1618,4363,bf16,T,T,1618,6,T,T,4,-354,344,0.47481,0.28789,1.6493
skinny-M,1,22464,4518,bf16,N,N,22464,1,N,N,426,-9,-1,0.28826,0.17786,1.6207
skinny-M,1,7008,6688,fp16,N,N,7008,1,N,N,394,-606624109,606624099,0.14825,0.09194,1.6125
skinny-M,5,3160,2955,bf16,T,T,3160,5,T,T,4,-354,344,0.32683,0.20358,1.6054
skinny-M,2,24324,26533,bf16,N,N,24324,2,N,N,283,-606605207,606605197,1.86386,1.17910,1.5807
skinny-M,13,2355,18385,fp16,N,T,2355,13,T,N,70,-606627666,606627656,0.19302,0.12345,1.5636
skinny-M,7,11102,20245,fp16,N,N,11102,7,N,N,101,-606603383,606603373,0.73759,0.47320,1.5587
skinny-M,16,2384,1096,fp32,N,N,2384,16,N,N,562,-606605146,606605136,0.02098,0.01348,1.5563
skinny-M,8,6878,20579,fp32,T,N,6878,8,N,T,519,-606604023,606604013,0.91629,0.59346,1.5440
skinny-M,2,4834,3471,bf16,T,T,4834,2,T,T,4,-354,344,0.38147,0.24986,1.5267
skinny-M,4,2598,15341,fp16,T,N,2598,4,N,T,74,-606622839,606622829,0.15477,0.10208,1.5161
skinny-M,8,3789,2275,fp16,N,N,3789,8,N,N,103,-606603283,606603273,0.05636,0.03723,1.5140
skinny-M,11,2901,9372,fp32,N,T,2901,11,T,N,612,-606602197,606602187,0.15721,0.10583,1.4855
skinny-M,12,16900,25213,fp16,N,N,16900,12,N,N,232,-606603293,606603283,1.26171,0.87755,1.4378
skinny-M,3,1431,6254,fp32,T,T,1431,3,T,T,15,-606620762,606620752,0.31354,0.21965,1.4274
skinny-M,3,29459,1379,fp32,N,N,29459,3,N,N,556,-606605006,606604996,0.19241,0.13552,1.4198
skinny-M,3,2795,2586,bf16,T,N,2795,3,N,T,26,-151,141,0.11451,0.08231,1.3912
skinny-M,4,1397,31984,bf16,N,N,1397,4,N,N,176,-606605266,606605256,0.19018,0.13675,1.3908
skinny-M,3,2357,2029,bf16,T,N,2357,3,N,T,26,-152,142,0.09128,0.06626,1.3776
skinny-M,4,15159,20172,fp16,N,N,15159,4,N,N,103,-606603313,606603303,0.93701,0.68291,1.3721
skinny-M,3,5149,28704,fp32,T,T,5149,3,T,T,15,-606620832,606620822,1.80015,1.32565,1.3579
skinny-M,1,6986,1982,bf16,T,N,6986,1,N,T,10,-9,-1,0.06872,0.05075,1.3541
skinny-M,3,13541,30722,bf16,N,N,13541,3,N,N,176,-606605179,606605169,1.34258,1.01137,1.3275
skinny-M,11,12047,12316,fp32,N,T,12047,11,T,N,612,-606618431,606618421,0.75849,0.57183,1.3264
skinny-M,4,5204,15155,bf16,N,T,5204,4,T,N,64,-606603151,606603141,0.22621,0.17176,1.3170
skinny-M,8,8817,6560,fp16,N,N,8817,8,N,N,103,-606624243,606624233,0.20527,0.15735,1.3045
skinny-M,8,14492,1529,bf16,T,T,14492,8,T,T,39,-606619899,606619889,0.09441,0.07284,1.2961
skinny-M,6,9815,11307,bf16,N,T,9815,6,T,N,64,-606623130,606623120,0.28868,0.22273,1.2961
skinny-M,1,17723,26027,fp16,N,T,17723,1,T,N,71,-606627649,606627639,1.17065,0.91412,1.2806
skinny-M,2,1361,1229,bf16,T,N,1361,2,N,T,24,-151,141,0.05235,0.04110,1.2735
skinny-M,2,18003,1485,fp32,N,N,18003,2,N,N,556,-606605005,606604995,0.11094,0.08786,1.2627
skinny-M,8,19183,27506,bf16,T,T,19183,8,T,T,39,-606619899,606619889,1.53681,1.21958,1.2601
