transA,transB,M,N,batch_count,K,alpha,beta,lda,ldb,ldc,input_type,output_type,compute_type,solution_index
N,T,2641,8,1,4697,1,0,2641,8,2641,f16_r,f32_r,f32_r,606622829
N,T,1661,2,1,2911,1,0,1661,2,1661,f16_r,f32_r,f32_r,538
N,T,5161,6,1,3526,1,0,5161,6,5161,f16_r,f32_r,f32_r,606622829
N,T,7522,6,1,5417,1,0,7522,6,7522,f16_r,f32_r,f32_r,606622829
T,T,5301,14,1,10342,1,0,10342,14,5301,f16_r,f32_r,f32_r,606629603
T,T,7471,14,1,6320,1,0,6320,14,7471,f16_r,f32_r,f32_r,606629603
T,T,1498,9,1,9358,1,0,9358,9,1498,f16_r,f32_r,f32_r,606629602
T,T,6623,16,1,8533,1,0,8533,16,6623,f16_r,f32_r,f32_r,606629602
N,T,5500,2,1,8481,1,0,5500,2,5500,f16_r,f32_r,f32_r,606602867
T,T,9097,16,1,4075,1,0,4075,16,9097,f16_r,f32_r,f32_r,606629612
T,T,2514,15,1,6918,1,0,6918,15,2514,f16_r,f32_r,f32_r,606629603
T,T,1818,9,1,7377,1,0,7377,9,1818,f16_r,f32_r,f32_r,606629612
T,T,4997,15,1,2727,1,0,2727,15,4997,f16_r,f32_r,f32_r,606629602
N,T,20928,4,1,1051,1,0,20928,4,20928,f16_r,f32_r,f32_r,606602960
T,T,17601,10,1,31985,1,0,31985,10,17601,f16_r,f32_r,f32_r,606629602
N,T,9458,2,1,3831,1,0,9458,2,9458,f16_r,f32_r,f32_r,606622890
T,T,14660,2,1,12166,1,0,12166,2,14660,f16_r,f32_r,f32_r,606629550
T,N,1161,5,1,23699,1,0,23699,23699,1161,f32_r,f32_r,f32_r,606618423
N,N,10224,2,1,26560,1,0,10224,26560,10224,f16_r,f32_r,f32_r,606624200
N,T,2658,4,1,16964,1,0,2658,4,2658,f32_r,f32_r,f32_r,606624694
N,N,14760,7,1,5469,1,0,14760,5469,14760,f16_r,f32_r,f32_r,606603245
T,T,4580,8,1,3165,1,0,3165,8,4580,f32_r,f32_r,f32_r,606620810
N,N,1448,15,1,4316,1,0,1448,4316,1448,f16_r,f32_r,f32_r,606603274
