M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
1050,2341,523,bf16,T,T,20,-621291507,0.03524,0.03513,0.9970
13230,2619,14675,fp32,N,N,292,-621288831,7.59194,7.80691,1.0283
1671,3761,658,bf16,T,T,20,-621291499,0.04582,0.04556,0.9944
589,6889,1068,bf16,T,T,20,-621291501,0.05732,0.05725,0.9989
1430,913,574,fp16,N,T,27,-621292165,0.03085,0.04637,1.5027
1128,12310,21572,fp16,N,N,17,-621285599,1.09634,1.22212,1.1147
1707,4309,337,fp16,N,N,17,-621285594,0.02710,0.04455,1.6438
477,3019,874,bf16,T,N,76,-621294195,0.03516,0.06085,1.7309
521,3866,11013,fp16,N,T,33,-621292165,0.22625,0.37083,1.6390
1117,4065,925,fp32,T,N,298,-621290678,0.07248,0.09158,1.2637
705,2615,2077,bf16,T,T,20,-621291502,0.09304,0.09259,0.9953
398,8342,2519,fp32,T,N,326,-621290682,0.15168,0.19121,1.2606
1466,11243,39382,bf16,T,N,69,-621294207,1.96962,2.46790,1.2530
2321,545,22685,fp16,T,T,22,-621284666,0.77160,0.79511,1.0305
1885,1316,34444,fp16,T,N,77,-621289155,0.68923,1.05308,1.5279
2005,1362,18935,fp16,T,T,22,-621284661,0.65923,0.67214,1.0196
1782,15872,8666,bf16,T,T,20,-621291506,0.86044,0.87859,1.0211
256,521,3737,fp32,N,T,318,-621282240,0.01946,0.03678,1.8903
15792,2577,4376,fp32,N,N,292,-621288825,2.80037,3.50262,1.2508
3599,487,4392,fp16,T,T,22,-621284658,0.17155,0.17013,0.9917
259,5200,553,fp32,N,T,312,-621289676,0.01881,0.02656,1.4121
475,2365,1604,bf16,T,N,77,-621294196,0.04971,0.08771,1.7647
2955,11163,4726,fp16,T,N,71,-621289148,0.52029,0.52025,0.9999
910,1443,818,bf16,T,N,76,-621294191,0.03330,0.05738,1.7233
7386,510,405,bf16,T,N,69,-621294192,0.02651,0.04171,1.5733
12434,6435,1132,fp16,N,N,17,-621285590,0.40920,0.40596,0.9921
4751,375,5039,fp32,N,N,292,-621281756,0.15101,0.32423,2.1470
6491,9770,1627,bf16,N,T,27,-621290756,0.47922,0.49321,1.0292
10878,386,1604,fp16,T,N,76,-621289150,0.05210,0.07516,1.4426
910,2651,670,fp32,N,N,292,-621281758,0.04004,0.05007,1.2504
700,7886,13025,bf16,T,N,77,-621294196,0.30384,0.43636,1.4361
2329,3023,551,bf16,T,N,69,-621294164,0.03446,0.05084,1.4755
4506,560,13132,fp16,N,N,22,-621285594,0.40118,0.45660,1.1382
1177,15147,312,fp32,N,T,314,-621289501,0.11136,0.11943,1.0725
15162,7268,5406,fp16,T,T,22,-621284662,1.76066,1.80117,1.0230
6029,5659,5427,fp32,T,N,296,-621282385,2.79408,3.21489,1.1506
283,368,39923,fp16,T,T,22,-621284666,1.34075,1.37848,1.0281
474,1882,915,fp32,T,T,66,-621288578,0.02201,0.02622,1.1911
1700,373,14549,fp32,T,T,66,-621281523,0.25619,0.90322,3.5256
